,site,trt,code,duration,average_cover,average_sla,average.sla_site,average.sla_species
1,arch,control,arse,perennial,2,100.5520047,136.2013069,96.6743787
2,arch,control,carph,perennial,5,158.316463,136.2013069,158.316463
3,arch,control,dicha,perennial,0.285714286,172.9390348,136.2013069,185.4212458
4,arch,control,hyed,perennial,14.28571429,88.18592606,136.2013069,90.74144053
5,arch,control,pase,perennial,0.428571429,279.6097447,136.2013069,270.4120775
6,arch,control,ptpy,perennial,2,128.6846903,136.2013069,135.573084
7,arch,control,qumi,perennial,13.71428571,64.19124304,136.2013069,62.11868723
8,arch,control,scrh,perennial,55.14285714,104.7366412,136.2013069,113.870412
9,arch,npk,arse,perennial,2.25,92.7967527,136.2013069,96.6743787
10,arch,npk,dicha,perennial,1.285714286,197.9034569,136.2013069,185.4212458
11,arch,npk,hyed,perennial,11.57142857,93.29695499,136.2013069,90.74144053
12,arch,npk,lylu,perennial,14,110.9821618,136.2013069,110.9821618
13,arch,npk,pase,perennial,5,261.2144103,136.2013069,270.4120775
14,arch,npk,pigr,perennial,3,136.5009416,136.2013069,136.5009416
15,arch,npk,ptpy,perennial,5,142.4614776,136.2013069,135.573084
16,arch,npk,qumi,perennial,2.857142857,60.04613143,136.2013069,62.11868723
17,arch,npk,scrh,perennial,39.85714286,123.0041828,136.2013069,113.870412
18,lubb,control,arhuh,perennial,1,159.846909,119.5529986,159.846909
19,lubb,control,bogr2,perennial,2.4,106.0223804,119.5529986,115.0800062
20,lubb,control,chin2,annual,85,180.4269938,119.5529986,164.7169956
21,lubb,control,prgl2,perennial,15,62.67430847,119.5529986,64.8012997
22,lubb,control,satr,annual,2.857142857,119.561961,119.5529986,107.8283095
23,lubb,control,soel,perennial,4.333333333,116.8718889,119.5529986,125.1914269
24,lubb,npk,bogr2,perennial,2.4,124.1376319,119.5529986,115.0800062
25,lubb,npk,chin2,annual,61.33333333,149.0069974,119.5529986,164.7169956
26,lubb,npk,prgl2,perennial,5,66.92829093,119.5529986,64.8012997
27,lubb,npk,satr,annual,1.714285714,96.09465802,119.5529986,107.8283095
28,lubb,npk,soel,perennial,2,133.5109648,119.5529986,125.1914269
29,sevi,control,boer,perennial,15.28571429,178.4795426,121.8658974,179.9154496
30,sevi,control,hodr,perennial,4,54.5017209,121.8658974,83.3581269
31,sevi,control,poja,perennial,0.944444444,105.0940037,121.8658974,105.0021538
32,sevi,control,satr,annual,0,112.093747,121.8658974,109.2990312
33,sevi,control,soel,perennial,1.333333333,138.4439461,121.8658974,134.8528891
34,sevi,control,spfl,perennial,2,144.6119848,121.8658974,144.6119848
35,sevi,npk,boer,perennial,6.5,181.3513566,121.8658974,179.9154496
36,sevi,npk,hodr,perennial,0,112.2145329,121.8658974,83.3581269
37,sevi,npk,poja,perennial,0,104.9103038,121.8658974,105.0021538
38,sevi,npk,satr,annual,6.285714286,106.5043154,121.8658974,109.2990312
39,sevi,npk,soel,perennial,1,131.261832,121.8658974,134.8528891
40,sevi,npk,xasp,perennial,1.6,92.92348337,121.8658974,92.92348337
41,temple,control,amtr,annual,24.125,184.6407381,189.6192505,193.7476686
42,temple,control,cien,perennial,2,147.3849221,189.6192505,147.3849221
43,temple,control,coca,perennial,21.9,162.5511067,189.6192505,196.7001481
44,temple,control,coer,perennial,0.5,208.3155421,189.6192505,208.3155421
45,temple,control,eubpa,annual,1,226.2361111,189.6192505,226.2361111
46,temple,control,eude,annual,0,239.0217391,189.6192505,239.0217391
47,temple,control,gapu,annual,9,221.6175712,189.6192505,221.6175712
48,temple,control,gate,annual,32.5,156.2845983,189.6192505,184.1839658
49,temple,control,miro,perennial,3,89.41409224,189.6192505,123.6173277
50,temple,control,moci,annual,2,197.0425648,189.6192505,202.3654535
51,temple,control,pape,annual,2,338.468661,189.6192505,365.9667568
52,temple,control,phmo,perennial,2,206.5785008,189.6192505,206.5785008
53,temple,control,poacea,perennial,1,173.8255765,189.6192505,173.8255765
54,temple,control,pste,perennial,4,89.16335979,189.6192505,89.16335979
55,temple,control,rutr,perennial,12,110.7357583,189.6192505,110.7357583
56,temple,control,scsc,perennial,30.25,137.1518449,189.6192505,244.8077071
57,temple,control,soha,perennial,2.25,187.8010206,189.6192505,196.1026124
58,temple,control,sonu,perennial,17.5,73.68657754,189.6192505,73.68657754
59,temple,control,spco,perennial,0.5,89.48169871,189.6192505,89.48169871
60,temple,control,toar,annual,4.8,158.9075592,189.6192505,164.5790442
61,temple,control,trbr,perennial,5,158.3887896,189.6192505,158.3887896
62,temple,npk,amtr,annual,55.35714286,202.8545992,189.6192505,193.7476686
63,temple,npk,coca,perennial,19.5,230.8491894,189.6192505,196.7001481
64,temple,npk,gate,annual,42.5,212.0833334,189.6192505,184.1839658
65,temple,npk,miro,perennial,0,157.8205631,189.6192505,123.6173277
66,temple,npk,moci,annual,10,207.6883423,189.6192505,202.3654535
67,temple,npk,pape,annual,2,393.4648526,189.6192505,365.9667568
68,temple,npk,scsc,perennial,0.5,352.4635694,189.6192505,244.8077071
69,temple,npk,soha,perennial,22.83333333,204.4042042,189.6192505,196.1026124
70,temple,npk,toar,annual,19,170.2505293,189.6192505,164.5790442
