"","site","plot","trt","code_original","X","code","taxon","rep","envelope_multi","date","leaf.area.sample","total.leaf.area","leaf_wet_g","leaf_dry_g","sla_cm2.g.1","leaf_dry_mg","ldmc_mg.g","notes_combined","code_v1","type","code_field","taxon.y","duration","status","title","site_trt_plot","epicollect_title","category","species_notes_if_","percent_cover","block"
"1","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",1,3,"5/23/2023","temple_01_amtr01_003",48.181,0.52,0.2471,194.9858357,247.1,475.1923077,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",35,"block_1"
"2","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",1,3,"5/23/2023","temple_01_amtr01_003",48.181,0.52,0.2471,194.9858357,247.1,475.1923077,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",40,"block_1"
"3","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",2,6,"5/23/2023","temple_01_amtr02_006",47.737,0.7,0.2989,159.7089328,298.9,427,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",35,"block_1"
"4","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",2,6,"5/23/2023","temple_01_amtr02_006",47.737,0.7,0.2989,159.7089328,298.9,427,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",40,"block_1"
"5","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",3,9,"5/23/2023","temple_01_amtr03_009",35.799,0.6,0.1932,185.2950311,193.2,322,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",35,"block_1"
"6","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",3,9,"5/23/2023","temple_01_amtr03_009",35.799,0.6,0.1932,185.2950311,193.2,322,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",40,"block_1"
"7","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",4,69,"5/24/2023","temple_01_amtr04_069",78.904,0,0.4434,177.9521876,443.4,Inf,"wet weight not on envelope","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",35,"block_1"
"8","temple",1,"control","amtr",TRUE,"amtr","ambrosia trifida",4,69,"5/24/2023","temple_01_amtr04_069",78.904,0,0.4434,177.9521876,443.4,Inf,"wet weight not on envelope","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_01","temple_control_01","amtr_(ambrosia trifida)","plant","",40,"block_1"
"9","temple",8,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,19,"5/25/2023","temple_08_amtr01_019",85.1,1.37,0.431,197.4477958,431,314.5985401,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_08","temple_npk_08","amtr_(ambrosia trifida)","plant","",80,"block_1"
"10","temple",8,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,19,"5/25/2023","temple_08_amtr01_019",85.1,1.37,0.431,197.4477958,431,314.5985401,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_08","temple_npk_08","amtr_(ambrosia trifida)","plant","",50,"block_1"
"11","temple",8,"npk","amtr",TRUE,"amtr","ambrosia trifida",2,22,"5/25/2023","temple_08_amtr02_022",95.131,1.59,0.4289,221.8022849,428.9,269.7484277,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_08","temple_npk_08","amtr_(ambrosia trifida)","plant","",80,"block_1"
"12","temple",8,"npk","amtr",TRUE,"amtr","ambrosia trifida",2,22,"5/25/2023","temple_08_amtr02_022",95.131,1.59,0.4289,221.8022849,428.9,269.7484277,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_08","temple_npk_08","amtr_(ambrosia trifida)","plant","",50,"block_1"
"13","temple",11,"control","amtr",TRUE,"amtr","ambrosia trifida",1,7,"5/26/2023","temple_11_amtr01_007",45.859,0.52,0.2566,178.7178488,256.6,493.4615385,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_11","temple_control_11","amtr_(ambrosia trifida)","plant","",10,"block_2"
"14","temple",11,"control","amtr",TRUE,"amtr","ambrosia trifida",1,7,"5/26/2023","temple_11_amtr01_007",45.859,0.52,0.2566,178.7178488,256.6,493.4615385,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_11","temple_control_11","amtr_(ambrosia trifida)","plant","",3,"block_2"
"15","temple",11,"control","amtr",TRUE,"amtr","ambrosia trifida",2,10,"5/25/2023","temple_11_amtr02_010",36.324,0.47,0.2299,157.9991301,229.9,489.1489362,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_11","temple_control_11","amtr_(ambrosia trifida)","plant","",10,"block_2"
"16","temple",11,"control","amtr",TRUE,"amtr","ambrosia trifida",2,10,"5/25/2023","temple_11_amtr02_010",36.324,0.47,0.2299,157.9991301,229.9,489.1489362,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_11","temple_control_11","amtr_(ambrosia trifida)","plant","",3,"block_2"
"17","temple",18,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,15,"5/26/2023","temple_18_amtr01_015",108.161,1.83,0.566,191.0971731,566,309.2896175,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_18","temple_npk_18","amtr_(ambrosia trifida)","plant","",70,"block_2"
"18","temple",18,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,15,"5/26/2023","temple_18_amtr01_015",108.161,1.83,0.566,191.0971731,566,309.2896175,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_18","temple_npk_18","amtr_(ambrosia trifida)","plant","",90,"block_2"
