,obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,id_updated_mk,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,
1,1,1686152202,0,2023-06-07 11:36:42,11:36:42,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152194,0.003675122,3.675121651,11.7861973,416.3346966,288.8844012,26.26069988,37.84642047,0.167298128,4.255453804,0.163728278,0.102644566,632.5338073,29.25306469,28.00384667,3.795690746,49.90922638,1.81822699,3.643067869,1.977463756,-162.0728648,-161.092624,-8.223130085,301.1451884,11.6553598,3.828337941,11.7861973,428.0428646,424.7520061,-0.0002617,63.57716927,3.675121651,18.95935791,19.96124545,-0.001804764,113.9129226,4,1,1,0,47897,3595.392333,2949.300346,0.820300004,0.175929008,1.37,0.5,0: Broadleaf,2,TRUE,1686152194,416.3347,419.9652,20.00165333,18.97361,413.2114,19.78739,499.9709333,90.80378667,0.100048107,27.30167333,28.00384667,999.9,0,0,9997.347667,0,1595.420333,-3.630597667,424.8319667,428.0876667,1.028044567,419.9652,18.97361,1.816226667,1.722875667,15.92713333,15.10407333,1999.972,0.979997433,0.0200021,0,1.8737,0,2959.56,17337.96667,41.88096667,43.2248,41.3851,41.04986667,40.63943333,1959.971667,40,0,1686152267,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-3.61185675,-0.184260225,0.042115126,0,1.010062175,0.214824124,0.034843812,0,0,2,0/2,3.13395,2.72808,0.0846493,0.0861454,0.0939157,0.091224,27188.6,26966.5,30246.5,29774.1,37837,35619.9,46281.2,44260.6,1.81043,1.7789,0.0544637,0,27.1277,999.9,46.5,36.2,30.9034,64.3773,22.0913,1,0.269367,2.93688,20.2092,5.23017,11.974,4.97115,3.2901,9999,9999,9999,999.9,4.97278,1.87763,1.87576,1.87857,1.87515,1.87866,1.8759,1.87708,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.123,0.2135,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.1,43060.2,1.09985,2.56714,1.39893,2.34375,1.44897,2.41821,43.2633,15.0426,18,480.201,430.577,22.9395,30.5571,30.0003,30.2951,30.3677,21.9755,41.0364,2.79007,22.94,413.274,19.0442,100.008,101.79,,
2,2,1686152207,5,2023-06-07 11:36:47,11:36:47,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152199,0.00366227,3.662270371,12.00730564,416.3096517,286.0801938,26.00562307,37.84390573,0.166355278,4.257104012,0.162826432,0.102077338,632.5346068,29.25426307,28.0107069,3.79720897,49.84244726,1.815747852,3.642974918,1.981461118,-161.5061234,-162.8295068,-8.308835572,299.8901411,11.08425747,3.774172795,12.00730564,428.0468256,424.6944545,-0.00027466,63.57716927,3.662270371,18.96464764,19.95173091,-0.000437937,113.9129226,4,1,1,0,47995,3595.396897,2949.304088,0.820300004,0.175929007,1.37,0.5,0: Broadleaf,2,TRUE,1686152199,416.3096552,419.7773103,19.9745069,18.96102414,413.1864138,19.76074483,499.9923448,90.80348276,0.099780162,27.30123793,28.0107069,999.9,0,0,10002.56103,0,1595.422069,-3.467783103,424.7946897,427.8906552,1.01348,419.7773103,18.96102414,1.813754483,1.721726552,15.90582759,15.0937069,1999.974828,0.979997517,0.020001983,0,1.876703448,0,2958.161379,17337.98966,41.87255172,43.2347931,41.39627586,41.06662069,40.65710345,1959.974828,40,0,1686152272,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-3.56773439,1.084765505,0.249369083,0,1.017579341,-0.118456432,0.025091866,0,0,2,0/2,3.13438,2.72756,0.0846245,0.0857055,0.0938874,0.0912465,27189.4,26979.3,30246.5,29773.9,37838.4,35618.7,46281.4,44260.3,1.81098,1.7782,0.0536628,0,27.1283,999.9,46.4,36.2,30.8381,64.3273,22.0032,1,0.269733,2.9925,20.2079,5.22687,11.974,4.97025,3.28955,9999,9999,9999,999.9,4.97281,1.87763,1.87578,1.8786,1.87517,1.87868,1.87591,1.87712,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.123,0.2133,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.2,43060.3,1.073,2.56836,1.39893,2.34375,1.44897,2.43164,43.2633,15.0426,18,480.525,430.169,22.9383,30.5604,30.0003,30.298,30.371,21.4689,40.7628,2.40108,22.9214,399.713,19.0591,100.008,101.79,,
3,3,1686152212,10,2023-06-07 11:36:52,11:36:52,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152204,0.003552759,3.552759243,11.51359608,415.7973538,286.7622491,26.06739175,37.79699924,0.161085474,4.255982966,0.15777341,0.098900285,632.5380451,29.27431229,28.01431071,3.798006736,49.80257473,1.81424381,3.642871517,1.983762926,-156.6766826,-163.7246544,-8.356843819,303.7798643,2.80322522,3.67148234,11.51359608,420.8256643,421.3285091,-0.804500899,63.57716927,3.552759243,18.99658951,19.95098545,-3.79E-05,113.9129226,4,1,1,0,47865,3595.416429,2949.320111,0.820300004,0.175929008,1.37,0.5,0: Broadleaf,2,TRUE,1686152204,415.7973571,416.9837857,19.95813929,18.97218214,412.6755714,19.74468929,499.9753571,90.80291429,0.099538289,27.30075357,28.01431071,999.9,0,0,9999.104643,0,1595.443571,-1.186494929,424.2649286,425.0478929,0.985957321,416.9837857,18.97218214,1.812256786,1.722728571,15.89290714,15.10275,1999.972857,0.979997607,0.020001964,0,1.927546429,0,2956.651786,17337.975,41.87696429,43.24325,41.38371429,41.06671429,40.65371429,1959.972857,40,0,1686152277,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-1.84964495,24.95479308,3.127233588,0,0.99923555,-0.316759992,0.031351963,0,0,2,0/2,3.13413,2.72756,0.08402,0.0836982,0.0938896,0.091457,27207.5,27038.2,30246.6,29773.6,37838.6,35610,46281.9,44259.9,1.81057,1.7783,0.0546686,0,27.1305,999.9,46.4,36.3,31.0078,64.2473,21.7788,1,0.270234,3.01947,20.2072,5.22717,11.974,4.97025,3.2895,9999,9999,9999,999.9,4.9728,1.87763,1.87578,1.87857,1.87518,1.87868,1.87592,1.8771,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.112,0.2134,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.2,43060.3,1.04248,2.57324,1.39893,2.34375,1.44897,2.41455,43.2633,15.0426,18,480.327,430.253,22.9234,30.5643,30.0005,30.3019,30.3742,20.7765,40.7628,2.03067,22.9134,379.643,19.059,100.009,101.789,,
4,4,1686152217,15,2023-06-07 11:36:57,11:36:57,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152210,0.003476876,3.476876038,11.73094216,412.9647004,279.3041651,25.38928447,37.53928357,0.157554803,4.257488915,0.154385893,0.096770589,632.443022,29.28671208,28.01437407,3.798020763,49.79822416,1.814041044,3.642782599,1.983979719,-153.3302333,-163.8927372,-8.362449394,306.8576022,-15.54803505,3.56127817,11.73094216,406.1258617,412.0201212,-1.984061898,63.57716927,3.476876038,19.04132275,19.97127576,0.00044685,113.9129226,4,1,1,0,47925,3594.876296,2948.877041,0.820300004,0.175929008,1.37,0.5,0: Broadleaf,2,TRUE,1686152210,412.9647037,409.1074444,19.95602593,18.99969259,409.8505185,19.74261481,499.9916296,90.80262963,0.099288959,27.30033704,28.01437407,999.9,0,0,10003.86333,0,1594.905185,3.857197852,421.3736667,417.0306667,0.956328926,409.1074444,18.99969259,1.812058519,1.725221852,15.89119259,15.12522593,1999.971111,0.97999763,0.020001944,0,1.971018519,0,2955.156296,17337.95926,41.87707407,43.25,41.40955556,41.07611111,40.6662963,1959.971111,40,0,1686152282,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,0.9270978,53.04062848,5.603597317,0,0.975361975,-0.352626135,0.035110641,0,0,2,0/2,3.13405,2.72788,0.0825155,0.0811845,0.0939538,0.0915058,27252.2,27112.1,30246.7,29773.3,37835.7,35607.5,46281.7,44259.4,1.81043,1.77855,0.0536069,0,27.1312,999.9,46.4,36.3,31.0059,64.0773,22.0793,1,0.270539,3.05796,20.2066,5.22792,11.974,4.97005,3.2895,9999,9999,9999,999.9,4.97278,1.87761,1.87576,1.87854,1.87516,1.87866,1.87591,1.87707,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.086,0.2137,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.3,43060.4,1.00586,2.57568,1.39893,2.34375,1.44897,2.43408,43.2904,15.0426,18,480.265,430.435,22.9124,30.5678,30.0004,30.3053,30.3783,20.1095,40.7628,1.64579,22.8949,366.267,19.051,100.009,101.788,,
5,5,1686152222,20,2023-06-07 11:37:02,11:37:02,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152214,0.0034973,3.497300363,11.61030421,406.6514967,275.1978309,25.01592251,36.96527074,0.158586304,4.256244278,0.155375302,0.097392645,632.5040914,29.28463418,28.01271786,3.797654112,49.81488846,1.814738718,3.642964533,1.982915393,-154.230946,-163.2692255,-8.333037976,306.6708819,-37.0267464,3.494360888,11.61030421,389.6227032,398.864,-2.700965574,63.57716927,3.497300363,19.04794931,19.98522364,0.000220992,113.9129226,4,1,1,0,47771,3595.223571,2949.161898,0.820300001,0.175929001,1.37,0.5,0: Broadleaf,2,TRUE,1686152214,406.6515,396.8955714,19.96377143,19.02543571,403.5541786,19.75022143,500.0025357,90.80226786,0.099329818,27.30118929,28.01271786,999.9,0,0,9999.996071,0,1595.227143,9.755899,414.9350714,404.5927857,0.938334857,396.8955714,19.02543571,1.812755,1.7275525,15.89721071,15.14622857,1999.996429,0.979997929,0.020001643,0,2.006542857,0,2953.854643,17338.18214,41.89932143,43.25442857,41.40607143,41.07121429,40.66257143,1959.996429,40,0,1686152287,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,5.84358078,74.69963141,7.463415244,0,0.953825073,-0.271303756,0.03018986,0,0,2,0/2,3.13428,2.72749,0.080425,0.0785189,0.0939984,0.0915307,27314,27190.7,30246.4,29773.2,37833.3,35606.1,46281.2,44259.2,1.8108,1.77775,0.0539832,0,27.134,999.9,46.4,36.3,31.0065,63.9973,21.855,1,0.271095,3.06918,20.2065,5.22777,11.974,4.96995,3.28948,9999,9999,9999,999.9,4.97278,1.87764,1.87577,1.87857,1.87518,1.87867,1.87592,1.87709,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.051,0.214,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.4,43060.5,0.9729,2.5769,1.39893,2.34375,1.44897,2.42676,43.2904,15.0339,18,480.493,429.966,22.8942,30.5716,30.0005,30.3084,30.3814,19.3715,40.7628,1.26278,22.8848,346.229,19.0491,100.008,101.787,,
6,6,1686152227,25,2023-06-07 11:37:07,11:37:07,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152220,0.003505362,3.505361637,11.70002386,395.4150337,263.7910645,23.97891657,35.94368945,0.159044505,4.252485389,0.155812332,0.097667635,632.6745932,29.28656287,28.01388889,3.79791335,49.84729963,1.816028974,3.643184259,1.981884376,-154.5864482,-163.1575436,-8.334790145,306.5958113,-56.34832671,3.464563432,11.70002386,372.8925891,383.7482667,-3.055561893,63.57716927,3.505361637,19.05468225,19.99500606,0.000119981,113.9129226,4,1,1,0,47905,3596.192963,2949.957068,0.820299994,0.175928989,1.37,0.5,0: Broadleaf,2,TRUE,1686152220,395.415037,380.3501111,19.97805926,19.04768148,392.3477037,19.76424074,499.9718519,90.80167778,0.09949287,27.30221852,28.01388889,999.9,0,0,9988.264074,0,1596.155926,15.06477593,403.4754815,387.7355556,0.930378185,380.3501111,19.04768148,1.814041111,1.729561481,15.90831111,15.16431852,2000.037037,0.979998333,0.020001178,0,1.974125926,0,2952.679259,17338.52963,41.88866667,43.26377778,41.42103704,41.08544444,40.67785185,1960.037037,40,0,1686152292,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,11.05630322,63.95392514,6.517002375,0,0.939420146,-0.108446132,0.01928244,0,0,2,0/2,3.134,2.72797,0.0780127,0.0757724,0.0940285,0.0915467,27385,27270.8,30245.7,29772.3,37831.1,35604,46280.3,44257.6,1.81015,1.77805,0.053905,0,27.1364,999.9,46.3,36.3,30.9421,63.8873,22.1434,1,0.271385,3.0819,20.2061,5.22777,11.974,4.96965,3.28945,9999,9999,9999,999.9,4.97277,1.87761,1.87576,1.87854,1.87515,1.87867,1.87592,1.87706,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.011,0.2141,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.5,43060.6,0.935059,2.5769,1.39893,2.34375,1.44897,2.41699,43.3176,15.0426,18,480.158,430.174,22.8807,30.575,30.0004,30.3125,30.3848,18.6872,40.7628,1.26278,22.8694,332.856,19.0491,100.006,101.784,,
7,7,1686152232,30,2023-06-07 11:37:12,11:37:12,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152224,0.003512594,3.512593555,11.23938833,382.4841754,256.2800843,23.29614449,34.76823664,0.159506254,4.253126758,0.156255973,0.097946492,632.7708867,29.28668083,28.0116,3.79740666,49.87225276,1.817079454,3.643467766,1.980327206,-154.9053758,-162.352839,-8.292391812,307.2202801,-65.56463719,3.484360925,11.23938833,356.0205284,367.741,-3.214878759,63.57716927,3.512593555,19.06002406,20.00260848,7.88E-05,113.9129226,4,1,1,0,47953,3596.740357,2950.40609,0.820299993,0.175928987,1.37,0.5,0: Broadleaf,2,TRUE,1686152224,382.4841786,364.8839286,19.98962857,19.05396071,379.4518929,19.77558571,499.9800357,90.80155,0.099561407,27.30354643,28.0116,999.9,0,0,9990.290714,0,1596.694643,17.60022857,390.2857143,371.9713571,0.935669429,364.8839286,19.05396071,1.815089286,1.730128929,15.91735,15.16942143,2000.045714,0.9799985,0.020001011,0,2.001439286,0,2951.5525,17338.60714,41.9105,43.26328571,41.40371429,41.08907143,40.68707143,1960.045714,40,0,1686152298,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,15.95580825,33.12632499,3.368281302,0,0.932512825,0.065923801,0.006497888,1,1,2,1/2,3.1342,2.72764,0.0754255,0.0729725,0.0940518,0.0915621,27462.2,27353.3,30246.2,29772.2,37830.4,35602.9,46280.9,44257.2,1.81043,1.77755,0.0527427,0,27.1391,999.9,46.3,36.3,30.94,64.2273,21.9511,1,0.271806,3.09197,20.206,5.22852,11.974,4.96965,3.28958,9999,9999,9999,999.9,4.97278,1.87763,1.87577,1.87857,1.87515,1.87866,1.87592,1.87708,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.968,0.2143,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.6,43060.7,0.900879,2.58057,1.39893,2.34375,1.44897,2.40356,43.3176,15.0339,18,480.332,429.893,22.8666,30.5796,30.0004,30.3159,30.3886,17.9398,40.7628,0.8645,22.8568,312.82,19.0491,100.007,101.783,,
8,8,1686152237,35,2023-06-07 11:37:17,11:37:17,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152230,0.003513249,3.513249205,10.94047805,366.5167746,243.9557159,22.17583851,33.31677134,0.159621576,4.251022729,0.15636507,0.098015219,632.8439049,29.28830287,28.01099259,3.797272208,49.89511908,1.817966424,3.643575679,1.979305785,-154.93429,-162.017483,-8.279354611,307.6127774,-70.99524454,3.495257554,10.94047805,339.1088245,351.3002545,-3.298530258,63.57716927,3.513249205,19.06757523,20.01042788,7.49E-05,113.9129226,4,1,1,0,47893,3597.155185,2950.746393,0.820299999,0.175928997,1.37,0.5,0: Broadleaf,2,TRUE,1686152230,366.5167778,347.412963,19.99939259,19.06074074,363.5282222,19.78517037,499.9442222,90.80141481,0.099667063,27.30405185,28.01099259,999.9,0,0,9983.703704,0,1597.145926,19.10372963,373.9963333,354.1635185,0.938649111,347.412963,19.06074074,1.815972963,1.730742963,15.92497037,15.17494074,2000.009259,0.979998222,0.020001289,0,1.946540741,0,2950.171481,17338.29259,41.93737037,43.27066667,41.43488889,41.0992963,40.70788889,1960.009259,40,0,1686152302,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,17.8649125,19.23877261,1.95857783,0,0.936071525,0.041566413,0.004287322,1,1,2,1/2,3.13408,2.72835,0.0727225,0.0701071,0.0940785,0.0915914,27542.2,27437.5,30245.8,29771.9,37828.8,35601.4,46280.5,44257.1,1.81035,1.77755,0.0536069,0,27.1427,999.9,46.3,36.3,30.9415,63.9073,22.1474,1,0.272099,3.08698,20.2063,5.22897,11.974,4.96975,3.28965,9999,9999,9999,999.9,4.97281,1.87765,1.87578,1.87858,1.87518,1.87868,1.87592,1.87709,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.922,0.2144,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.7,43060.8,0.863037,2.58301,1.39893,2.34375,1.44897,2.41577,43.3448,15.0339,18,480.315,429.922,22.8537,30.583,30.0005,30.3198,30.3927,17.2447,40.7628,0.486235,22.8516,299.462,19.0491,100.006,101.782,,
9,9,1686152242,40,2023-06-07 11:37:22,11:37:22,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152234,0.003505427,3.505426965,10.08006993,351.5662114,238.0037537,21.63474824,31.95767443,0.159366657,4.251758498,0.156120979,0.097861718,632.8712294,29.28862773,28.00815357,3.796643837,49.9168484,1.818662794,3.643384652,1.977981043,-154.5893292,-161.5998483,-8.256429886,308.4256221,-73.41564839,3.498381222,10.08006993,322.2163159,334.7239879,-3.315059215,63.57716927,3.505426965,19.07719404,20.01798424,6.49E-05,113.9129226,4,1,1,0,47967,3597.310357,2950.873694,0.820300002,0.175929004,1.37,0.5,0: Broadleaf,2,TRUE,1686152234,351.5662143,331.7858929,20.0071,19.06765357,348.6192857,19.79272857,499.9638571,90.80106786,0.099802011,27.30315714,28.00815357,999.9,0,0,9986.050357,0,1597.325357,19.78031071,358.7435,338.235,0.939444643,331.7858929,19.06765357,1.816665714,1.731364286,15.93094643,15.18052143,1999.985,0.979998071,0.020001429,0,1.963489286,0,2949.008571,17338.09286,41.96189286,43.27657143,41.44171429,41.07564286,40.68932143,1959.985,40,0,1686152307,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,19.3518825,8.81911182,0.887432127,0,0.938647325,0.01085758,0.001840505,1,1,2,1/2,3.13396,2.72848,0.0699414,0.0671735,0.094098,0.091624,27624.6,27524.2,30245.6,29772.1,37827.4,35600.4,46280,44257.6,1.81017,1.77733,0.0522584,0,27.1461,999.9,46.3,36.4,31.112,63.8873,22.0633,1,0.272464,3.09291,20.2061,5.22897,11.974,4.96975,3.28965,9999,9999,9999,999.9,4.9728,1.87761,1.87577,1.87857,1.87515,1.87867,1.87592,1.87708,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.876,0.2146,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.7,43060.8,0.828857,2.58301,1.39893,2.34375,1.44897,2.42432,43.3448,15.0339,18,480.243,429.815,22.8476,30.5875,30.0004,30.3238,30.3972,16.4893,40.7628,0,22.8389,279.427,19.0491,100.005,101.783,,
10,10,1686152247,45,2023-06-07 11:37:27,11:37:27,5,albert,lubb_08_control_bogr2_02,lubb_8_bogr2_2_27,1686152240,0.003497238,3.49723849,10.01512661,334.471886,221.9622994,20.17640944,30.40354933,0.159039033,4.251251334,0.155806163,0.097663839,632.9810814,29.28887907,28.00828519,3.796672965,49.94133264,1.819348942,3.642972355,1.977324024,-154.2282174,-162.0533594,-8.280514051,308.4189905,-75.05882599,3.494216668,10.01512661,305.2025477,317.9335455,-3.359560254,63.57716927,3.49723849,19.08604372,20.02461273,6.30E-05,113.9129226,4,1,1,0,47839,3597.934815,2951.385932,0.820300001,0.175929002,1.37,0.5,0: Broadleaf,2,TRUE,1686152240,334.4718889,314.2252222,20.0148037,19.07651481,331.5732222,19.80028519,499.9808148,90.80013333,0.100030793,27.30122593,28.00828519,999.9,0,0,9984.561852,0,1597.941852,20.24671852,341.3029259,320.3358148,0.938278741,314.2252222,19.07651481,1.817346296,1.732151481,15.93680741,15.1875963,1999.992963,0.979998259,0.020001278,0,1.891014815,0,2947.67963,17338.15926,41.99051852,43.28903704,41.43492593,41.08077778,40.67092593,1959.992963,40,0,1686152312,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,19.9813475,5.199614634,0.512479828,0,0.938677925,-0.012422128,0.001672379,1,1,2,1/2,3.13398,2.72864,0.0670742,0.0641806,0.0941213,0.0916434,27709.1,27611.8,30245,29771.4,37825.3,35598.6,46279,44256.6,1.81015,1.77705,0.0524335,0,27.1489,999.9,46.3,36.4,31.1105,64.2873,22.2115,1,0.272879,3.09458,20.206,5.22882,11.974,4.9699,3.28965,9999,9999,9999,999.9,4.97279,1.87764,1.8758,1.87859,1.87517,1.87867,1.87592,1.8771,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.829,0.2147,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43060.8,43060.9,0.789795,2.58667,1.39893,2.34375,1.44897,2.41089,43.3719,15.0339,18,480.254,429.67,22.8366,30.5926,30.0003,30.3277,30.4006,15.7902,40.7628,0,22.8348,266.07,19.0491,100.003,101.781,,
