,obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,id_updated_mk,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,
1,1,1687528704,0,2023-06-23 9:58:23,9:58:23,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003210294,3.210294238,12.11495261,403.8648897,270.0728471,27.52762018,41.1645947,0.16191236,2.962525799,0.157152061,0.098636074,435.8163341,28.72806989,28.01504839,3.79817005,49.50288848,1.772920675,3.58144894,2.025249376,-141.5739759,-160.3803142,-11.7433226,122.1187214,12.1298728,3.210582269,12.11495261,425.7598404,411.0395152,-0.003162837,65.07194828,3.210294238,13.63586637,17.4131303,0.000893481,104.9127054,0,0,1,0,53817,2477.230613,2032.07208,0.820299923,0.17592885,6,0.5,0: Broadleaf,2,TRUE,1687528696,403.8649032,419.9751935,17.39408387,13.60875806,400.9042258,17.27867419,500.0473871,101.8266774,0.09997119,27.0108871,28.01504839,999.9,0,0,10006.41419,0,477.2141613,-16.1103,411.014129,425.7693871,3.785340323,419.9751935,13.60875806,1.771182581,1.385733548,15.53475806,11.76236774,2000.016452,0.980004613,0.019995887,0,1.960974194,0,12248.78387,17338.38387,44.09858065,45.36890323,44.125,43.683,42.9613871,1960.026452,39.99,0,1687528703,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,-16.11663902,0.215161672,0.038547063,0,3.801017561,-0.319327526,0.034669584,0,0,2,0/2,3.12269,2.75606,0.091445,0.0952034,0.0945525,0.0798114,26692,26383.2,29938.1,29443.9,37473.3,35686.4,45858.6,43783,1.7631,1.777,0.0108406,0,27.8686,999.9,62.4,37.5,39.705,65.632,19.9038,1,0.676423,7.16817,20.0898,5.23182,11.98,4.97095,3.29033,9999,9999,9999,999.9,4.97265,1.87759,1.87572,1.87851,1.87515,1.87864,1.87578,1.87698,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.961,0.1157,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.2,11.2,1.05957,2.56348,1.39893,2.28027,1.44897,2.47437,42.939,14.7099,18,507.684,431.056,21.1811,35.1152,30.0039,34.6065,34.631,21.151,62.8108,0,21.086,413.313,13.8379,99.0524,100.68,,
2,2,1687528709,5,2023-06-23 9:58:28,9:58:28,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003102121,3.102121018,12.07816622,403.8841589,266.0885509,27.12156082,41.16662946,0.156121984,2.962017212,0.151690322,0.09519414,450.1667606,28.84779545,28.03086552,3.8016733,49.51711304,1.774248304,3.583101266,2.027424996,-136.8035369,-161.6243546,-11.83784449,139.9010246,12.00857884,3.16423822,12.07816622,425.7251653,411.0334606,-0.000311593,65.07194828,3.102121018,13.77710025,17.42924545,0.000603609,104.9127054,0,0,1,0,53800,2558.800069,2098.983501,0.820299924,0.175928853,6,0.5,0: Broadleaf,2,TRUE,1687528701,403.8841724,419.8265172,17.40707931,13.67644828,400.9235172,17.29144828,500.048069,101.8271034,0.099720252,27.01874138,28.03086552,999.9,0,0,10003.48828,0,558.7914483,-15.94228621,411.0391034,425.6477586,3.730638276,419.8265172,13.67644828,1.772513448,1.392632759,15.54646897,11.83748276,2000.008621,0.980004586,0.01999591,0,2.039544828,0,12246.50345,17338.3069,44.11413793,45.37065517,44.125,43.687,42.98262069,1960.018621,39.99,0,1687528708,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,-16.06938293,0.829291986,0.148082549,0,3.765314634,-0.501459721,0.057962504,0,0,2,0/2,3.12252,2.75626,0.0914293,0.0947561,0.0946405,0.0805104,26691.1,26395.1,29936.5,29442.7,37467.9,35657.9,45856.4,43781.2,1.76255,1.77717,0.00976026,0,27.8775,999.9,62.4,37.5,39.7009,65.672,19.6154,1,0.677627,7.06172,20.0936,5.22882,11.98,4.96995,3.28965,9999,9999,9999,999.9,4.97269,1.87759,1.87574,1.87852,1.87515,1.87865,1.87584,1.87698,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.961,0.1162,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.3,11.3,1.03149,2.56836,1.39893,2.28027,1.44897,2.3291,42.966,14.7012,18,507.415,431.228,21.0848,35.1258,30.0021,34.6158,34.6406,20.6353,62.8108,0,21.0443,399.936,13.8364,99.0475,100.675,,
3,3,1687528714,10,2023-06-23 9:58:33,9:58:33,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003164712,3.164712217,11.23571168,403.5155946,276.7933752,28.21289994,41.12939872,0.159427921,2.961045853,0.154808109,0.097158989,462.7086057,28.91462331,28.03778214,3.803206112,49.55470897,1.776551721,3.585031085,2.026654391,-139.5638088,-161.2117385,-11.81244492,150.1206135,9.99601726,3.123676404,11.23571168,417.9722744,408.2588,-0.74518705,65.07194828,3.164712217,13.84063021,17.48125758,0.010574411,104.9127054,0,0,1,0,53783,2630.089321,2157.462074,0.820299925,0.175928856,6,0.5,0: Broadleaf,2,TRUE,1687528706,403.5156071,417.0229643,17.42953571,13.74656786,400.5559643,17.31351071,500.0150357,101.828,0.099656004,27.02791071,28.03778214,999.9,0,0,9997.893571,0,630.0921786,-13.50725893,410.6734286,422.8351429,3.682972857,417.0229643,13.74656786,1.774816429,1.399786429,15.56672143,11.91503571,1999.997143,0.980004536,0.019995925,0,2.049532143,0,12245.47857,17338.20357,44.12275,45.375,44.125,43.687,42.9955,1960.007143,39.99,0,1687528713,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,-14.27520854,25.41485247,3.303638167,0,3.705270488,-0.646112195,0.072885713,0,0,2,0/2,3.12259,2.75639,0.0908547,0.0924549,0.0948374,0.0805615,26706.8,26462,29935.2,29442.5,37458.1,35655.6,45854.5,43781,1.7626,1.777,0.00948086,0,27.8847,999.9,62.3,37.5,39.641,65.682,19.6875,1,0.678323,7.00081,20.0963,5.22882,11.98,4.9699,3.28965,9999,9999,9999,999.9,4.97268,1.87759,1.87575,1.87853,1.87515,1.87865,1.87583,1.877,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.953,0.117,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.3,11.3,1.00098,2.55737,1.39893,2.28149,1.44897,2.50244,42.966,14.7187,18,507.504,431.169,21.0267,35.1357,30.0013,34.625,34.6485,19.9519,62.8108,0,21.0035,379.899,13.8222,99.0433,100.675,,
4,4,1687528719,15,2023-06-23 9:58:38,9:58:38,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003159269,3.159269116,10.62868034,401.0465437,280.5066015,28.59162316,40.87808125,0.159339643,2.961758402,0.154725941,0.097107108,465.137623,28.93258447,28.04091481,3.803900529,49.63375048,1.77967878,3.585622209,2.024221748,-139.323768,-161.3024056,-11.81659526,152.6948541,5.415679886,3.087572247,10.62868034,402.7696919,399.7649333,-1.869770322,65.07194828,3.159269116,13.84637908,17.51479758,0.006615022,104.9127054,0,0,1,0,53947,2643.896111,2168.787785,0.820299926,0.175928858,6,0.5,0: Broadleaf,2,TRUE,1687528711,401.0465556,409.032,17.46006667,13.81934444,398.0927037,17.34351481,499.9551481,101.8289259,0.099595567,27.03071852,28.04091481,999.9,0,0,10001.84185,0,643.905,-7.985408,408.1731481,414.7634074,3.640728519,409.032,13.81934444,1.777942222,1.407210741,15.59415926,11.99547778,1999.991111,0.98000463,0.01999583,0,2.0148,0,12247.67407,17338.16296,44.12266667,45.375,44.14107407,43.687,43,1960.001111,39.99,0,1687528718,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,-11.29222649,55.47852337,6.088835212,0,3.682107561,-0.517399861,0.066900224,0,0,2,0/2,3.12259,2.75663,0.089295,0.0896336,0.0949587,0.0805701,26752.3,26543.7,29934.9,29442,37452.7,35654,45854.2,43779.7,1.76268,1.77663,0.00968575,0,27.8884,999.9,62.3,37.5,39.6399,65.452,20.0561,1,0.678605,6.96359,20.098,5.22867,11.98,4.9698,3.28965,9999,9999,9999,999.9,4.97268,1.87759,1.87576,1.87853,1.87515,1.87865,1.87584,1.87701,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.932,0.1176,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.4,11.4,0.965576,2.56836,1.39893,2.28027,1.44897,2.47437,42.966,14.7099,18,507.605,430.994,20.9823,35.1456,30.0006,34.634,34.6579,19.2999,62.8108,0,20.9636,366.539,13.805,99.0425,100.673,,
5,5,1687528724,20,2023-06-23 9:58:43,9:58:43,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.00314433,3.144330106,10.14484979,395.3071316,279.5391524,28.49314877,40.29326415,0.158814822,2.962143569,0.15423157,0.096795501,452.2399766,28.86316769,28.04302857,3.804369146,49.72798387,1.783293152,3.586095822,2.021075994,-138.6649577,-161.3017307,-11.8152666,140.4580217,-0.096815221,3.096010722,10.14484979,386.1711148,387.4226606,-2.560452094,65.07194828,3.144330106,13.85022634,17.5371103,0.002384299,104.9127054,0,0,1,0,53942,2570.584429,2108.650214,0.820299925,0.175928856,6,0.5,0: Broadleaf,2,TRUE,1687528716,395.3071429,396.6597143,17.49544286,13.84496071,392.3671429,17.37827143,499.9632143,101.8292857,0.099723239,27.03296786,28.04302857,999.9,0,0,10003.99036,0,570.5855,-1.352539143,402.3461429,402.2285,3.650491429,396.6597143,13.84496071,1.781550714,1.409823214,15.62582143,12.02369643,1999.998929,0.980004714,0.019995714,0,1.951996429,0,12252.00714,17338.23929,44.125,45.375,44.16042857,43.687,43,1960.008929,39.99,0,1687528723,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,-5.115405756,84.39428933,8.42089141,0,3.654403415,0.052556864,0.03743741,1,1,2,1/2,3.12248,2.7568,0.087089,0.0866541,0.0950351,0.0805806,26816.4,26630,29934.2,29441.4,37448.6,35652.7,45853.1,43778.8,1.7625,1.77657,0.00888482,0,27.8912,999.9,62.3,37.5,39.6366,65.582,20.1002,1,0.679344,6.9855,20.0973,5.22897,11.98,4.96985,3.28965,9999,9999,9999,999.9,4.97269,1.87759,1.87575,1.87854,1.87515,1.87864,1.87583,1.877,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.901,0.1179,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.5,11.5,0.933838,2.57324,1.39893,2.28027,1.44897,2.32666,42.966,14.6837,18,507.56,431.023,20.9479,35.1558,30.0008,34.6432,34.6671,18.6893,62.8108,0,20.9161,346.495,13.8047,99.0401,100.67,,
6,6,1687528729,25,2023-06-23 9:58:48,9:58:48,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003143869,3.143869435,9.696617128,384.8541003,274.1704333,27.94612366,39.22808213,0.159101942,2.962045265,0.154502214,0.096966074,451.8448299,28.85957047,28.03984444,3.803663248,49.81983034,1.786432875,3.585786749,2.017230373,-138.6446421,-161.0223069,-11.79491642,140.3829646,-5.260885397,3.118943417,9.696617128,369.5221424,373.1368242,-2.902747961,65.07194828,3.143869435,13.85029801,17.55094545,0.000682874,104.9127054,0,0,1,0,53863,2568.33837,2106.807773,0.820299925,0.175928855,6,0.5,0: Broadleaf,2,TRUE,1687528721,384.8541111,379.9813704,17.52611852,13.84891852,381.9393333,17.40841111,499.9913704,101.8298889,0.099860856,27.0315,28.03984444,999.9,0,0,10003.3737,0,568.3391111,4.872743481,391.7191481,385.3175185,3.677205185,379.9813704,13.84891852,1.784684074,1.410234444,15.65327037,12.02812963,1999.999259,0.980004852,0.019995611,0,1.9244,0,12258.15926,17338.24074,44.125,45.38418519,44.18240741,43.69633333,43,1960.009259,39.99,0,1687528728,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,-0.352592585,77.29174664,7.804104034,0,3.655702683,0.317905087,0.031793916,0,0,2,0/2,3.12258,2.75679,0.0845263,0.0837651,0.0950863,0.0805892,26890.9,26713.6,29933.4,29440.8,37445.3,35651.6,45851.9,43778.1,1.76245,1.77617,0.00816584,0,27.8951,999.9,62.3,37.5,39.6358,65.322,19.8157,1,0.680501,7.03545,20.0956,5.22792,11.98,4.96945,3.28948,9999,9999,9999,999.9,4.9727,1.87759,1.87574,1.87852,1.87515,1.87865,1.87583,1.87698,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.867,0.1182,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.6,11.6,0.899658,2.5647,1.39893,2.28027,1.44897,2.49512,42.966,14.7099,18,507.591,430.823,20.9079,35.1668,30.001,34.653,34.6752,17.9883,62.8108,0,20.8814,333.118,13.8047,99.0375,100.669,,
7,7,1687528734,30,2023-06-23 9:58:53,9:58:53,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003147804,3.147803922,9.207013231,372.712704,267.6329457,27.27986858,37.990665,0.159514007,2.961463617,0.154889914,0.097210487,454.7362536,28.8757397,28.03623214,3.802862565,49.86821335,1.788164411,3.585779981,2.014698154,-138.818153,-160.4190849,-11.75282418,143.7461916,-7.749509461,3.131988729,9.207013231,353.7796281,358.3372061,-2.968156783,65.07194828,3.147803922,13.85213671,17.56042485,0.000302617,104.9127054,0,0,1,0,53844,2584.7735,2120.289514,0.820299927,0.175928859,6,0.5,0: Broadleaf,2,TRUE,1687528726,372.7127143,364.8144286,17.54303571,13.85073571,369.8275714,17.42503929,500.0207143,101.8302857,0.099872804,27.03146786,28.03623214,999.9,0,0,10000.03714,0,584.7877857,7.898265,379.3677143,369.93825,3.692305,364.8144286,13.85073571,1.7864125,1.410423929,15.66839286,12.03017143,1999.985714,0.980004857,0.019995607,0,1.914178571,0,12262.00714,17338.13214,44.13828571,45.40157143,44.187,43.71175,43.00664286,1959.995714,39.99,0,1687528734,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,4.869330829,46.52112023,4.840313396,0,3.67828439,0.220647596,0.022334933,0,0,2,0/2,3.12254,2.75687,0.081845,0.080777,0.0951212,0.0805879,26969.5,26800.7,29933.3,29440.8,37443.8,35651.6,45852,43778.3,1.76208,1.7762,0.0083968,0,27.8979,999.9,62.3,37.5,39.6375,65.512,19.6554,1,0.681306,7.04968,20.0953,5.22792,11.98,4.9695,3.2895,9999,9999,9999,999.9,4.97269,1.87759,1.87573,1.87854,1.87515,1.87864,1.87581,1.87699,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.83,0.1183,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.7,11.7,0.864258,2.57568,1.39893,2.28149,1.44897,2.4353,42.9929,14.6924,18,507.425,430.9,20.874,35.1765,30.0009,34.6619,34.6846,17.3368,62.8108,0,20.8531,313.082,13.8047,99.0375,100.669,,
8,8,1687528739,35,2023-06-23 9:58:58,9:58:58,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003148204,3.148203728,8.718653809,357.7603977,258.1920203,26.31773549,36.46682614,0.159668972,2.961050243,0.155035405,0.097302235,459.9605149,28.90695852,28.03473333,3.802530391,49.90272084,1.789462747,3.585902164,2.013067644,-138.8357844,-160.0647933,-11.72845084,149.3314863,-9.403584014,3.14137929,8.718653809,337.3339117,343.0555818,-3.075457892,65.07194828,3.148203728,13.85430925,17.56496788,8.22E-05,104.9127054,0,0,1,0,53847,2614.468778,2144.64855,0.820299928,0.175928861,6,0.5,0: Broadleaf,2,TRUE,1687528731,357.7604074,347.8250741,17.55565185,13.8523,354.9122222,17.43744815,500.0168148,101.8308889,0.099974281,27.03204815,28.03473333,999.9,0,0,9997.634815,0,614.4895185,9.93527037,364.1531852,352.7108889,3.70335963,347.8250741,13.8523,1.787708519,1.410592222,15.67972222,12.03197778,1999.979259,0.980005,0.0199955,0,1.932159259,0,12265.32222,17338.07407,44.15944444,45.42322222,44.187,43.73366667,43.02525926,1959.989259,39.99,0,1687528738,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,8.54397775,23.4205863,2.344600088,0,3.6956885,0.129415835,0.012898387,0,0,2,0/2,3.12258,2.75679,0.0790204,0.077613,0.0951351,0.080596,27051.8,26892.3,29932.6,29440.3,37442.4,35650.4,45851.3,43777.4,1.7622,1.776,0.00915676,0,27.9,999.9,62.3,37.5,39.6333,65.492,19.7276,1,0.68216,7.0874,20.0937,5.22807,11.98,4.96935,3.2895,9999,9999,9999,999.9,4.97267,1.87752,1.87564,1.87851,1.87506,1.87854,1.87576,1.87698,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.792,0.1184,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.8,11.8,0.830078,2.58301,1.39893,2.28027,1.44897,2.3584,42.9929,14.6924,18,507.56,430.836,20.8453,35.1875,30.0009,34.6714,34.6941,16.602,62.8108,0,20.8144,299.722,13.8047,99.0356,100.667,,
9,9,1687528744,40,2023-06-23 9:59:03,9:59:03,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003151328,3.1513283,8.07244109,343.7630267,251.2705512,25.61235718,35.040244,0.159855399,2.961625986,0.155212049,0.097413483,455.5919945,28.8784994,28.03649286,3.802920349,49.92716077,1.790148238,3.585519807,2.01277211,-138.973578,-160.6668108,-11.77027087,144.1813348,-10.4133301,3.145734514,8.07244109,320.400733,327.3312121,-3.154988427,65.07194828,3.1513283,13.85524775,17.56949515,9.16E-05,104.9127054,0,0,1,0,53824,2589.637607,2124.279543,0.820299928,0.175928861,6,0.5,0: Broadleaf,2,TRUE,1687528736,343.7630357,332.5650714,17.56228571,13.85382143,340.9498929,17.44396786,500.0163929,101.8314286,0.099963932,27.03023214,28.03649286,999.9,0,0,10000.84536,0,589.65725,11.19790536,349.9081786,337.2370714,3.708472143,332.5650714,13.85382143,1.788391429,1.410753571,15.68568929,12.03370714,1999.980357,0.980005107,0.019995389,0,1.919775,0,12266.68571,17338.08929,44.17814286,45.43478571,44.187,43.74325,43.04428571,1959.990357,39.99,0,1687528743,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,10.46257927,16.60240139,1.641136707,0,3.704742195,0.071476516,0.007420221,1,1,2,1/2,3.12272,2.75688,0.0760626,0.0743678,0.0951539,0.0805998,27137.7,26986,29931.6,29439.4,37439.9,35649.1,45849.4,43776.3,1.76192,1.77547,0.008367,0,27.9008,999.9,62.3,37.5,39.6354,65.682,19.6234,1,0.683532,7.15383,20.0909,5.22747,11.98,4.96925,3.28948,9999,9999,9999,999.9,4.97269,1.87758,1.87572,1.87851,1.87515,1.87859,1.87578,1.87698,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.753,0.1184,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.8,11.8,0.794678,2.56714,1.39893,2.28027,1.44897,2.51465,42.9929,14.6924,18,507.452,430.563,20.8101,35.1979,30.0012,34.6801,34.7031,15.9437,62.8108,0,20.7717,279.687,13.8047,99.0319,100.664,,
10,10,1687528749,45,2023-06-23 9:59:08,9:59:08,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003207232,3.207231688,7.663457714,327.6585841,241.089993,24.57487728,33.39901997,0.162628626,2.961295421,0.157824857,0.099060316,452.4637358,28.83192084,28.04866667,3.805619351,49.99436476,1.791070874,3.582545518,2.014548478,-141.4389174,-164.8486062,-12.07785636,134.0983558,-11.46046209,3.152319868,7.663457714,303.6069862,311.2940545,-3.203559309,65.07194828,3.207231688,13.85536274,17.5916297,0.00521185,104.9127054,0,0,1,0,53933,2571.856259,2109.693501,0.820299927,0.175928858,6,0.5,0: Broadleaf,2,TRUE,1687528741,327.6585926,315.1457778,17.57116667,13.85493333,324.8861852,17.4526963,500.0111111,101.8322963,0.100085752,27.0161,28.04866667,999.9,0,0,9998.886296,0,571.8673704,12.51275185,333.5188148,319.5734815,3.71624037,315.1457778,13.85493333,1.789311111,1.410878519,15.69371852,12.03505926,1999.988889,0.980005333,0.019995163,0,1.9859,0,12265.0963,17338.15926,44.187,45.437,44.19166667,43.75,43.0597037,1959.998889,39.99,0,1687528748,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,11.72224732,15.14626662,1.50203061,0,3.712493415,0.082971638,0.009031784,1,1,2,1/2,3.12247,2.75695,0.0729966,0.0710737,0.0952388,0.0805976,27227.5,27081.5,29931.4,29439,37436.2,35648.2,45849.3,43775.4,1.76217,1.77562,0.0118017,0,27.9015,999.9,62.3,37.5,39.6389,65.542,20.1442,1,0.684698,7.23986,20.0875,5.22852,11.98,4.96945,3.28948,9999,9999,9999,999.9,4.97267,1.87759,1.87573,1.87851,1.87515,1.87865,1.87582,1.87698,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.712,0.1188,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,11.9,11.9,0.760498,2.5769,1.39893,2.28027,1.44897,2.51221,42.9929,14.6924,18,507.661,430.712,20.7677,35.2087,30.0012,34.6897,34.7114,15.2006,62.8108,0,20.7204,266.328,13.7967,99.0316,100.662,,
