site_code,site,experiment_type,block,plot,N,P,K,Exclose,Treatment_Other_Name,Treatment_Other_Level,Treatment,first_nutrient_year,first_fenced_year
abisko.se,abisko,Observational,1,1,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,2,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,3,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,4,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,5,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,6,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,7,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,8,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,9,0,0,0,0,NULL,NULL,Control,NULL,NULL
abisko.se,abisko,Observational,1,10,0,0,0,0,NULL,NULL,Control,NULL,NULL
ahth.is,ahth,Experimental (Full Factorial),1,1,0,0,0,0,NULL,NULL,Control,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,2,0,0,0,1,NULL,NULL,Fence,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,3,1,1,1,0,NULL,NULL,NPK,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,4,1,1,1,1,NULL,NULL,NPK+Fence,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,5,1,0,0,0,NULL,NULL,N,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,6,0,1,0,0,NULL,NULL,P,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,7,0,0,1,0,NULL,NULL,K,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,8,1,1,0,0,NULL,NULL,NP,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,9,1,0,1,0,NULL,NULL,NK,2017,2017
ahth.is,ahth,Experimental (Full Factorial),1,10,0,1,1,0,NULL,NULL,PK,2017,2017
ahth.is,ahth,Experimental (Full Factorial),2,11,0,0,0,0,NULL,NULL,Control,2017,2017
ahth.is,ahth,Experimental (Full Factorial),2,12,0,0,0,1,NULL,NULL,Fence,2017,2017
ahth.is,ahth,Experimental (Full Factorial),2,13,1,1,1,0,NULL,NULL,NPK,2017,2017
ahth.is,ahth,Experimental (Full Factorial),2,14,1,1,1,1,NULL,NULL,NPK+Fence,2017,2017
