site,site_code,taxon_code,Average.of.leaf_thickness,Average.of.sla,Average.of.ldmc,Average.of.n_delta.15,Average.of.plant_height,Average.of.n_concentration,Average.of.ssd_dimensional,Average.of.cn_ratio,average_site.value_.leaf_thickness,average_site.value_.sla,average_site.value_.ldmc,average_site.value_.n_delta.15,average_site.value_.plant_height,average_site.value_.n_concentration,average_site.value_.ssd_dimensional,average_site.value_.cn_ratio,rank_sla,rank_leaf.thickness,rank_n.concentration,rank_cn.ratio,rank_ssd,delta.15.n,rank_ldmc,count_conser,count_acqusitve
arch,arch.us,hyed,0.183571429,90.74144052,0.464208783,-2.557142857,92.85714286,10.62199088,0.670086528,53.63920133,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,acquisitive,conservative,conservative,acquisitive,acquisitive,acquisitive,acquisitive,2,5
arch,arch.us,panic,0.395,111.8166274,0.300116099,-1.63,54,7.650132178,0.199083131,59.66808673,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,acquisitive,conservative,conservative,acquisitive,conservative,acquisitive,conservative,4,3
arch,arch.us,scrh,0.465714286,113.8693523,0.322657282,-1.313571429,59.57142857,8.987335504,0.201805727,47.68937754,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,acquisitive,conservative,conservative,acquisitive,conservative,acquisitive,conservative,4,3
arch,arch.us,lylu,0.69,110.9821618,0.377527916,0.385,40,8.88483484,0.556283485,54.3474937,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,conservative,acquisitive,conservative,acquisitive,acquisitive,acquisitive,acquisitive,2,5
arch,arch.us,qumi,0.773571429,62.11868723,0.501208123,1.62,27.78571429,11.50827292,0.740096348,41.69528176,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,conservative,acquisitive,conservative,acquisitive,acquisitive,acquisitive,acquisitive,2,5
arch,arch.us,ptpy,0.6925,135.573084,0.266654087,-0.9575,46.25,14.20553005,0.562004521,34.50201903,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,acquisitive,acquisitive,acquisitive,conservative,acquisitive,acquisitive,conservative,2,5
arch,arch.us,asre,0.633333333,95.3818367,0.34972359,1.001666667,38.66666667,14.42481287,0.403266282,31.56644407,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,conservative,acquisitive,acquisitive,conservative,conservative,acquisitive,acquisitive,3,4
arch,arch.us,carph,1.265,158.3164629,0.149064961,-0.545,37.5,15.67601703,0.184147147,30.6348936,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,conservative,acquisitive,acquisitive,conservative,conservative,acquisitive,conservative,4,3
arch,arch.us,dicha,0.252857143,196.9033887,0.301840855,0.572142857,22.75,17.52696618,0.949909466,27.27371553,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,conservative,conservative,acquisitive,conservative,acquisitive,acquisitive,conservative,4,3
arch,arch.us,pase,0.574285714,270.3515747,0.216109774,-0.303571429,19.85714286,12.6431948,0.187823068,35.50176678,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,conservative,acquisitive,acquisitive,conservative,conservative,conservative,conservative,5,2
arch,arch.us,pigr,0.465,136.5009415,0.249065276,-0.37,36.5,15.4869936,0.316910979,28.56753651,0.494333333,140.5470134,0.346678734,-0.368333333,44.22777778,12.35662068,0.515583195,40.8263304,conservative,conservative,acquisitive,conservative,conservative,acquisitive,conservative,5,2
lubb,lubb.us,arhu,0.33,159.8469089,0.208097216,8.475,40,39.41876651,0.294826605,9.692477385,0.849344262,119.563661,0.267572998,4.736885246,54.3442623,39.53337532,0.515805614,11.11482918,conservative,conservative,conservative,acquisitive,conservative,acquisitive,conservative,5,2
lubb,lubb.us,bogr2,0.248,117.3088197,0.382172072,2.284,18.2,26.95683984,0.534624785,15.70492633,0.849344262,119.563661,0.267572998,4.736885246,54.3442623,39.53337532,0.515805614,11.11482918,conservative,conservative,conservative,acquisitive,acquisitive,conservative,acquisitive,4,3
lubb,lubb.us,chin2,1.406923077,166.8980338,0.161655511,5.827692308,62.07692308,51.35263757,0.267657145,7.377014854,0.849344262,119.563661,0.267572998,4.736885246,54.3442623,39.53337532,0.515805614,11.11482918,acquisitive,acquisitive,acquisitive,acquisitive,conservative,acquisitive,conservative,2,5
lubb,lubb.us,prgl2,0.55,66.69336247,0.413054962,4.419285714,105.0714286,33.74763374,1.43391648,13.69164725,0.849344262,119.563661,0.267572998,4.736885246,54.3442623,39.53337532,0.515805614,11.11482918,acquisitive,conservative,conservative,acquisitive,acquisitive,conservative,acquisitive,3,4
lubb,lubb.us,satr,0.988,119.4506065,0.126297083,6.415,33.5,43.04630324,0.367511973,8.332861548,0.849344262,119.563661,0.267572998,4.736885246,54.3442623,39.53337532,0.515805614,11.11482918,conservative,acquisitive,acquisitive,acquisitive,conservative,acquisitive,conservative,3,4
lubb,lubb.us,soel,1.066666667,125.226144,0.244731315,3.948333333,36.66666667,41.05131417,0.317284439,10.88812434,0.849344262,119.563661,0.267572998,4.736885246,54.3442623,39.53337532,0.515805614,11.11482918,conservative,acquisitive,acquisitive,conservative,conservative,conservative,conservative,5,2
sevi,sevi.us,boer,0.098571429,186.2114945,0.413419643,1.17,19.85714286,24.70266833,0.825438129,16.90008721,0.422758621,145.8225325,0.267938248,1.434655172,17.82758621,35.27219903,0.552184224,12.1476231,acquisitive,conservative,conservative,acquisitive,acquisitive,conservative,acquisitive,3,4
sevi,sevi.us,hodr,0.463333333,141.9601176,0.281985364,1.05,9.333333333,32.23857964,0.577095161,14.10641814,0.422758621,145.8225325,0.267938248,1.434655172,17.82758621,35.27219903,0.552184224,12.1476231,conservative,acquisitive,conservative,acquisitive,acquisitive,conservative,acquisitive,3,4
sevi,sevi.us,poja,0.265,168.797639,0.217328349,0.243,18.3,41.42033852,0.637208781,10.64995642,0.422758621,145.8225325,0.267938248,1.434655172,17.82758621,35.27219903,0.552184224,12.1476231,acquisitive,conservative,acquisitive,conservative,acquisitive,conservative,conservative,4,3
sevi,sevi.us,satr,0.473846154,110.9022349,0.132418565,2.165384615,23.92307692,38.03301276,0.437431889,8.34989408,0.422758621,145.8225325,0.267938248,1.434655172,17.82758621,35.27219903,0.552184224,12.1476231,acquisitive,acquisitive,acquisitive,acquisitive,conservative,acquisitive,conservative,2,5
sevi,sevi.us,soel,0.939166667,134.8528891,0.252881606,1.908333333,11.75,43.03095375,0.265073255,10.16046237,0.422758621,145.8225325,0.267938248,1.434655172,17.82758621,35.27219903,0.552184224,12.1476231,conservative,acquisitive,acquisitive,conservative,conservative,acquisitive,conservative,4,3
sevi,sevi.us,spfl,0.21,144.6119848,0.339274743,2.195,14,29.46524473,0.578339874,13.91130802,0.422758621,145.8225325,0.267938248,1.434655172,17.82758621,35.27219903,0.552184224,12.1476231,conservative,conservative,conservative,acquisitive,acquisitive,acquisitive,acquisitive,3,4
sevi,sevi.us,xasp,0.3125,96.92538224,0.324683425,1.4525,16.25,29.82499071,0.585751137,15.21132818,0.422758621,145.8225325,0.267938248,1.434655172,17.82758621,35.27219903,0.552184224,12.1476231,conservative,conservative,conservative,acquisitive,acquisitive,acquisitive,acquisitive,3,4
temple,temple.us,amtr,1.390714286,192.5201577,0.375004983,-0.152857143,77.14285714,29.67052488,0.262947942,14.07726293,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,acquisitive,acquisitive,conservative,conservative,conservative,conservative,4,3
temple,temple.us,cien,1.75,147.3771574,0.182520164,0.76,44.5,13.31353909,0.568249592,32.53541779,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,acquisitive,conservative,acquisitive,acquisitive,acquisitive,conservative,3,4
temple,temple.us,coca,0.388181818,199.8046064,0.376938267,2.000909091,44.09090909,23.88380584,0.728246565,18.14029894,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,acquisitive,conservative,acquisitive,acquisitive,conservative,4,3
temple,temple.us,coer,1.365,208.3155421,0.255667989,3.63,48,24.39809851,0.14079311,16.24776119,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,acquisitive,acquisitive,conservative,conservative,acquisitive,conservative,4,3
temple,temple.us,eude,0.42,239.0217391,0.92,-0.05,38,22.27786753,0.140167723,19.56514382,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,acquisitive,conservative,conservative,conservative,acquisitive,5,2
temple,temple.us,eusp,0.26,243.1875,0.23,-0.785,37.5,18.30805572,0.342497908,26.54661526,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,conservative,acquisitive,conservative,conservative,conservative,6,1
temple,temple.us,galiu,2.28,377.3214286,0.09,#DIV/0!,36.5,NA,1.109560724,#DIV/0!,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,acquisitive,NA,conservative,acquisitive,conservative,conservative,4,2
temple,temple.us,gapu,1.605,221.6175712,0.668090909,0.25,74,16.56340597,0.355469293,24.74361821,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,acquisitive,conservative,acquisitive,conservative,acquisitive,acquisitive,2,5
