site,site_code,family,taxon_code_field,taxon_code,taxon,type,duration,duration2,status,code_usda,taxon_morpho,photo_pathway,notes_species.information
arch,arch.us,onagraceae,"lusu, alt. prom midvein, prom mid vein",lusu,ludwigia suffruticosa,forb,perennial,,native,lusu11,"alt. prom midvein, prom mid vein",c3,"photo. pathway based on other species on try same genus: Ludwigia glandulosa, Ludwigia linearis, Ludwigia maritima, Ludwigia sphaerocarpa
_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
arch,arch.us,poaceae,dicha,dicha,dichanthelium sp.,graminoid,perennial,,native,dicha2,,c3,photopathway based on carbon delta 13 values
arch,arch.us,asteraceae,"eumo, redline",eumo,eupatorium mohrii,forb,perennial,,native,eumo4,redline,c3,photopathway based on carbon delta 13 values
arch,arch.us,ericaceae,"lylu, alt_egg",lylu,lyonia lucida,forb,perennial,,native,lylu3,alt. egg,c3,photopathway based on carbon delta 13 values
arch,arch.us,asteraceae,ptpy,ptpy,pterocaulon pycnostachyum,forb,perennial,,native,"ptpy2
",,c3,photopathway based on carbon delta 13 values
arch,arch.us,fagaceae,qumi,qumi,quercus minima,forb,perennial,,native,qumi2,,c3,photopathway based on carbon delta 13 values
arch,arch.us,annonaceae,"arse, glaudmind, orange",asre,asimina reticulata,forb,perennial,,native,asre7,glaumid / orange,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
arch,arch.us,asteraceae,"carph, turkey_vein_spoon",carph,carphephorus odoratissimus,forb,perennial,,native,caod3,turkey vein spoon,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
arch,arch.us,clusiaceae,hyed,hyed,hypericum edisonianum,forb,perennial,,native,hyed,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
arch,arch.us,clusiaceae,hyre,hyre,hypericum reductum,forb,perennial,,native,hyte11,,c3,"species officailly updated to hypericum tenuifolium, hyte11. Used older taxon (h. reductum) for simplicity_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
arch,arch.us,asteraceae,spiderpoint,pigr,pityopsis graminifolia,forb,perennial,,native,"pigr4
",spiderpoint. silky aster,c3,"uc davis updated code to fit within 20 character requirments SpiderPoint -> pigr_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
