site,rain_intensity,type,weight_n_percent,weight_c_percent,"isotope_
source",isotope_location,isotope_notes,UC Davis_smallest_calculator weight.mg_15N.13C,UC Davis_optimal_calculator weight.mg_15N.13C,UC Davis_largest_calculator weight.mg_15N.13C,taxon_code,family,taxon,Notes
temple,medium,forb,3.405,40.052,try,Kansas,"Evan Ambrosia sp.: carbon ~41, nitrogen ~ 2 - 2.8",0.59,2.94,4.41,AMTR,Asteraceae,ambrosia trifida,
lubb,low,forb,2.268960097,39.67865502,average,average,average of the others site locations,0.88,4.41,5.04,ARHUH,Euphorbiaceae,argythamnia humilis,
arch,high,forb,2.09,44.07,try,Florida,"Asimina angustifolia",0.96,4.54,4.54,ARSE,Annonaceae,asimina reticulata,
arch,high,grass,1.9536,43.0846,average,average,average of grasses across the site,1.03,4.64,4.64,AXFU,Poaceae,axonopus furcatus,vegetative state very similar to PANO. Might have mixed species in the field. Rounded leaves
sevi,very low,grass,1.247806685,43.50956098,sevi database,New Mexico,,1.6,4.6,4.6,BOER,Poaceae,bouteloua eriopoda,
lubb,low,grass,1.583,44.064,try,Kansas,,1.27,4.54,4.54,BOGR2,Poaceae,bouteloua gracilis,
arch,high,forb,1.5276,48.34375,average,average,average of forbs by arch,1.31,4.14,4.14,CARPH,Asteraceae,carphephorus odoratissimus,
lubb,low,forb,2.756296528,36.58113973,sevi database,New Mexico,,0.72,3.62,5.43,CHIN2,Chenopodiaceae,chenopodium incanum,
temple,medium,forb_carpet,2.355,40.844,try,Kansas,Cirsium undulatum,0.85,4.24,4.9,CIEN,Asteraceae,cirsium englemannii,
temple,medium,forb,2.328365417,40.14629583,average,average,average of the others site locations,0.86,4.29,4.98,COCA,Menispermaceae,cocculus carolinus,
temple,medium,forb,3.242,42.357,evan,Texas,,0.62,3.09,4.63,COER,Commelinaceae,commelina erecta,
arch,high,grass,1.7,45.14,try,Alabama,one in alabama but might be able to find one closer? ,1.18,4.43,4.43,DICHA,Poaceae,dichanthelium sp.,
arch,high,forb,1.798,45.135,try,Alabama,Sp. used Eupatorium rotundifolium,1.11,4.43,4.43,EUMO,Asteraceae,eupatorium mohrii,
temple,medium,forb,2.149,43.874,try,Kansas,,0.93,4.56,4.56,EUDE,Euphorbiaceae,euphorbia dentata,
temple,medium,forb,1.855,44.727,try,Kansas,,1.08,4.47,4.47,EUBPA,Euphorbiaceae,euphorbia spathulata,
temple,medium,forb,3.095375,41.97125,Evan,Texas,,0.68,3.23,4.77,GAPU,Asteraceae,gaillardia pulchella,
temple,medium,forb,1.858,40.344,try,Kansas,Galium aparine,1.08,4.96,4.96,2PGATE,Rubiaceae,galium texense,
