taxon_code,type,type_sub
lylu,herbaceous,forb
lylu,herbaceous,forb
lylu,herbaceous,forb
lusu,herbaceous,forb
asre,herbaceous,forb
asre,herbaceous,forb
asre,herbaceous,forb
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
litter,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
other,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
rock,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
soil,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
wood,NA,
eumo,herbaceous,forb
pigr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
crcr,herbaceous,forb
pape,herbaceous,forb
pape,herbaceous,forb
pape,herbaceous,forb
pape,herbaceous,forb
carph,herbaceous,forb
carph,herbaceous,forb
gate,herbaceous,forb
gate,herbaceous,forb
gate,herbaceous,forb
gate,herbaceous,forb
