date,people,site,conditions,machine,plot,trt,code,rep,ID matches user defined variable?,Performed auto match before curve?,Did leaf fit entire cuvette?,leaf width? (cm) (if needed),enter width into licor?,curve_start_time,envelope_multi,notes_licor
2023-05-24,EG,temple,20C; cloudy,yadi,1,control,amtr,4,y,y,y,NA,NA,9:55,,
2023-05-24,EG,temple,20C; cloudy,yadi,1,control,coca,1,y,y,y,NA,NA,10:36,,
2023-05-24,EG,temple,20C; cloudy,yadi,1,control,scsc,4,y,y,n,1,y,10:36,,3 blades
2023-05-24,EG,temple,20C; cloudy,yadi,1,control,soha,1,y,y,n,2.1,y,9:17,,
2023-05-24,EG,temple,20C; cloudy,yadi,1,control,toar,1,y,y,n,n,n,mia,,SLA needed 
2023-05-25,EG,temple,22C; cloudy,yadi,11,control,coca,1,y,y,y,mia,mia,14:33,,
2023-05-25,EG,temple,22C; cloudy,yadi,11,control,toar,1,y,y,n,NA,mia,14:05,,
2023-05-26,"EG, MK",temple,29C; synny,yadi,11,control,amtr,1,y,y,n,NA,NA,8:55,,
2023-05-26,"EG, MK",temple,29C; synny,yadi,21,control,coca,1,y,y,n,mia,n,15:38,,SLA needed
2023-05-26,"EG, MK",temple,29C; synny,yadi,11,control,scsc,1,y,y,n,1.4,y,9:51,,time may nt be accurate
2023-05-26,"EG, MK",temple,29C; synny,yadi,21,control,scsc,1,y,y,n,2.1,y,16:17,,
2023-05-26,"EG, MK",temple,29C; synny,yadi,11,control,soha,1,y,y,n,1.4,y,10:14,,
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,21,control,amtr,1,y,y,y,NA,NA,8:56,,
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,21,control,soha,1,y,y,n,1.4,y,9:36,,
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,21,control,toar,1,y,y,n,mia,n,10:08,,SLA needed 
2023-05-25,EG,temple,22C; cloudy,yadi,8,npk,amtr,1,y,y,y,NA,NA,11:55,,check licor name might be SOHA
2023-05-25,EG,temple,22C; cloudy,yadi,8,npk,coca,1,y,y,n,NA,NA,12:44,,issue with temp 30-33C
2023-05-25,EG,temple,22C; cloudy,yadi,8,npk,scsc,1,y,y,mia,1.6,y,13:36,,issue with temp 32C
2023-05-25,EG,temple,22C; cloudy,yadi,8,npk,soha,1,y,y,n,2.3,y,10:56,,5/28 = okay
2023-05-25,EG,temple,22C; cloudy,yadi,8,npk,toar,1,y,y,n,2,y,12:23,,leaf area measures 5/24
2023-05-26,"EG, MK",temple,29C; synny,yadi,18,npk,amtr,1,y,y,y,NA,NA,11:00,,
2023-05-26,"EG, MK",temple,29C; synny,yadi,18,npk,coca,1,y,y,n,NA,NA,12:46,,SLA needed; curve may be at ~11:31
2023-05-26,"EG, MK",temple,29C; synny,yadi,18,npk,scsc,1,y,y,n,1.23,y,15:00,,
2023-05-26,"EG, MK",temple,29C; synny,yadi,18,npk,soha,1,y,y,n,1.7,y,14:25,,
2023-05-26,"EG, MK",temple,29C; synny,yadi,18,npk,toar,1,y,y,n,NA,NA,13:12,,SLA needed
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,28,npk,amtr,1,y,y,y,NA,NA,13:42,,
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,28,npk,coca,1,y,y,n,NA,NA,13:00,,SLA needed 
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,28,npk,scsc,1,y,y,n,1.3,y,12:09,,SLA needed
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,28,npk,soha,1,y,y,n,1.7,y,11:33,,SLA needed
2023-05-27,"EG, MK",temple,20C; synny/hazy,yadi,28,npk,toar,1,y,y,n ,mia,n,12:37,,SLA needed
