ec5_uuid,created_at,uploaded_at,title,1_date_measured,2_time_started,3_site,4_plot__treatment,5_subplot,6_nested_subplot,7_Photo_of_1x1,8_notes,9_species_list_site,10_species_compositi,16_species_compositi,22_species_compositi,28_species_compositi
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,2023-09-07T19:02:40.000Z,2023-09-07T19:02:53.000Z,sevi_NPK_39,2023/09/07,12:58,sevi,sevi_NPK_39,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81_1694113114.jpg,,sevi,0,0,0,8
073881bb-7a81-4cf9-b49f-36726649de0f,2023-09-07T18:49:46.000Z,2023-09-07T18:53:36.000Z,sevi_control_40,2023/09/07,12:48,sevi,sevi_control_40,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=073881bb-7a81-4cf9-b49f-36726649de0f_1694112536.jpg,,sevi,0,0,0,10
b287dd4c-247f-4783-a712-d45ee95c09b9,2023-09-07T18:42:15.000Z,2023-09-07T18:42:21.000Z,sevi_control_35,2023/09/07,12:35,sevi,sevi_control_35,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=b287dd4c-247f-4783-a712-d45ee95c09b9_1694111776.jpg,,sevi,0,0,0,9
68c1eedc-2fe1-4b80-9c80-8a82c1b1d40f,2023-09-07T18:28:26.000Z,2023-09-07T18:32:49.000Z,sevi_NPK_25,2023/09/07,12:26,sevi,sevi_NPK_25,B,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=68c1eedc-2fe1-4b80-9c80-8a82c1b1d40f_1694111238.jpg,,sevi,0,0,0,9
f1d3a5e2-b45b-49bc-998a-57e694e295f2,2023-09-07T17:58:53.000Z,2023-09-07T18:00:20.000Z,sevi_control_22,2023/09/07,11:46,sevi,sevi_control_22,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f1d3a5e2-b45b-49bc-998a-57e694e295f2_1694108834.jpg,,sevi,0,0,0,8
f57efbdf-5bea-4f8d-9e20-61ac5455ffc8,2023-09-07T17:40:15.000Z,2023-09-07T17:42:22.000Z,sevi_NPK_17,2023/09/07,11:35,sevi,sevi_NPK_17,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f57efbdf-5bea-4f8d-9e20-61ac5455ffc8_1694108164.jpg,,sevi,0,0,0,8
8bbf53b2-0577-46e0-a9de-e286994d3923,2023-09-07T17:18:19.000Z,2023-09-07T17:29:36.000Z,sevi_control_12,2023/09/07,11:13,sevi,sevi_control_12,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=8bbf53b2-0577-46e0-a9de-e286994d3923_1694106840.jpg,,sevi,0,0,0,9
129f1263-13d2-444f-8cbe-e1a939c0a072,2023-09-07T17:03:29.000Z,2023-09-07T17:03:35.000Z,sevi_NPK_15,2023/09/07,10:56,sevi,sevi_NPK_15,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=129f1263-13d2-444f-8cbe-e1a939c0a072_1694105820.jpg,,sevi,0,0,0,7
62681bb0-fa86-4929-921a-020782947833,2023-09-07T16:44:15.000Z,2023-09-07T16:44:20.000Z,sevi_control_08,2023/09/07,10:32,sevi,sevi_control_08,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=62681bb0-fa86-4929-921a-020782947833_1694104410.jpg,"Moved from A1 to B2 becauseofwasp nest in A1",sevi,0,0,0,6
159c39f3-09f2-4853-9e49-618c09166406,2023-09-07T16:26:29.000Z,2023-09-07T17:29:33.000Z,sevi_NPK_06,2023/09/07,09:53,sevi,sevi_NPK_06,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=159c39f3-09f2-4853-9e49-618c09166406_1694102014.jpg,,sevi,0,0,0,10
7c0be2f7-0ee6-4c1e-b7ec-23b93f1abc4b,2023-08-23T17:49:20.000Z,2023-09-07T14:51:27.000Z,lubb_NPK_05,2023/08/23,12:47,lubb,lubb_NPK_05,B,4,,,lubb,0,2,0,0
f1174a2c-c9a2-4dde-bf7f-96e2b08a403c,2023-06-21T18:36:30.000Z,2023-08-21T03:46:05.000Z,arch_control_01,2023/06/21,14:30,arch,arch_control_01,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f1174a2c-c9a2-4dde-bf7f-96e2b08a403c_1687372294.jpg,,arch,0,0,11,0
17a0bd21-d17f-49a0-b181-eea16e6102bf,2023-06-21T18:05:29.000Z,2023-06-21T18:11:09.000Z,arch_NPK_08,2023/06/21,13:57,arch,arch_NPK_08,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=17a0bd21-d17f-49a0-b181-eea16e6102bf_1687370308.jpg,,arch,0,0,11,0
1e2c6339-bd80-4d6c-996c-89b24fceac41,2023-06-21T17:27:03.000Z,2023-06-21T17:51:14.000Z,arch_NPK_18,2023/06/21,13:25,arch,arch_NPK_18,C,3,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=1e2c6339-bd80-4d6c-996c-89b24fceac41_1687368394.jpg,,arch,0,0,14,0
1aad7f56-5111-4bad-904f-c57d81641088,2023-06-21T17:08:54.000Z,2023-08-21T03:46:07.000Z,arch_control_11,2023/06/21,12:49,arch,arch_control_11,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=1aad7f56-5111-4bad-904f-c57d81641088_1687366229.jpg,,arch,0,0,11,0
