"","site","plot","taxon_code","cn_ratio_avg","site_code","treatment","block","average.cover"
"1","arch",1,"dicha",34.2703538999831,"arch.us","Control",1,1
"2","arch",1,"hyed",70.7450655855695,"arch.us","Control",1,20
"3","arch",1,"pase",39.2425723256754,"arch.us","Control",1,0
"4","arch",1,"ptpy",40.0998768011141,"arch.us","Control",1,2
"5","arch",1,"qumi",39.9500800902435,"arch.us","Control",1,4
"6","arch",1,"scrh",57.1916223800951,"arch.us","Control",1,83
"7","arch",8,"asre",32.254810420262,"arch.us","NPK",1,4
"8","arch",8,"dicha",22.8735680109667,"arch.us","NPK",1,2
"9","arch",8,"hyed",55.5517898784128,"arch.us","NPK",1,28
"10","arch",8,"pase",30.3779551904247,"arch.us","NPK",1,8
"11","arch",8,"qumi",41.0733304239767,"arch.us","NPK",1,0
"12","arch",8,"scrh",43.2205534285766,"arch.us","NPK",1,60
"13","arch",11,"asre",34.7600856846317,"arch.us","Control",2,2
"14","arch",11,"dicha",27.1994885061489,"arch.us","Control",2,0
"15","arch",11,"hyed",66.2492413710959,"arch.us","Control",2,10
"16","arch",11,"pase",35.9703741914628,"arch.us","Control",2,1
"17","arch",11,"qumi",41.4908826906087,"arch.us","Control",2,24
"18","arch",11,"scrh",45.9161153389261,"arch.us","Control",2,20
"19","arch",18,"asre",27.6844361137787,"arch.us","NPK",2,0.5
"20","arch",18,"dicha",19.842352446164,"arch.us","NPK",2,1
"21","arch",18,"hyed",32.2524364733833,"arch.us","NPK",2,10
"22","arch",18,"lylu",54.3474937028914,"arch.us","NPK",2,30
"23","arch",18,"pase",38.5526942725618,"arch.us","NPK",2,6
"24","arch",18,"ptpy",28.9041612663291,"arch.us","NPK",2,5
"25","arch",18,"qumi",37.9087712692255,"arch.us","NPK",2,5
"26","arch",18,"scrh",39.6433459400835,"arch.us","NPK",2,1
"27","arch",21,"carph",30.6348936014832,"arch.us","Control",3,5
"28","arch",21,"dicha",32.1957852133814,"arch.us","Control",3,0
"29","arch",21,"hyed",57.4539750109574,"arch.us","Control",3,15
"30","arch",21,"panic",68.7143026655494,"arch.us","Control",3,3
"31","arch",21,"pase",30.0267121892412,"arch.us","Control",3,0
"32","arch",21,"qumi",44.4366792427454,"arch.us","Control",3,8
"33","arch",21,"scrh",51.8760074877136,"arch.us","Control",3,80
"34","arch",28,"dicha",31.0135401274064,"arch.us","NPK",3,1
"35","arch",28,"hyed",43.9710620597983,"arch.us","NPK",3,5
"36","arch",28,"panic",50.6218707965572,"arch.us","NPK",3,1
"37","arch",28,"pase",37.0805250883034,"arch.us","NPK",3,5
"38","arch",28,"pigr",28.5675365106088,"arch.us","NPK",3,3
"39","arch",28,"qumi",56.7060319767442,"arch.us","NPK",3,0
"40","arch",28,"scrh",53.1982675856225,"arch.us","NPK",3,78
"41","lubb",5,"bogr2",16.0410571574844,"lubb.us","NPK",1,3
"42","lubb",5,"chin2",7.16412352087483,"lubb.us","NPK",1,92
"43","lubb",5,"satr",7.11025364919837,"lubb.us","NPK",1,0
"44","lubb",5,"soel",10.6782708765713,"lubb.us","NPK",1,2
"45","lubb",8,"arhu",9.69247738543347,"lubb.us","Control",1,1
"46","lubb",8,"bogr2",16.8783694779239,"lubb.us","Control",1,3
"47","lubb",8,"chin2",7.00873132289941,"lubb.us","Control",1,75
"48","lubb",8,"prgl2",13.8361973080848,"lubb.us","Control",1,0
"49","lubb",8,"satr",8.5104454727562,"lubb.us","Control",1,5
"50","lubb",8,"soel",11.8824838606285,"lubb.us","Control",1,10
"51","lubb",27,"bogr2",15.9274236135633,"lubb.us","NPK",2,3
"52","lubb",27,"chin2",7.40291054344588,"lubb.us","NPK",2,42
"53","lubb",27,"prgl2",13.5875961563245,"lubb.us","NPK",2,5
"54","lubb",27,"satr",8.94739443581415,"lubb.us","NPK",2,3
"55","lubb",27,"soel",11.2528660273995,"lubb.us","NPK",2,2
"56","lubb",28,"bogr2",18.6547200991531,"lubb.us","Control",2,0
"57","lubb",28,"chin2",7.35104393423171,"lubb.us","Control",2,95
"58","lubb",28,"prgl2",13.9114583932456,"lubb.us","Control",2,10
"59","lubb",28,"satr",8.04417560260288,"lubb.us","Control",2,0
"60","lubb",28,"soel",11.1836888095462,"lubb.us","Control",2,0
"61","lubb",29,"bogr2",15.22648567764,"lubb.us","NPK",3,0
"62","lubb",29,"chin2",7.36700497792606,"lubb.us","NPK",3,70
"63","lubb",29,"satr",7.73752131600187,"lubb.us","NPK",3,27
"64","lubb",29,"soel",10.380721952691,"lubb.us","NPK",3,2
"65","lubb",37,"bogr2",12.7371784966723,"lubb.us","Control",3,3
"66","lubb",37,"chin2",7.77118816851204,"lubb.us","Control",3,85
"67","lubb",37,"prgl2",13.4948893037053,"lubb.us","Control",3,0
"68","lubb",37,"satr",8.89173189177789,"lubb.us","Control",3,0.5
"69","lubb",37,"soel",10.3617059487093,"lubb.us","Control",3,2
"70","sevi",6,"boer",15.6529937987257,"sevi.us","NPK",1,7
"71","sevi",6,"satr",7.0577523952382,"sevi.us","NPK",1,13
"72","sevi",6,"xasp",15.2954932460683,"sevi.us","NPK",1,2
"73","sevi",8,"boer",18.1379476073566,"sevi.us","Control",1,25
"74","sevi",8,"poja",10.6562717333794,"sevi.us","Control",1,0
"75","sevi",12,"boer",18.6932014424591,"sevi.us","Control",1,15
"76","sevi",12,"poja",11.7654024973676,"sevi.us","Control",1,4
"77","sevi",15,"boer",14.9324624085802,"sevi.us","NPK",1,10
