"","sample","total.leaf.area"
"1","lubb_29_soel01_114(3)cropped",66.744
"2","arch_01_dicha01_193cropped",8.042
"3","arch_01_dicha02_301cropped",2.572
"4","arch_01_hyed01_283cropped",2.106
"5","arch_01_hyed02_313cropped",1.306
"6","arch_01_pano01_196cropped",16.278
"7","arch_01_pano02_298cropped",11.412
"8","arch_01_ptpy01_307cropped",36.178
"9","arch_01_ptpy02_304cropped",28.05
"10","arch_01_qumi01_199cropped",25.604
"11","arch_01_qumi02_292cropped",13.348
"12","arch_01_scrh01_190(closedleaves)cropped",33.662
"13","arch_01_scrh01_190(openleaves)cropped",49.538
"14","arch_01_scrh02_310cropped",46.682
"15","arch_08_arse01_331cropped",8.44
"16","arch_08_arse02_334cropped",10.374
"17","arch_08_dicha01_232cropped",7.552
"18","arch_08_dicha02_328cropped",5.624
"19","arch_08_hyed01_286cropped",2.304
"20","arch_08_hyed02_324cropped",2.38
"21","arch_08_pano01_223cropped",53.984
"22","arch_08_pano02_325cropped",38.73
"23","arch_08_qumi01_226cropped",15.57
"24","arch_08_qumi02_321cropped",34.69
"25","arch_08_scrh01_217cropped",57.88
"26","arch_08_scrh02_318cropped",38.406
"27","arch_11_arse01_359cropped",8.16
"28","arch_11_arse02_362cropped",12.926
"29","arch_11_dicha01_205cropped",5.58
"30","arch_11_dicha02_356cropped",5.328
"31","arch_11_dicha04_468cropped",4.146
"32","arch_11_hyed01_208cropped",1.952
"33","arch_11_hyed02_350cropped",1.882
"34","arch_11_hyed04_437cropped",1.472
"35","arch_11_pano01_237cropped",24.642
"36","arch_11_pano02_353cropped",17.356
"37","arch_11_pano04_466cropped",29.572
"38","arch_11_qumi01_202cropped",29.198
"39","arch_11_qumi02_347cropped",20.066
"40","arch_11_qumi04_368cropped",26.678
"41","arch_11_scrh01_211cropped",27.332
"42","arch_11_scrh02_344cropped",25.656
"43","arch_11_scrh04_365cropped",39.062
"44","arch_18_arse01_398cropped",7.956
"45","arch_18_arse02_401cropped",6.974
"46","arch_18_dicha01_252cropped",11.69
"47","arch_18_dicha02_383cropped",3.22
"48","arch_18_dicha04_458cropped",5.192
"49","arch_18_hyed01_241cropped",2.162
"50","arch_18_hyed02_377cropped",1.668
"51","arch_18_hyed04_465cropped",2.532
"52","arch_18_lylu01_386cropped",23.266
"53","arch_18_lylu02_389cropped",12.364
"54","arch_18_pano01_247cropped",23.15
"55","arch_18_pano02_380cropped",24.552
"56","arch_18_pano04_463cropped",14.99
"57","arch_18_ptpy01_392cropped",25.94
"58","arch_18_ptpy02_395cropped",17.858
"59","arch_18_qumi01_244cropped",29.584
"60","arch_18_qumi02_374cropped",28.662
"61","arch_18_qumi03_434cropped",19.868
"62","arch_18_qumi04_460cropped",27.182
"63","arch_18_scrh01_238cropped",80.106
"64","arch_18_scrh02_371cropped",30.524
"65","arch_18_scrh04­_404cropped",35.078
"66","arch_21_carph01_419cropped",38.704
"67","arch_21_carph02_422cropped",33.47
"68","arch_21_dicha01_265cropped",8.7
"69","arch_21_dicha02_416cropped",3.154
"70","arch_21_hyed01_259cropped",2.16
"71","arch_21_hyed02_410cropped",1.544
"72","arch_21_pano01_262cropped",16.738
"73","arch_21_pano02_413cropped",29.07
"74","arch_21_qumi01_256cropped",23.28
"75","arch_21_qumi02_407cropped",23.072
"76","arch_21_scrh01_253cropped",48.416
"77","arch_21_scrh03_289cropped",32.14
"78","arch_21_scrhhairy01_425cropped",53.932
"79","arch_21_scrhhairy02_428cropped",52.872
"80","arch_28_dicha01_280cropped",8.958
"81","arch_28_dicha02_443cropped",6.778
"82","arch_28_hyed01_274cropped",1.148
"83","arch_28_hyed03_295(2)cropped",2.57
"84","arch_28_hyed03_295cropped",2.57
"85","arch_28_pano01_277cropped",44.688
"86","arch_28_pano02_440cropped",41.19
"87","arch_28_qumi01_271cropped",16.904
"88","arch_28_scrh01_268cropped",77.742
"89","arch_28_scrh02_431cropped",54.724
"90","arch_28_scrhhairy01_446cropped",58.148
"91","arch_28_scrhhairy02_449cropped",81.128
"92","arch_28_spiderpoint01_452cropped",6.826
"93","arch_28_spiderpoint02_455cropped",6.552
"94","lubb_05_bogr01_160cropped",6.68
"95","lubb_05_chin01_154cropped",16.346
"96","lubb_05_soel01_157cropped",31.466
"97","lubb_08_arhuh01_166cropped",7.778
"98","lubb_08_arhuh02_169cropped",6.284
"99","lubb_08_bogr01_163cropped",2.792
"100","lubb_08_prgl07_178cropped",16.018
"101","lubb_08_prgl08_181cropped",34.146
"102","lubb_08_prgl09_184cropped",9.868
"103","lubb_27_bogr01_135cropped",4.038
"104","lubb_27_chin01_123(3)cropped",27.206
"105","lubb_27_prgl01_126(3)cropped",10.342
"106","lubb_27_prgl05_172cropped",27.954
"107","lubb_27_prgl06_175cropped",23.048
"108","lubb_27_saka01_132cropped",0.84
"109","lubb_27_soel01_129cropped",66.578
"110","lubb_28_chin01_117cropped",40.438
"111","lubb_28_prgl01_120cropped",24.616
"112","lubb_29_chin01_108cropped",42.316
"113","lubb_29_saka01_111cropped",5.762
"114","lubb_29_soel01_114(2)cropped",41.268
"115","lubb_29_soel01_114cropped",41.13
"116","lubb_37_bogr01_105(1)cropped",3.208
"117","lubb_37_bogr01_105(2)cropped",3.206
"118","lubb_37_bogr01_105cropped",2.854
"119","lubb_37_chin01_090cropped",31.63
"120","lubb_37_chin02_093(3)cropped",16.51
"121","lubb_37_chin02_093cropped",16.502
"122","lubb_37_saka01_102(2)cropped",1.408
"123","lubb_37_saka01_102cropped",1.408
"124","lubb_37_soel01_096cropped",34.552
"125","lubb_37_soel02_099cropped",54.688
"126","lubb_37B2CH_chin01_090cropped",31.64
"127","sevi_06_boer01_470_010cropped",3.428
"128","sevi_06_boer01_615_009cropped",5.368
"129","sevi_06_boer02_612_004cropped",1.404
"130","sevi_06_satr01_473_012cropped",0.278
"131","sevi_06_satr02_609_008cropped",0.76
"132","sevi_06_xasp01_476cropped",2.082
"133","sevi_06_xast02_606_006cropped",1.646
