ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,29_species,30_species_notes_if_,31_percent_cover_,32_photo_if_needed,33_cover_notes
129f1263-13d2-444f-8cbe-e1a939c0a072,5bcd8a18-196c-4520-9405-1ffc941f9737,2023-09-07T18:49:21.000Z,2023-09-07T23:41:32.000Z,1_other_animal diggings/ disturbance 1,1_other_animal diggings/ disturbance,animal hole,1,,
62681bb0-fa86-4929-921a-020782947833,e0076e89-03c9-4b04-999f-5eda603d15cb,2023-09-07T17:36:35.000Z,2023-09-07T17:42:23.000Z,1_other_animal diggings/ disturbance 1,1_other_animal diggings/ disturbance,Animal hole,1,,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,153e08e4-e641-4e73-9124-b7ae947739ae,2023-09-07T17:14:46.000Z,2023-09-07T17:29:37.000Z,1_other_animal diggings/ disturbance 6,1_other_animal diggings/ disturbance,"Mesh, nails, tags",6,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=153e08e4-e641-4e73-9124-b7ae947739ae_1694106882.jpg,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,07b94553-00f8-4db9-9c01-62249deeb228,2023-09-07T16:58:36.000Z,2023-09-07T17:03:38.000Z,1_other_animal diggings/ disturbance 6,1_other_animal diggings/ disturbance,"Mesh, tag, nail",6,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=07b94553-00f8-4db9-9c01-62249deeb228_1694105894.jpg,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,408487d9-6cfd-43f9-9e77-19fea96abf0e,2023-09-07T16:53:26.000Z,2023-09-07T16:53:38.000Z,1_other_animal diggings/ disturbance 1,1_other_animal diggings/ disturbance,"Metal tag,nail, metal restraint for tag",1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=408487d9-6cfd-43f9-9e77-19fea96abf0e_1694105602.jpg,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,6c060fab-b2c4-480a-8ffd-17c690b77698,2023-09-07T18:59:40.000Z,2023-09-07T19:02:57.000Z,1_other_bare soil 88,1_other_bare soil,,88,,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,d04bfd96-13c4-4498-b87e-a5a4670d7973,2023-09-07T18:50:42.000Z,2023-09-07T18:53:42.000Z,1_other_bare soil 73,1_other_bare soil,,73,,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,2ca6c7a3-d3d2-40b1-9a05-e4ad38731d2d,2023-09-07T18:38:21.000Z,2023-09-07T18:42:25.000Z,1_other_bare soil 73,1_other_bare soil,,73,,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,b41ab316-90c5-4c35-94b1-5fb1e6950c13,2023-09-07T18:28:16.000Z,2023-09-07T18:32:54.000Z,1_other_bare soil 47,1_other_bare soil,,47,,
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,b2f5deb3-6656-47df-9930-9c13d8ce8923,2023-09-07T17:48:45.000Z,2023-09-07T17:59:17.000Z,1_other_bare soil 93,1_other_bare soil,,93,,
073881bb-7a81-4cf9-b49f-36726649de0f,e1625299-3fad-4dd1-bd4a-b7cecb261cb7,2023-09-07T17:38:22.000Z,2023-09-07T17:42:27.000Z,1_other_bare soil 78,1_other_bare soil,,78,,
073881bb-7a81-4cf9-b49f-36726649de0f,85cbfe88-484a-4afe-a296-f5db7af8241a,2023-09-07T17:15:39.000Z,2023-09-07T17:29:39.000Z,1_other_bare soil 85,1_other_bare soil,,85,,
073881bb-7a81-4cf9-b49f-36726649de0f,0d15bad0-7bf5-4442-9dfa-b0bbc91d40d1,2023-09-07T16:57:29.000Z,2023-09-07T17:03:39.000Z,1_other_bare soil 60,1_other_bare soil,,60,,
073881bb-7a81-4cf9-b49f-36726649de0f,2f46afd0-4f11-4de8-9492-999a018804ba,2023-09-07T16:35:20.000Z,2023-09-07T16:44:21.000Z,1_other_bare soil 73,1_other_bare soil,,73,,
073881bb-7a81-4cf9-b49f-36726649de0f,8f01f16e-cdc7-4acb-b66f-061dc17674d9,2023-09-07T15:54:50.000Z,2023-09-07T16:26:37.000Z,1_other_bare soil 80,1_other_bare soil,,80,,
073881bb-7a81-4cf9-b49f-36726649de0f,57901b3f-1aae-4f38-862c-ce4c4fb33478,2023-09-07T18:59:13.000Z,2023-09-07T19:02:56.000Z,1_other_litter 8,1_other_litter,,8,,
