"","ec5_uuid","created_at.x","uploaded_at.x","title.x","X1_date_measured","X2_time_started","X3_site","X4_plot__treatment","X5_subplot","X6_nested_subplot","X7_Photo_of_1x1","X8_notes","X9_species_list_site","X10_species_compositi","X16_species_compositi","X22_species_compositi","X28_species_compositi","ec5_branch_uuid.x","created_at.y","uploaded_at.y","title.y","X23_species","X24_species_notes_if_","X25_percent_cover_","X26_photo_if_needed","X27_cover_notes","ec5_branch_uuid.y","created_at.x","uploaded_at.x","title.x","X17_species","X18_species_notes_if_","X19_percent_cover_","X20_photo_if_needed","X21_cover_notes","ec5_branch_uuid.x","created_at.y","uploaded_at.y","title.y","X29_species.x","X30_species_notes_if_.x","X31_percent_cover_.x","X32_photo_if_needed.x","X33_cover_notes.x","ec5_branch_uuid.y","created_at","uploaded_at","title","X29_species.y","X30_species_notes_if_.y","X31_percent_cover_.y","X32_photo_if_needed.y","X33_cover_notes.y"
"1","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"40c3edc0-c007-4ae0-afee-5ebf96a7ceb6",2023-06-21 15:00:03,2023-06-21 15:00:30,"2PLANT 0.5","2PLANT","Alt_egg",0.5,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=40c3edc0-c007-4ae0-afee-5ebf96a7ceb6_1687359598.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"8f7f3271-7cfd-4aff-a777-a6b838d92631",2023-06-21 14:59:14,2023-06-21 15:00:29,"2PLANT 2","2PLANT","Redline",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=8f7f3271-7cfd-4aff-a777-a6b838d92631_1687359550.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"28864a6e-59f0-4d87-b59a-b49aaa40dd42",2023-06-21 14:58:06,2023-06-21 15:00:28,"POACEA_(POACEAE SP.) 3","POACEA_(POACEAE SP.)","Scrh_hairy",3,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=28864a6e-59f0-4d87-b59a-b49aaa40dd42_1687359482.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"2aa9a093-fb0f-4519-aa9b-74ed69841808",2023-06-21 14:56:58,2023-06-21 15:00:26,"2PLANT 5","2PLANT","Asteraceae, turkey_vein_spoon",5,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=2aa9a093-fb0f-4519-aa9b-74ed69841808_1687359414.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"8f86ca3e-d99c-42bd-96f8-d04f8cbfacb6",2023-06-21 14:55:07,2023-06-21 15:00:25,"2PLANT 0","2PLANT","Woody over story",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"0ce553b2-52bb-4ac6-84c3-a88e3d5ed43e",2023-06-21 14:54:47,2023-06-21 15:00:23,"2PLANT 15","2PLANT","Litter",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"b413598e-0f65-4da1-a3a0-06c0b76460bb",2023-06-21 14:54:10,2023-06-21 15:00:22,"2PLANT 0","2PLANT","Bare soil",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"5e66b723-f677-4f04-aa12-da112255a0bb",2023-06-21 14:53:42,2023-06-21 15:00:20,"2PLANT 0","2PLANT","Animal digging/ disturbance",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"7ab6c9f1-81af-4c2a-9709-4e31dbae562c",2023-06-21 14:53:08,2023-06-21 15:00:19,"2PLANT 0","2PLANT","Rocks",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","060a5adb-824c-4fbe-a694-6a346bbf3390",2023-06-21 13:39:41,2023-08-21 03:46:09,"arch_control_21",2023-06-21,09:31:00,"arch","arch_control_21","B",2,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg",NA,"arch",0,0,12,0,"82be2519-29ed-4f96-8268-5b9d64e45f22",2023-06-21 13:39:38,2023-06-21 15:00:17,"QUMI_(QUERCUS MINIMA) 8","QUMI_(QUERCUS MINIMA)",NA,8,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=82be2519-29ed-4f96-8268-5b9d64e45f22_1687354762.jpg","Potentially aquifolia sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
