ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,17_species,18_species_notes_if_,19_percent_cover_,20_photo_if_needed,21_cover_notes
8ed45400-c325-495a-ab9f-ea1e904eb95a,75e98370-e605-43cd-b60f-d4799093e08c,2023-06-05T15:02:11.000Z,2023-06-05T15:03:47.000Z,"2plant_(notes required) 0.5","2plant_(notes required)","Brassicaseae, tiny",0.5,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=75e98370-e605-43cd-b60f-d4799093e08c_1685977319.jpg,
8ed45400-c325-495a-ab9f-ea1e904eb95a,31bb38f1-22b8-4bdc-988e-d7a83f183d3e,2023-06-05T15:00:57.000Z,2023-06-05T15:03:46.000Z,"ARHUH_(argythamnia humilis var. humilis) 1","ARHUH_(argythamnia humilis var. humilis)",,1,,
8ed45400-c325-495a-ab9f-ea1e904eb95a,7699b25e-b6d8-40fd-9859-77da4bddbde4,2023-06-05T15:00:19.000Z,2023-06-05T15:03:45.000Z,"2plant_(notes required) 0.5","2plant_(notes required)","Hyod hymenoxys",0.5,,
8ed45400-c325-495a-ab9f-ea1e904eb95a,186586f2-6e54-44e5-b98a-47e6c64c9f39,2023-06-05T14:59:43.000Z,2023-06-05T15:03:44.000Z,"BOGR2_(bouteloua gracilis) 3","BOGR2_(bouteloua gracilis)",,3,,
8ed45400-c325-495a-ab9f-ea1e904eb95a,938d53fb-3140-4260-a60b-be56f3b9ddd9,2023-06-05T14:58:36.000Z,2023-06-05T15:03:43.000Z,"2plant_(notes required) 1","2plant_(notes required)","Teucrium canadense TECA, verify species",1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=938d53fb-3140-4260-a60b-be56f3b9ddd9_1685977106.jpg,
8ed45400-c325-495a-ab9f-ea1e904eb95a,7d6bfa5e-c96f-4ee8-9242-d6658463f9ed,2023-06-05T14:55:44.000Z,2023-06-05T15:03:42.000Z,"SOEL_(solanum elaeagnifolium) 2","SOEL_(solanum elaeagnifolium)",,2,,
8ed45400-c325-495a-ab9f-ea1e904eb95a,bf3b9d8a-7ed4-4a74-bfb6-e5408a1ee586,2023-06-05T14:55:17.000Z,2023-06-05T15:03:40.000Z,"CHIN2_(chenopodium incanum) 85","CHIN2_(chenopodium incanum)",,85,,
8ed45400-c325-495a-ab9f-ea1e904eb95a,83d82257-1d8a-4ee8-bb1a-6692eab136bf,2023-06-05T14:53:37.000Z,2023-06-05T15:03:39.000Z,"1.4_rocks 0",5_rocks,,0,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=83d82257-1d8a-4ee8-bb1a-6692eab136bf_1685976780.jpg,
8ed45400-c325-495a-ab9f-ea1e904eb95a,87b5a079-b677-41ea-b973-f331cb538678,2023-06-05T14:52:23.000Z,2023-06-05T15:03:38.000Z,"1.3_animal diggings/ disturbance 0","4_animal diggings/ disturbance",,0,,Scat
8ed45400-c325-495a-ab9f-ea1e904eb95a,63ead18b-3306-4e21-835a-9b602f6ecfbd,2023-06-05T14:52:04.000Z,2023-06-05T15:03:37.000Z,"1.2_bare soil 8","3_bare soil",,8,,
8ed45400-c325-495a-ab9f-ea1e904eb95a,282e32fc-7868-4102-bec0-40be489cfd94,2023-06-05T14:51:36.000Z,2023-06-05T15:03:36.000Z,"1.1_litter 15",2_litter,,15,,
8ed45400-c325-495a-ab9f-ea1e904eb95a,00b4bc7d-9679-41d4-a950-569d45006016,2023-06-05T14:50:46.000Z,2023-06-05T15:03:34.000Z,"1.0_woody overstory 0","1_woody overstory",,0,,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,93456735-5cad-4b34-989c-92dc66219e89,2023-06-05T14:45:22.000Z,2023-06-05T14:46:30.000Z,"SOEL_(solanum elaeagnifolium) 2","SOEL_(solanum elaeagnifolium)",,2,,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,cf1b3795-b2a3-48c0-b5f9-22e3124448b4,2023-06-05T14:44:46.000Z,2023-06-05T14:46:29.000Z,"2plant_(notes required) 27","2plant_(notes required)",Hyod,27,,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,2defc147-aa12-4516-b183-5089f897edc9,2023-06-05T14:41:43.000Z,2023-06-05T14:46:28.000Z,"CHIN2_(chenopodium incanum) 50","CHIN2_(chenopodium incanum)",,50,,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,fd079b7b-aaf3-41c3-9c01-9da9a48169e1,2023-06-05T14:40:58.000Z,2023-06-05T14:46:27.000Z,"1.4_rocks 0",5_rocks,,0,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=fd079b7b-aaf3-41c3-9c01-9da9a48169e1_1685976053.jpg,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,b38cb1d4-74a3-46f6-a175-6786b7a7593a,2023-06-05T14:40:26.000Z,2023-06-05T14:46:26.000Z,"1.3_animal diggings/ disturbance 0","4_animal diggings/ disturbance",,0,,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,534f4a66-3243-4aee-a3df-56711f438aad,2023-06-05T14:40:04.000Z,2023-06-05T14:46:25.000Z,"1.2_bare soil 0","3_bare soil",,0,,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,bde0fea7-603b-4017-83a4-f5b76cc50f53,2023-06-05T14:39:46.000Z,2023-06-05T14:46:24.000Z,"1.1_litter 7",2_litter,,7,,
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,42eccba0-5c96-4f7b-a440-c4be07eb0e53,2023-06-05T14:39:18.000Z,2023-06-05T14:46:22.000Z,"1.0_woody overstory 0","1_woody overstory",,0,,
