date,people,site,plot,trt,taxon,rep,mutli_time,envelope_multi,height,ddh_90,ddh_180,envelope_stem,envelope_extra,notes
06/23/2023,MK,arch,01,ctl,SCRH,01,15:07,190,63,146,13.53,191,198,
06/23/2023,MK,arch,01,ctl,DICHA,01,14:42,193,16,0.8,1.01,188,192,ddh measured at 8cm; small stem
06/23/2023,MK,arch,01,ctl,PANO,01,14:58,196,12,0.81,1.52,200,201,ddh measured at 0.5cm; very small stem
06/23/2023,MK,arch,01,ctl,QUMI,01,14:51,199,24,1.67,1.71,194,189,
06/23/2023,MK,arch,11,ctl,QUMI,01,15:19,202,35,4.41,4.29,207,233,
06/24/2023,MK,arch,11,ctl,DICHA,01,14:57,205,25,0.5,0.53,204,203,
06/24/2023,MK,arch,11,ctl,HYED,01,14:47,208,86,5.54,5.74,235,209,
06/23/2023,MK,arch,08,npk,SCRH,01,10:26,217,76,1.34,10.22,228,230,
06/24/2023,MK,arch,11,ctl,SCRH,01,14:44,221,53,1.49,9.16,236,234,
06/23/2023,MK,arch,08,npk,QUMI,01,10:30,226,60,4.76,4.93,225,227,
06/23/2023,MK,arch,08,npk,PANO,01,11:47,229,27,1.34,7.57,216,215,ddh measured at 5cm; short stem syndrome
06/23/2023,MK,arch,08,npk,DICHA,01,11:40,232,28,0.7,0.63,231,218,ddh measured at 8cm; node at 10cm
06/24/2023,MK,arch,11,ctl,PANO,01,15:06,237,23,3.29,3.45,210,206,
06/24/2023,MK,arch,18,ctl,SCRH,01,15:37,238,73,1.41,5.93,239,240,
06/24/2023,MK,arch,18,ctl,HYED,01,15:22,241,100,7.42,7.56,242,243,
06/24/2023,MK,arch,18,ctl,QUMI,01,15:17,244,17,2.06,2.13,245,246,ddh measured at 6cm; small stem
06/24/2023,MK,arch,18,ctl,PANO,01,15:18,247,15,1.27,6.67,248,249,ddh measured at 2cm; small stem
06/24/2023,MK,arch,18,ctl,DICHA,01,15:38,252,45,0.75,0.73,251,250,ddh extra 0.72mm 0.77mm
06/26/2023,MK,arch,21,ctl,SCRH,01,16:13,253,73,1.48,11.3,254,255,
06/26/2023,MK,arch,21,ctl,QUMI,01,16:23,256,25,3.8,3.84,257,258,
06/26/2023,MK,arch,21,ctl,HYED,01,9:44,259,111,5.27,4.76,260,261,
06/26/2023,MK,arch,21,ctl,PANO,01,16:01,262,13,0.87,4.77,263,264,
06/26/2023,MK,arch,21,ctl,DICHA,01,16:23,265,21,1.74,1.52,266,267,might need another hard measure; might be DITT species?
06/26/2023,MK,arch,28,npk,SCRH,01,17:01,268,85,1.68,6.45,269,270,
