date,people,site,plot,trt,taxon,rep,mutli_time,envelope_multi,height,ddh_90,ddh_180,envelope_stem,envelope_extra,notes
2023-09-10,mk,sevi,06,npk,boer,1,09:38,470,13,00.96,01.07,471,472,"potentially bad curve might discard. Individual 615 (multi. envelope) measured as potential replacement. ddh measured at 6cm, short/ irregular stem"
2023-09-10,mk,sevi,06,npk,boer,2,08:32,612,20,00.79,00.97,613,614,
2023-09-10,mk,sevi,06,npk,satr,1,09:37,473,33,04.94,04.23,474,475,"multi says ""rep 2"" should be rep 1"
2023-09-10,mk,sevi,06,npk,satr,2,08:38,609,36,03.38,03.34,610,611,
2023-09-09,mk,sevi,06,npk,xasp,1,10:39,476,17,01.60,01.95,477,478,"""hard"" measurement taken. Mutli not measured on licor leaf due to human error."
2023-09-10,mk,sevi,06,npk,xasp,2,08:45,606,15,01.16,01.63,607,608,lower additional ddh measurments 1.53 cm and 1.79 cm
2023-09-09,mk,sevi,06,npk,soel,1,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-09,mk,sevi,06,npk,soel,2,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-11,mk,sevi,08,ctrl,poja,1,10:16,497,11,01.07,01.00,498,499,"2nd multi. taken at 10:17, different/ more open leaves (not licor leaf) "
2023-09-11,mk,sevi,08,ctrl,poja,3,10:33,482,18,00.99,01.07,483,484,
2023-09-10,mk,sevi,06,npk,boer,1,12:42,615,29,00.97,01.00,616,617,good curve
2023-09-10,mk,sevi,08,ctrl,boer,1,12:59,485,17,00.26,00.70,486,487,ddh at 9.0cm short stem
2023-09-13,mk,sevi,08,ctrl,boer,2,08:28,627,21,00.86,00.86,628,629,
2023-09-09,mk,sevi,08,ctrl,satr,1,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-09,mk,sevi,08,ctrl,satr,2,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-09,mk,sevi,08,ctrl,xasp,1,na,na,na,na,na,na,na,"not physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
2023-09-09,mk,sevi,08,ctrl,xasp,2,na,na,na,na,na,na,na,"not physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
2023-09-09,mk,sevi,08,ctrl,soel,1,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-09,mk,sevi,08,ctrl,soel,2,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-10,mk,sevi,12,ctrl,poja,1,11:30,513,16,01.39,01.45,514,515,ddh at 9.5cm
2023-09-11,mk,sevi,35,ctrl,poja,1,10:26,558,23,01.48,01.44,559,560,
2023-09-11,mk,sevi,15,npk,poja,1,10:00,528,16,01.05,01.13,529,530,"ddh at 7.5cm, small stem. "
2023-09-10,mk,sevi,12,ctrl,boer,1,11:13,500,16,00.94,00.96,502,503,"multispeq measured on different leaf, lost licor leaf. ddh measured at 5cm, short stem"
2023-09-13,mk,sevi,12,ctrl,boer,2,08:55,642,22,00.84,00.78,643,644,
2023-09-09,mk,sevi,12,ctrl,satr,1,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-09,mk,sevi,12,ctrl,satr,2,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-09,mk,sevi,12,ctrl,xasp,1,na,na,na,na,na,na,na,"not physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
2023-09-09,mk,sevi,12,ctrl,xasp,2,na,na,na,na,na,na,na,"not physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
2023-09-09,mk,sevi,12,ctrl,soel,1,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-09,mk,sevi,12,ctrl,soel,2,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-12,mk,sevi,39,npk,poja,1,14:07,537,17,01.41,01.34,538,539,
2023-09-09,mk,sevi,06,npk,poja,1,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
2023-09-12,mk,sevi,15,npk,boer,1,12:04,516,21,00.88,00.91,517,518,
2023-09-12,mk,sevi,15,npk,boer,2,11:21,600,16,00.86,00.99,601,602,ddh at 9cm
2023-09-12,mk,sevi,15,npk,satr,1,11:39,519,26,03.23,03.40,520,521,"ddh at 9cm, ddh at 2cm 4.82 and 4.42. Multi measured different leaf. Stem broken for licor individual. "
2023-09-12,mk,sevi,15,npk,satr,2,11:24,597,31,03.63,03.79,598,599,"ddh at 10cm, ddh at 1cm 4.84 and 4.71."
2023-09-09,mk,sevi,06,npk,poja,2,na,na,na,na,na,na,na,not physically in the plot will need to find in another plot
