date,site,plot,trt,taxon,taxon_full,taxon_note,rep,envelope_multi,leaf_weight_weight,leaf_dry_weight,notes
9/10/2023,SEVI,06,npk,bouteloua eriopoda,BOER,,02,612,0.0119,0.00380,
9/10/2023,SEVI,06,npk,bouteloua eriopoda,BOER,,05,615,0.0363,0.01940,Hard; replacement individual for envelope 470; 470= terrible linear curve
9/10/2023,SEVI,06,npk,bouteloua eriopoda,BOER,,01,470,0.231,0.00900,"Hard ""discard? Poor licor curve already had a rep#? Keep maybe? #2 =super small sample "
9/10/2023,SEVI,08,ctl,bouteloua eriopoda,BOER,,01,485,0.0177,0.00720,Hard
9/13/2023,SEVI,08,ctl,bouteloua eriopoda,BOER,,02,627,0.0091,0.00450,8:28m
9/10/2023,SEVI,12,ctl,bouteloua eriopoda,BOER,,01,500,0.0137,0.00480,Hard
9/12/2023,SEVI,15,npk,bouteloua eriopoda,BOER,,01,516,0.0154,0.00550,Hard
9/12/2023,SEVI,15,npk,bouteloua eriopoda,BOER,,02,600,0.0143,0.00420,
9/10/2023,SEVI,17,npk,bouteloua eriopoda,BOER,,01,531,0.0191,0.00810,Hard
9/12/2023,SEVI,22,ctl,bouteloua eriopoda,BOER,,01,546,0.0187,0.00640,Hard; on sticky note: Monika 9/15 
9/12/2023,SEVI,22,ctl,bouteloua eriopoda,BOER,,02,561,0.0136,0.00530,
9/12/2023,SEVI,35,ctl,bouteloua eriopoda,BOER,,01,552,0.0141,0.00570,Hard
9/12/2023,SEVI,39,npk,bouteloua eriopoda,BOER,,01,491,0.0191,0.00970,Hard
9/13/2023,SEVI,12,ctl,bouteloua eriopoda,BOER,,02,642,0.0145,0.00560,8:55
9/13/2023,SEVI,17,npk,bouteloua eriopoda,BOER,,02,624,0.0065,0.00680,8:37m
9/12/2023,SEVI,22,ctl,hoffmannseggia drepanocarpa,HODR,,02,576,0.1438,0.04080,
9/10/2023,SEVI,17,npk,hoffmannseggia drepanocarpa,HODR,,01,543,0.106,0.02890,Hard; Wrong genus 9/14
9/12/2023,SEVI,22,ctl,hoffmannseggia drepanocarpa,HODR,,01,573,0.1623,0.04700,
9/11/2023,SEVI,08,ctl,pomaria jamesii,POJA,,03,482,0.0826,0.02000,Hard
9/11/2023,SEVI,08,ctl,pomaria jamesii,POJA,,01,497,0.0239,0.09600,Hard
9/10/2023,SEVI,12,ctl,pomaria jamesii,POJA,,01,513,0.1799,0.03810,Hard smaller bag inside 
9/10/2023,SEVI,12,ctl,pomaria jamesii,POJA,,01,513,0.1366,0.03180,"Hard smaller bag, ""alt. leat scanned. Not licor or multi, but less damaged leat "
9/11/2023,SEVI,15,npk,pomaria jamesii,POJA,,01,528,0.1605,0.03140,Hard
9/12/2023,SEVI,15,npk,pomaria jamesii,POJA,,02,594,0.1421,0.03240,
9/12/2023,SEVI,35,ctl,pomaria jamesii,POJA,,01,558,0.1399,0.03000,Hard
9/12/2023,SEVI,39,npk,pomaria jamesii,POJA,,01,537,0.2109,0.05080,Hard
9/12/2023,SEVI,40,ctl,pomaria jamesii,POJA,,01,564,0.1516,0.03120,
9/13/2023,SEVI,12,ctl,pomaria jamesii,POJA,,02,645,0.1513,0.02700,8:59
9/13/2023,SEVI,15,npk,pomaria jamesii,POJA,,03,639,0.1974,0.04090,9:18
9/10/2023,SEVI,06,npk,salsola tragus,SATR,,01,473,0.0086,0.00150,Hard
9/10/2023,SEVI,06,npk,salsola tragus,SATR,,02,609,0.0359,0.00360,
9/12/2023,SEVI,08,ctl,salsola tragus,SATR,,01,488,0.0158,0.00220,Hard
9/12/2023,SEVI,15,npk,salsola tragus,SATR,,01,519,0.0411,0.00530,Hard
9/12/2023,SEVI,15,npk,salsola tragus,SATR,,02,597,0.0257,0.00240,
9/10/2023,SEVI,17,npk,salsola tragus,SATR,,01,534,0.0634,0.00880,Hard
9/12/2023,SEVI,35,ctl,salsola tragus,SATR,,05,630,0.015,0.00180,On envelope; Plot: 35 (5w) (multi says 40)
9/12/2023,SEVI,35,ctl,salsola tragus,SATR,,04,522,0.0264,0.00350,"Hard 2 ""mn"" outside of plot"
9/12/2023,SEVI,35,ctl,salsola tragus,SATR,,03,549,0.0148,0.00250,Hard
9/12/2023,SEVI,35,ctl,salsola tragus,SATR,,03,504,0.0204,0.00300,Hard
9/12/2023,SEVI,39,npk,salsola tragus,SATR,,01,507,0.0554,0.00720,Hard
9/13/2023,SEVI,17,npk,salsola tragus,SATR,,02,621,0.0331,0.00330,9:07
9/12/2023,SEVI,35,ctl,salsola tragus,SATR,,06,633,0.0162,0.00240,4m w of plot
9/11/2023,SEVI,25,npk,solanum elaeagnifolium,SOEL,,01,494,0.2698,0.06460,Hard
9/11/2023,SEVI,25,npk,solanum elaeagnifolium,SOEL,,01,540,0.3764,0.08770,Hard
9/11/2023,SEVI,25,npk,solanum elaeagnifolium,SOEL,,02,525,0.2732,0.06390,Hard
9/12/2023,SEVI,25,npk,solanum elaeagnifolium,SOEL,,04,585,0.2492,0.05640,
9/11/2023,SEVI,35,ctl,solanum elaeagnifolium,SOEL,,01,479,0.123,0.03720,Hard
9/11/2023,SEVI,35,ctl,solanum elaeagnifolium,SOEL,,02,510,0.234,0.07090,Hard
9/12/2023,SEVI,35,ctl,solanum elaeagnifolium,SOEL,,03,591,0.1381,0.03630,
9/12/2023,SEVI,35,ctl,solanum elaeagnifolium,SOEL,,04,588,0.1713,0.04190,
9/12/2023,SEVI,39,npk,solanum elaeagnifolium,SOEL,,02,582,0.1579,0.03320,
9/12/2023,SEVI,39,npk,solanum elaeagnifolium,SOEL,,01,579,0.1831,0.04200,
9/11/2023,SEVI,40,ctl,solanum elaeagnifolium,SOEL,,01,555,0.1058,0.03580,Hard
9/12/2023,SEVI,40,ctl,solanum elaeagnifolium,SOEL,,02,603,0.1578,0.03330,
9/12/2023,SEVI,22,ctl,sporobolus flexuosus,SPFL,,01,567,0.2009,0.07340,
9/12/2023,SEVI,22,ctl,sporobolus flexuosus,SPFL,,02,570,0.1622,0.05080,
9/9/2023,SEVI,06,npk,xanthisma spinulosum,XASP,,01,476,0.035,0.01080,Hard
9/10,SEVI,06,npk,xanthisma spinulosum,XASP,,02,606,0.034,0.01070,
9/13/2023,SEVI,17,npk,xanthisma spinulosum,XASP,,01,636,0.0058,0.00170,8:41
9/13/2023,SEVI,17,npk,xanthisma spinulosum,XASP,,02,618,0.0034,0.00130,8:48
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
