NCRS.code,taxon
ACAN11,Acaciella angustissima (Mill) Britton & Rose
AMAR2,Ambrosia artemisiifolia L.
AMPS,Ambrosia psilostachya DC.
ARAL3,Argemone albiflora Hornem.
ARPU9,Aristida purpurea Nutt.
ASAS,Asclepias asperula (Decne.) Woodson
ASLA4,Asclepias latifolia (Torr.) Raf.
ASSY,Asclepias syriaca L.
BOIS,Bothriochloa ischaemum (L.) Keng
BOSA,Bothriochloa saccharoides (Sw.) Rydb.
CAPL3,Carex planostachys Kunze
CAREX,Carex spp. L.
CHFE3,Chamaesyce fendleri (Torr. & A. Gray) Small
CHPI8,Chyrysopsis pilosa Nutt.
COCO13,Conoclinium coelestinum (L.) DC.
COER,Commelina erecta L.
CRGLL,Croton glandulosus L.
CYDA,Cynodon dactylon (L.) Pers.
DIAN,Dichanthium annulatum (Forssk.) Stapf
ENPE4,Engelmannia peristenia (Raf.) Goodman & C.A. Lawson
EUMA8,Euphorbia marginata Pursh
GAPU,Gaillardia pulchella Foug.
GLGO,Glandularia gooddingii (Briq.) Solbrig
HEAN3,Helianthus annuus L.
HECA8,Heterotheca canescens (DC.) Shinners
HETE3,Heliotropium tenellum (Nutt.) Torr
IVAX,Iva axillaris Pursh
LIAT,Lilaeopsis attenuata auct. non (Hook. & Arn.) Fernald
LIPU,Liatris punctata Hook.
LOPE,Lolium perenne L.
MIQU2,Mimosa quadrivalvis L.
NALE3,Nassella leucotricha (Trin. & Rupr.) Pohl
OECU2,Oenothera curtiflora W.L. Wagner & Hoch
OENOT,Oenothera spp. L.
PAVI2,Panicum virgatum L.
RACO3,Ratibida columnifera (Nutt) Wooton & Standl.
RHSET,Rhynchosia senna Gillies ex Hook. var. texana (Torr. & A. Gray) M.C. Johnst.
RUHI2,Rudbeckia hirta L.
RUNU,Ruellia nudiflora (Engelm. & A. Gray) Urb.
RUTR,Rubus trivialis Michx.
SAFA2,Salvia farinacea Benth.
SCHIZ4,Schizachyrium spp. Nees
SCSC,Schizachyrium scoparium (Michx.) Nash
SODI,Solanum dimidiatum Raf.
SOEL,Solanum elaeagnifolium Cav.
SOHA,Sorghum halapense (L.) Pers.
STTE3,Stillingia texana I.M. Johnst.
VEOC,Verbesina occidentalis (L.) Walter
VEST,Verbena stricta Vent.
