"","NCRS.code","taxon","site","latitude","longitude","elevation.m","sampling.date","NCRS.code2","photo","duration","n.fixer","pft","leaf.area","n.leaf","c.leaf","mean.c.value_persite","mean.n.value_persite","mean.c.value_taxon","mean.n.value_taxon"
"1","ACAN11","Acaciella angustissima (Mill) Britton & Rose","Washington_2020_08",30.284962,-96.406236,107,"5/31/2021","ACAN11","c3","perennial","yes","c3_legume",33.561,2.562,55.294,51.4116666666667,2.53533333333333,51.4116666666667,2.53533333333333
"2","ACAN11","Acaciella angustissima (Mill) Britton & Rose","Washington_2020_08",30.284962,-96.406236,107,"5/31/2021","ACAN11","c3","perennial","yes","c3_legume",21.803,2.6,52.192,51.4116666666667,2.53533333333333,51.4116666666667,2.53533333333333
"3","ACAN11","Acaciella angustissima (Mill) Britton & Rose","Washington_2020_08",30.284962,-96.406236,107,"5/31/2021","ACAN11","c3","perennial","yes","c3_legume",16.465,2.444,46.749,51.4116666666667,2.53533333333333,51.4116666666667,2.53533333333333
"4","AMAR2","Ambrosia artemisiifolia L.","Bexar_2019_13",29.244832,-98.427454,154,"7/19/2020","AMAR2","c3","annual","no","c3_forb",3.818,1.61,44.91,44.4325,1.85,41.8424,1.926
"5","AMAR2","Ambrosia artemisiifolia L.","Bexar_2019_13",29.244832,-98.427454,154,"7/19/2020","AMAR2","c3","annual","no","c3_forb",3.454,1.98,45.08,44.4325,1.85,41.8424,1.926
"6","AMAR2","Ambrosia artemisiifolia L.","Bexar_2019_13",29.244832,-98.427454,154,"7/19/2020","AMAR2","c3","annual","no","c3_forb",2.531,1.98,44.44,44.4325,1.85,41.8424,1.926
"7","AMAR2","Ambrosia artemisiifolia L.","Bexar_2019_13",29.244832,-98.427454,154,"7/19/2020","AMAR2","c3","annual","no","c3_forb",2.673,1.83,43.3,44.4325,1.85,41.8424,1.926
"8","AMAR2","Ambrosia artemisiifolia L.","Fayette_2019_04",30.093534,-96.780727,114,"6/20/2020","AMAR2","c3","annual","no","c3_forb",9.699,1.26,45.02,44.32,1.39666666666667,41.8424,1.926
"9","AMAR2","Ambrosia artemisiifolia L.","Fayette_2019_04",30.093534,-96.780727,114,"6/20/2020","AMAR2","c3","annual","no","c3_forb",18.2,1.56,44.54,44.32,1.39666666666667,41.8424,1.926
"10","AMAR2","Ambrosia artemisiifolia L.","Fayette_2019_04",30.093534,-96.780727,114,"6/20/2020","AMAR2","c3","annual","no","c3_forb",11.036,1.37,43.4,44.32,1.39666666666667,41.8424,1.926
"11","AMAR2","Ambrosia artemisiifolia L.","Harris_2020_03",29.877754,-95.309644,23,"7/17/2020","AMAR2","c3","annual","no","c3_forb",1.472,2.01,40.47,38.3633333333333,2.01,41.8424,1.926
"12","AMAR2","Ambrosia artemisiifolia L.","Harris_2020_03",29.877754,-95.309644,23,"7/17/2020","AMAR2","c3","annual","no","c3_forb",2.488,1.78,37.94,38.3633333333333,2.01,41.8424,1.926
"13","AMAR2","Ambrosia artemisiifolia L.","Harris_2020_03",29.877754,-95.309644,23,"6/21/2020","AMAR2","c3","annual","no","c3_forb",2.443,2.21,36.09,38.3633333333333,2.01,41.8424,1.926
"14","AMAR2","Ambrosia artemisiifolia L.","Harris_2020_03",29.877754,-95.309644,23,"6/21/2020","AMAR2","c3","annual","no","c3_forb",4.344,2.04,37.61,38.3633333333333,2.01,41.8424,1.926
"15","AMAR2","Ambrosia artemisiifolia L.","Harris_2020_03",29.877754,-95.309644,23,"7/17/2020","AMAR2","c3","annual","no","c3_forb",3.02,1.92,38.77,38.3633333333333,2.01,41.8424,1.926
