"","site","NCRS.code","duration","n.leaf","c.leaf","mean.c.value","mean.n.value"
"1","Austin_2020_03","AMPS","perennial",2.783,42.411,42.1106666666667,2.72233333333333
"2","Austin_2020_03","AMPS","perennial",2.621,42.336,42.1106666666667,2.72233333333333
"3","Austin_2020_03","AMPS","perennial",2.763,41.585,42.1106666666667,2.72233333333333
"4","Austin_2020_03","CHPI8","annual",2.669,47.065,50.734,2.46366666666667
"5","Austin_2020_03","CHPI8","annual",2.352,52.438,50.734,2.46366666666667
"6","Austin_2020_03","CHPI8","annual",2.37,52.699,50.734,2.46366666666667
"7","Austin_2020_03","MIQU2","perennial",3.289,54.749,53.836,3.41066666666667
"8","Austin_2020_03","MIQU2","perennial",3.295,55.037,53.836,3.41066666666667
"9","Austin_2020_03","MIQU2","perennial",3.648,51.722,53.836,3.41066666666667
"10","Austin_2020_03","RUHI2","perennial",3.563,41.392,40.6236666666667,3.06333333333333
"11","Austin_2020_03","RUHI2","perennial",3.003,42.681,40.6236666666667,3.06333333333333
"12","Austin_2020_03","RUHI2","perennial",2.624,37.798,40.6236666666667,3.06333333333333
"13","Bandera_2020_03","ASSY","perennial",5.234,46.185,44.3523333333333,4.22033333333333
"14","Bandera_2020_03","ASSY","perennial",3.996,45.208,44.3523333333333,4.22033333333333
"15","Bandera_2020_03","ASSY","perennial",3.431,41.664,44.3523333333333,4.22033333333333
"16","Bandera_2020_03","CRGLL","annual",3.037,34.377,40.802,2.883
"17","Bandera_2020_03","CRGLL","annual",2.928,37.583,40.802,2.883
"18","Bandera_2020_03","CRGLL","annual",3.043,42.377,40.802,2.883
"19","Bandera_2020_03","CRGLL","annual",2.524,48.871,40.802,2.883
"20","Bandera_2020_03","DIAN","perennial",2.132,39.774,46.307125,1.548375
"21","Bandera_2020_03","DIAN","perennial",1.739,46.538,46.307125,1.548375
"22","Bandera_2020_03","DIAN","perennial",1.594,40.535,46.307125,1.548375
"23","Bandera_2020_03","DIAN","perennial",1.556,45.969,46.307125,1.548375
"24","Bandera_2020_03","DIAN","perennial",1.727,62.875,46.307125,1.548375
"25","Bandera_2020_03","DIAN","perennial",1.11,45.908,46.307125,1.548375
"26","Bandera_2020_03","DIAN","perennial",1.223,45.111,46.307125,1.548375
"27","Bandera_2020_03","DIAN","perennial",1.306,43.747,46.307125,1.548375
"28","Bandera_2020_03","EUMA8","annual",2.359,38.656,39.024,1.954
"29","Bandera_2020_03","EUMA8","annual",1.511,39.241,39.024,1.954
"30","Bandera_2020_03","EUMA8","annual",1.992,39.175,39.024,1.954
"31","Bandera_2020_03","SOEL","perennial",2.902,44.701,46.5136666666667,2.15716666666667
"32","Bandera_2020_03","SOEL","perennial",2.058,45.435,46.5136666666667,2.15716666666667
"33","Bandera_2020_03","SOEL","perennial",2.245,53.462,46.5136666666667,2.15716666666667
"34","Bandera_2020_03","SOEL","perennial",2.012,44.394,46.5136666666667,2.15716666666667
"35","Bandera_2020_03","SOEL","perennial",1.986,46.08,46.5136666666667,2.15716666666667
"36","Bandera_2020_03","SOEL","perennial",1.74,45.01,46.5136666666667,2.15716666666667
"37","Bandera_2020_03","VEST","perennial",2.709,34.046,36.6186666666667,2.83233333333333
"38","Bandera_2020_03","VEST","perennial",3.177,36.911,36.6186666666667,2.83233333333333
"39","Bandera_2020_03","VEST","perennial",2.611,38.899,36.6186666666667,2.83233333333333
"40","Bell_2021_08","ARPU9","perennial",1.171,44.864,43.195,1.4635
"41","Bell_2021_08","ARPU9","perennial",1.756,41.526,43.195,1.4635
"42","Bell_2021_08","ASSY","perennial",3.627,44.947,45.5021,3.5008
"43","Bell_2021_08","ASSY","perennial",3.606,42.263,45.5021,3.5008
"44","Bell_2021_08","ASSY","perennial",4.612,46.809,45.5021,3.5008
"45","Bell_2021_08","ASSY","perennial",2.641,47.697,45.5021,3.5008
"46","Bell_2021_08","ASSY","perennial",3.018,45.7945,45.5021,3.5008
"47","Bell_2021_08","CRGLL","annual",2.937,53.247,NA,NA
"48","Bell_2021_08","CRGLL","annual",2.199,49.36,NA,NA
"49","Bell_2021_08","CRGLL","annual",2.876,48.643,NA,NA
"50","Bell_2021_08","CRGLL","annual",NA,NA,NA,NA
"51","Bell_2021_08","CRGLL","annual",NA,NA,NA,NA
"52","Bell_2021_08","CYDA","perennial",1.722,45.539,NA,NA
"53","Bell_2021_08","CYDA","perennial",1.962,42.24,NA,NA
"54","Bell_2021_08","CYDA","perennial",1.812,43.678,NA,NA
