"","sampleID","Kartez","family","genus_new","species_new","genus_old","species_old","Native","PhotoPath","LifeHistory","FunctionalGroup","site","lf_sum_area","lf_n_pieces","lf_whole_ind","lf_wet_mass","lf_dry_mass","sla","ldmc","lf_petiole_ind","lf_iso_mass","lf_iso_d15N","lf_iso_d13C","lf_iso_pN","lf_iso_pC","taxon","mean.c.percent_taxon","mean.n.value_taxon"
"1","64","ACNE","Euphorbiaceae","Acalypha","neomexicana","Acalypha","neomexicana","y","C3","a","f","core_PJ",5.89289144,5,TRUE,0.0585,0.0121,487.0158215,0.206837607,FALSE,3.109,-3.0780125,-28.434625,1.923367764,46.95574868,"Acalypha neomexicana",45.4753978866667,1.71215871366667
"2","75","ACNE","Euphorbiaceae","Acalypha","neomexicana","Acalypha","neomexicana","y","C3","a","f","core_PJ",6.85676048,5,TRUE,0.0801,0.0164,418.0951512,0.20474407,FALSE,2.96,-1.5666125,-28.738625,1.540926277,44.58558598,"Acalypha neomexicana",45.4753978866667,1.71215871366667
"3","76","ACNE","Euphorbiaceae","Acalypha","neomexicana","Acalypha","neomexicana","y","C3","a","f","core_PJ",6.35676148,5,TRUE,0.0711,0.0124,512.6420548,0.17440225,FALSE,3.002,-2.3503125,-29.009625,1.6721821,44.884859,"Acalypha neomexicana",45.4753978866667,1.71215871366667
"4","432","SEDI3","Nyctaginaceae","Acleisanthes","diffusa","Selinocarpus","diffusus","y","C3","p","s","core_blue",4.14579816,5,TRUE,0.2468,0.0259,160.069427,0.104943274,FALSE,3.244,4.129611111,-26.17811111,2.442455065,39.66502776,"Acleisanthes diffusa",40.05362397,2.44100584166667
"5","433","SEDI3","Nyctaginaceae","Acleisanthes","diffusa","Selinocarpus","diffusus","y","C3","p","s","core_blue",5.30386036,5,TRUE,0.2979,0.0345,153.7350829,0.115810675,FALSE,3.141,3.536533333,-25.61966667,2.416487908,41.85772314,"Acleisanthes diffusa",40.05362397,2.44100584166667
"6","434","SEDI3","Nyctaginaceae","Acleisanthes","diffusa","Selinocarpus","diffusus","y","C3","p","s","core_blue",5.39224728,5,TRUE,0.2732,0.0383,140.7897462,0.140190337,FALSE,3.247,3.772533333,-25.61266667,2.464074552,38.63812101,"Acleisanthes diffusa",40.05362397,2.44100584166667
"7","309","ALIN","Nyctaginaceae","Allionia","incarnata","Allionia","incarnata","y","C4","p","f","core_blue",14.50706776,5,TRUE,0.5993,0.0767,189.140388,0.127982646,FALSE,3.001,5.7522875,-13.982625,2.096820124,32.34997533,"Allionia incarnata",33.620177835,2.0314573245
"8","409","ALIN","Nyctaginaceae","Allionia","incarnata","Allionia","incarnata","y","C4","p","f","Sevilleta_Field_Station",13.38319904,5,TRUE,0.5815,0.0838,159.7040458,0.14411006,FALSE,3.265,0.9225875,-13.959625,1.966094525,34.89038034,"Allionia incarnata",33.620177835,2.0314573245
"9","239","AMPA","Amaranthaceae","Amaranthus","palmeri","Amaranthus","palmeri","y","C4","a","f","core_blue",3.5741864,5,TRUE,0.0789,0.015,238.2790933,0.190114068,FALSE,3.019,5.4228875,-14.214625,2.242632234,38.91660305,"Amaranthus palmeri",41.1506511366667,2.87199743266667
"10","446","AMPA","Amaranthaceae","Amaranthus","palmeri","Amaranthus","palmeri","y","C4","a","f","core_blue",4.57676504,5,TRUE,0.0977,0.0125,366.1412032,0.127942682,FALSE,3.141,6.4201875,-14.662625,3.902281949,41.57179725,"Amaranthus palmeri",41.1506511366667,2.87199743266667
"11","447","AMPA","Amaranthaceae","Amaranthus","palmeri","Amaranthus","palmeri","y","C4","a","f","core_blue",2.1032216,5,TRUE,0.0372,0.0053,396.8342642,0.142473118,FALSE,1.215,5.1724875,-14.805625,2.471078115,42.96355311,"Amaranthus palmeri",41.1506511366667,2.87199743266667
"12","59","BADI","Asteraceae","Amauriopsis","dissecta","Bahia","dissecta","y","C3","p","f","core_PJ",35.38767116,5,TRUE,1.5782,0.2115,167.3175941,0.134013433,FALSE,3.192,0.6236875,-29.420625,1.593120838,43.20880363,"Amauriopsis dissecta",45.9500819433333,1.38343324866667
"13","60","BADI","Asteraceae","Amauriopsis","dissecta","Bahia","dissecta","y","C3","p","f","core_PJ",17.78577088,5,TRUE,0.7474,0.1081,164.5307204,0.144634734,FALSE,3.228,-1.7423125,-30.353625,1.073681654,47.13704353,"Amauriopsis dissecta",45.9500819433333,1.38343324866667
"14","63","BADI","Asteraceae","Amauriopsis","dissecta","Bahia","dissecta","y","C3","p","f","core_PJ",38.09282704,8,FALSE,1.9406,0.2782,136.9260497,0.143357724,FALSE,3.105,-0.9833125,-29.466625,1.483497254,47.50439867,"Amauriopsis dissecta",45.9500819433333,1.38343324866667
"15","286","APRAH","Asteraceae","Aphanostephus","ramosissimus","Aphanostephus","ramosissimus","y","C3","p","f","core_black",5.2386992,7,TRUE,0.0961,0.0123,425.9105041,0.127991675,FALSE,1.921,3.6090875,-32.110625,1.70526722,47.51827912,"Aphanostephus ramosissimus",47.617994025,2.3662716875
