"","ObservationID","AccSpeciesID","AccSpeciesName","Latitude","Longitude","14_Leaf nitrogen (N) content per leaf dry mass_mg/g","13_Leaf carbon (C) content per leaf dry mass_mg/g","15_Leaf phosphorus (P) content per leaf dry mass_mg/g","44_Leaf potassium (K) content per leaf dry mass_mg/g"
"1",19224,61942,"Panicum sp",NA,NA,18.2,439.3,NA,NA
"2",19225,48859,"Schizachyrium scoparium",NA,NA,9.7,436,NA,NA
"3",19229,61942,"Panicum sp",NA,NA,17.3,456.2,NA,NA
"4",19232,60063,"Schizachyrium sp",NA,NA,14.1,451.6,NA,NA
"5",19234,40121,"Panicum virgatum",NA,NA,14.9,443.8,NA,NA
"6",19236,61942,"Panicum sp",NA,NA,17.1,433.6,NA,NA
"7",19238,61942,"Panicum sp",NA,NA,10,441.6,NA,NA
"8",19243,39970,"Panicum decompositum",NA,NA,11.5,490,NA,NA
"9",19251,60063,"Schizachyrium sp",NA,NA,11,424.8,NA,NA
"10",19260,60063,"Schizachyrium sp",NA,NA,9.5,441.2,NA,NA
"11",19274,48849,"Schizachyrium crinizonatum",NA,NA,17.1,520,NA,NA
"12",19280,39965,"Panicum coloratum",NA,NA,22,427,NA,NA
"13",19285,39972,"Panicum deustum",NA,NA,15.1,422.5,NA,NA
"14",19289,39965,"Panicum coloratum",NA,NA,32.6,434.4,NA,NA
"15",19361,40030,"Panicum maximum",NA,NA,12,412.2,NA,NA
"16",21086,40030,"Panicum maximum",-1.75,-47.0833,13.6,NA,NA,NA
"17",21370,40030,"Panicum maximum",-22.7167,-47.6333,13.9,NA,NA,NA
"18",21373,40030,"Panicum maximum",-22.7167,-47.6333,17.4,NA,NA,NA
"19",21376,40030,"Panicum maximum",-22.7167,-47.6333,8.5,NA,NA,NA
"20",21377,40030,"Panicum maximum",-22.7167,-47.6333,9.2,NA,NA,NA
"21",21384,40030,"Panicum maximum",-22.7167,-47.6333,8,NA,NA,NA
"22",21385,40030,"Panicum maximum",-22.7167,-47.6333,8.8,NA,NA,NA
"23",21386,40030,"Panicum maximum",-22.7167,-47.6333,10.4,NA,NA,NA
"24",21387,40030,"Panicum maximum",-22.7167,-47.6333,10.8,NA,NA,NA
"25",21388,40030,"Panicum maximum",-22.7167,-47.6333,15,NA,NA,NA
"26",22646,40116,"Panicum trinii",-22.933333,-42.216667,9.8,NA,NA,NA
"27",22651,40030,"Panicum maximum",-1.45,-48.483333,14.9,NA,NA,NA
"28",23358,40030,"Panicum maximum",-3.1,-60.016667,15.8,NA,NA,NA
"29",25725,40113,"Panicum trichoides",-8.25,-35.916667,22.8,NA,NA,NA
"30",25726,40113,"Panicum trichoides",-8.25,-35.916667,26.7,NA,NA,NA
"31",25727,40119,"Panicum venezuelae",-8.25,-35.916667,24.8,NA,NA,NA
"32",26044,40030,"Panicum maximum",-24.593889,31.3916,24.8,NA,NA,NA
"33",26046,40030,"Panicum maximum",-24.543639,31.4076,20.5,NA,NA,NA
"34",26048,40030,"Panicum maximum",-24.685694,31.4571,16.4,NA,NA,NA
"35",26228,40030,"Panicum maximum",-25.2147,31.3798,16.7,NA,NA,NA
"36",26235,40030,"Panicum maximum",-25.169167,31.2511,14,NA,NA,NA
"37",26237,40030,"Panicum maximum",-25.0069,31.4803,10.8,NA,NA,NA
"38",26241,40030,"Panicum maximum",-25.028317,31.3702,16.7,NA,NA,NA
"39",26426,40030,"Panicum maximum",-24.243972,30.8248,21.4,NA,NA,NA
"40",26434,40030,"Panicum maximum",-24.297806,30.9183,17.9,NA,NA,NA
"41",26437,40030,"Panicum maximum",-24.249444,30.9434,16.7,NA,NA,NA
"42",26438,40030,"Panicum maximum",-24.243833,30.9377,19.3,NA,NA,NA
"43",26439,40030,"Panicum maximum",-24.233333,30.6072,13.5,NA,NA,NA
"44",26441,40030,"Panicum maximum",-24.153694,30.9576,30.5,NA,NA,NA
