,DatasetID,ObservationID,AccSpeciesID,AccSpeciesName,ObsDataID,X.nitrogen,X.carbon,lat,long
911,443,2764143,48050,Salsola sp,25678539,9.8,NA,44.37,87.92
914,443,2764144,48050,Salsola sp,25678607,26.1,NA,44.37,87.92
917,443,2764145,48050,Salsola sp,25678675,26.73,NA,44.37,87.92
8,130,28527,48050,Salsola sp,706828,22.4,NA,-29.516425,21.9643382
703,412,3081756,48050,Salsola sp,33928881,22.4,NA,-29.516425,21.9643382
268,240,1674387,48859,Schizachyrium scoparium,11593155,31.6,NA,-34.6,-58.5
418,412,3035814,48859,Schizachyrium scoparium,30413563,31.6,NA,-34.6,-58.5
1287,89,968078,51149,Sorghum halepense,6148827,22.2,NA,-31.4,-64.2
232,20,1289886,34627,Lyonia lucida,8713191,9.2,NA,33.33,-79.22
235,20,1289890,44869,Pterocaulon pycnostachyum,8713701,19.7,NA,33.33,-79.22
281,286,2460434,34627,Lyonia lucida,19985690,9.2,NA,33.33,-79.22
284,286,2460438,44869,Pterocaulon pycnostachyum,19985850,19.7,NA,33.33,-79.22
348,342,2502092,34627,Lyonia lucida,20674217,9.2,NA,33.33,-79.22
351,342,2502096,44869,Pterocaulon pycnostachyum,20674509,19.7,NA,33.33,-79.22
403,412,3029767,34627,Lyonia lucida,29949877,9.2,NA,33.33,-79.22
406,412,3029771,44869,Pterocaulon pycnostachyum,29950149,19.7,NA,33.33,-79.22
1055,67,1308743,44869,Pterocaulon pycnostachyum,9097626,19.7,NA,33.33,-79.22
1058,67,1308750,34627,Lyonia lucida,9097859,9.2,NA,33.33,-79.22
1064,67,1308889,44869,Pterocaulon pycnostachyum,9102200,19.7,NA,33.33,-79.22
1067,67,1308902,34627,Lyonia lucida,9102559,9.2,NA,33.33,-79.22
1300,96,1312277,34627,Lyonia lucida,9183656,9.2,NA,33.33,-79.22
1303,96,1312281,44869,Pterocaulon pycnostachyum,9183826,19.7,NA,33.33,-79.22
415,412,3031500,34627,Lyonia lucida,30077821,13.1,NA,34.2,-79.4
952,642,6233662,34627,Lyonia lucida,60825226,9.4,541.4,29.69519,-81.95411
944,642,6233572,34627,Lyonia lucida,60823235,11.5,547.3,29.70997,-81.96843
936,642,6233552,34627,Lyonia lucida,60822790,12.6,531.9,29.70433,-81.99178
940,642,6233557,34627,Lyonia lucida,60822902,12.4,545.8,29.70433,-81.99178
948,642,6233601,34627,Lyonia lucida,60823877,11,545.3,29.70236,-82.00886
214,20,1288616,34627,Lyonia lucida,8572420,7,NA,30.73,-82.13
333,342,2501234,34627,Lyonia lucida,20612124,7,NA,30.73,-82.13
385,412,3028515,34627,Lyonia lucida,29852032,7,NA,30.73,-82.13
211,20,1288479,45432,Quercus minima,8556910,8.9,NA,29.63,-82.36
330,342,2501185,45432,Quercus minima,20608528,8.9,NA,29.63,-82.36
382,412,3028378,45432,Quercus minima,29841427,17.8,NA,29.63,-82.36
904,412,3161939,45432,Quercus minima,40328677,8.9,NA,29.2,-82.99
956,642,6234419,71125,Rubus trivialis,60841071,17.6,424.2,32.89059,-87.444
960,642,6234447,421856,Dichanthelium sp,60841491,17,451.4,32.89059,-87.444
223,20,1289417,3170,Ambrosia trifida,8661583,44.1,NA,40.1,-88.23
342,342,2501783,3170,Ambrosia trifida,20651479,44.1,NA,40.1,-88.23
394,412,3029310,3170,Ambrosia trifida,29914353,44.1,NA,40.1,-88.23
1197,756,6430483,51135,Sorghastrum nutans,63363005,11.51007533,NA,37.695,-89.239
1200,756,6430484,51135,Sorghastrum nutans,63363016,12.13238835,NA,37.695,-89.239
1203,756,6430485,51135,Sorghastrum nutans,63363027,8.217561245,NA,37.695,-89.239
1206,756,6430486,51135,Sorghastrum nutans,63363038,13.40159416,NA,37.695,-89.239
1209,756,6430487,51135,Sorghastrum nutans,63363049,9.635415673,NA,37.695,-89.239
