,,,,,,,,,,,,,,,,isotope packing,,,,,,,
position,Box #,col_a-g,row_1-7,site,plot,trt,taxon,rep,multi_envelope,extra_envelope,vial ID / sample ID,extra needed?,Notes,who,ground,uc davis weight ideal,weight,plate,well id,comment_isotope,comment_minig,comment_problems,why
1,1,A,1,temple,28,npk,SCSC,2,010,,multi_tmpl_28_npk_SCSC_02_010,no,"all smpl used, no need for extra",hg,yes,,,1,A1,,,multi_tmpl_01_ctl_PAPE_02_081,no sample
2,1,B,1,temple,28,npk,SCSC,1,007,,multi_tmpl_28_npk_SCSC_01_007_hard,no,"all smpl used, no need for extra",hg,yes,,,1,A2,,,,
3,1,C,1,temple,28,npk,COCA,2,022,,multi_tmpl_28_npk_COCA_02_022,added,"all smpl used, extra used",hg,yes,,,1,A3,,,,
4,1,D,1,temple,28,npk,COCA,1,019,,multi_tmpl_28_npk_COCA_01_019_hard,no,"all smpl used, no need for extra",hg,yes,,,1,A4,,,,
5,1,E,1,temple,28,npk,AMTR,2,016,,multi_tmpl_28_npk_AMTR_02_016,no,,hg,yes,,,1,A5,,,,
6,1,F,1,temple,28,npk,AMTR,1,013,,multi_tmpl_28_npk_AMTR_01_013_hard,no,,hg,yes,,,1,A6,,,,
7,1,G,1,temple,18,npk,SCSC,2,010,,multi_tmpl_18_npk_SCSC_02_010,added,"all smpl used, extra added",hg,yes,,,1,A7,,,,
8,1,A,2,temple,11,ctl,TOAR,2,028,,multi_tmpl_11_ctl_TOAR_02_028,added,"all smpl used, all extra used",hg,yes,,,1,A8,,,,
9,1,B,2,temple,1,ctl,COCA,1,072,,multi_tmpl_01_ctl_COCA_01_072_hard,no,all smpl used,hg,yes,,,1,A9,,,,
10,1,C,2,temple,1,ctl,COER,1,095,,multi_tmpl_01_ctl_COER_01_095,no,all smpl used,hg,yes,,,1,A10,,,,
11,1,D,2,temple,1,ctl,COER,2,098,,multi_tmpl_01_ctl_COER_02_098,no,all smpl used,hg,yes,,,1,A11,,,,
12,1,E,2,temple,21,ctl,SCSC,1,007,,multi_tmpl_21_ctl_SCSC_01_007_hard,no,all smpl used,hg,yes,,,1,A12,,,,
13,1,F,2,temple,21,ctl,SCSC,2,010,,multi_tmpl_21_ctl_SCSC_02_010,no,all smpl used,hg,yes,,,1,B1,,,,
14,1,G,2,temple,21,ctl,SOHA,1,001,,multi_tmpl_21_ctl_SOHA_01_001_hard,no,,hg,yes,,,1,B2,,,,
15,1,A,3,temple,21,ctl,SOHA,2,004,,multi_tmpl_21_ctl_SOHA_02_004,no,,hg,yes,,,1,B3,,,,
16,1,B,3,temple,21,ctl,TOAR,1,025,,multi_tmpl_21_ctl_TOAR_01_025_hard,added,"all smpl used, all extra used",hg,yes,,,1,B4,,,,
17,1,C,3,temple,21,ctl,TOAR,2,028,,multi_tmpl_21_ctl_TOAR_02_028,added,"all smpl used, all extra used",hg,yes,,,1,B5,,,,
18,1,D,3,temple,8,npk,TOAR,1,001,,multi_tmpl_08_npk_TOAR_01_001_hard,added,"all smpl used, all extra used",hg,yes,,,1,B6,,,,
19,1,E,3,temple,11,ctl,PSTE,2,040,,multi_tmpl_11_ctl_PSTE_02_040,added,"all smpl used, all extra used",hg,yes,,,1,B7,,,,
20,1,F,3,temple,11,ctl,SOHA,1,001,,mutli_tmpl_11_ctl_SOHA_01_001_hard,no,,hg,yes,,,1,B8,,,,
21,1,G,3,temple,28,npk,SOHA,1,003,,multi_tmpl_28_npk_SOHA_01_003_hard,no,,hg,yes,,,1,B9,,,,
22,1,A,4,temple,18,npk,AMTR,2,016,,multi_tmpl_18_npk_AMTR_02_016,no,,hg,yes,,,1,B10,,,,
23,1,B,4,temple,18,npk,AMTR,1,015,,multi_tmpl_18_npk_AMTR_01_015_hard,no,,hg,yes,,,1,B11,,,,
24,1,C,4,temple,1,ctl,TRBR,3,054,,multi_tmpl_01_ctl_TRBR_03_054,added,"all smpl used, all extra used",hg,yes,,,1,B12,,,,
25,1,D,4,temple,18,npk,GATE,1,031,,multi_tmpl_18_npk_GATE_01_031,added,"all smpl used, all extra used",hg,yes,,,1,C1,,,,
26,1,E,4,temple,18,npk,MIPL,4,046,,multi_tmpl_18_npk_MIPL_04_046,no,,hg,yes,,,1,C2,,,,
27,1,F,4,temple,18,npk,COCA,2,022,,multi_tmpl_18_npk_COCA_02_022,added,"all smpl used, extra used",hg,yes,,,1,C3,,,,
28,1,G,4,temple,18,npk,MIPL,3,043,,multi_tmpl_18_npk_MIPL_03_043,added,"all smpl used, extra used",hg,yes,,,1,C4,,,,
29,1,A,5,temple,1,ctl,AMTR,4,069,,multi_tmpl_01_ctl_AMTR_04_069_hard,no,,hg,yes,,,1,C5,,,,
