"obs","Comments","time..2","elapsed","date","hhmmss","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccH2O_hum","CO2_hrs","AccCO2_soda","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
NA,"Stability Definition:	ΔCO2 (Meas2): Slp<0.1 Per=20	ΔH2O (Meas2): Slp<0.1 Per=20",NA,NA,NA,07:33:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,1686922505,0,2023-06-16 08:35:05,08:35:05,5,"lubb_27_npk_prgl2_","gibson",1686922497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.438977619516,423.863387878788,0.0597555998094041,68.8217719280108,0,19.7019891807696,20.5731916083916,4.13998203705965e-05,120.301929841262,0,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922497,414.970709677419,419.961419354839,20.5623548387097,19.7024677419355,414.007741935484,20.3089677419355,500.189290322581,90.2309322580645,0.0999859741935484,27.6453741935484,28.0123096774194,999.9,0,0,10013.064516129,0,211.395129032258,-4.99076580645161,423.682580645161,428.402,0.859881967741935,419.961419354839,19.7024677419355,1.85536,1.77777258064516,16.2611709677419,15.5927,2000.00806451613,0.979995419354839,0.0200044,0,2.59397741935484,0,2989.50225806452,16705.4451612903,41.187,42.375,42,40.75,40.937,1959.99677419355,40.01,0,1686922504.6,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,-4.99606243902439,-0.229665156794442,0.154097606853428,0,0.862055682926829,-0.00810637630661967,0.00757165952888901,1,1,2,"1/2",2.87696,2.71026,0.0905253,0.0914703,0.092034,0.0894489,25486.4,22326.6,25067.6,23923.9,38818.6,36033.3,45283.6,42645.5,1.821,1.9016,0.137955,0,25.7858,999.9,61.287,26.173,23.1544,54.2509,46.0537,1,-0.16061,-0.825447,20.2412,5.23167,11.986,4.9556,3.304,9999,9999,999.9,9999,1.86823,1.86386,1.87158,1.86218,1.86172,1.86816,1.85837,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.963,0.2533,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,4.3,4.4,1.04126,2.33276,1.44775,2.30713,1.44409,2.45239,29.8578,15.6906,18,433.018,468.168,26.4957,25.4924,30.0002,25.3195,25.3007,20.9091,31.7239,35.6522,26.4917,420,19.6941,95.8664,100.289
2,NA,1686922664,159,2023-06-16 08:37:44,08:37:44,5,"lubb_27_npk_prgl2_","gibson",1686922656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.465862479231,423.448496969697,-0.0378615207598932,68.8217719280108,0,19.705790901091,20.5975734265734,-0.00151235058145293,120.301929841262,1,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922656,414.816096774194,419.95364516129,20.5951419354839,19.7045225806452,413.853258064516,20.3403516129032,500.195161290323,90.2332322580645,0.100013090322581,27.6596193548387,28.0082677419355,999.9,0,0,9993.54838709677,0,207.688,-5.13748774193548,423.539032258064,428.395064516129,0.89061835483871,419.95364516129,19.7045225806452,1.85836677419355,1.77800322580645,16.2865774193548,15.5947322580645,2000.00258064516,0.979995548387097,0.0200043,0,2.58510322580645,0,3041.07225806452,16705.3870967742,41.25,42.437,42.062,40.812,40.9756129032258,1959.99193548387,40.01,0,1686922664.2,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,-5.133746,-0.170460337711071,0.15200171799687,0,0.891251,-0.00944796247654903,0.00386733896238744,1,1,2,"1/2",2.87689,2.7099,0.0905049,0.0914528,0.0921151,0.0894461,25482.5,22324.1,25063.3,23921,38809.2,36030.3,45276.7,42641.8,1.8198,1.9024,0.135809,0,25.7736,999.9,61.696,26.073,23.1726,54.0709,45.8614,1,-0.157236,-0.995011,20.2399,5.23406,11.986,4.9572,3.304,9999,9999,999.9,9999,1.86819,1.86383,1.87152,1.86218,1.86172,1.86813,1.85837,1.8649,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.963,0.2546,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7,7,1.04248,2.36694,1.44897,2.30713,1.44409,2.23877,29.8792,15.6556,18,432.645,469.038,26.5152,25.5375,30.0004,25.3597,25.3424,20.9292,32.0027,37.1459,26.5683,413.221,19.6589,95.8512,100.279
3,NA,1686922669,164,2023-06-16 08:37:49,08:37:49,5,"lubb_27_npk_prgl2_","gibson",1686922661.15517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.942433729438,423.028181818182,-0.148074847251658,68.8217719280108,0,19.7006356106477,20.5978601398602,-0.00613352833077686,120.301929841262,1,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922661.15517,414.795620689655,419.458034482759,20.5930275862069,19.7039620689655,413.83275862069,20.3383275862069,500.246517241379,90.2333137931034,0.100125703448276,27.6611344827586,28.005724137931,999.9,0,0,9979.8275862069,0,175.287551724138,-4.66252165517241,423.517206896552,427.88924137931,0.889060310344828,419.458034482759,19.7039620689655,1.85817689655172,1.77795413793103,16.2849793103448,15.5943068965517,2000.0024137931,0.97999551724138,0.020004324137931,0,2.55231379310345,0,3040.78172413793,16705.3896551724,41.25,42.437,42.062,40.812,40.978275862069,1959.99172413793,40.01,0,1686922669,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,-4.982636,2.28858168855537,0.555556504533067,0,0.88949035,-0.0144079024390248,0.00415824276918748,1,1,2,"1/2",2.87635,2.71022,0.0904355,0.090374,0.0921696,0.0894509,25484.8,22350.9,25063.7,23921.3,38806.6,36030.5,45276.5,42642.4,1.82,1.9022,0.135839,0,25.7749,999.9,61.72,26.062,23.1649,53.9909,46.1258,1,-0.157236,-0.846318,20.2409,5.23286,11.986,4.9568,3.304,9999,9999,999.9,9999,1.86829,1.86386,1.87149,1.86218,1.86172,1.86813,1.85828,1.86481,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.963,0.2553,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7,7.1,1.01562,2.3584,1.44897,2.30713,1.44409,2.26562,29.8578,15.6556,18,432.767,468.913,26.5649,25.5397,30,25.3614,25.3424,20.3884,32.0027,37.1459,26.5647,399.798,19.6589,95.8515,100.28
4,NA,1686922674,169,2023-06-16 08:37:54,08:37:54,5,"lubb_27_npk_prgl2_","gibson",1686922666.23214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.059267748091,417.817018181818,-1.33623540043706,68.8217719280108,0,19.7051295317373,20.6026986013986,-0.00129672212445498,120.301929841262,0,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922666.23214,413.886214285714,415.154714285714,20.5947,19.7045607142857,412.92375,20.339925,500.248821428571,90.2329321428572,0.100176817857143,27.6587285714286,28.0019678571429,999.9,0,0,9969.64285714286,0,161.98175,-1.2685735,422.589357142857,423.499714285714,0.890132678571429,415.154714285714,19.7045607142857,1.85831964285714,1.77800071428571,16.2861821428571,15.5947107142857,1999.97464285714,0.979995142857143,0.0200046142857143,0,2.54792142857143,0,3034.41821428571,16705.1642857143,41.25,42.437,42.062,40.812,40.982,1959.96428571429,40.01,0,1686922673.8,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,-2.930745375,30.7742629756098,3.79739759139117,0,0.8899845,0.00552724953095447,0.00445639162327549,1,1,2,"1/2",2.875,2.70994,0.0894655,0.0880778,0.0921485,0.0894614,25511.5,22407.4,25063.2,23921.5,38806.5,36030,45275.3,42642.4,1.8192,1.9026,0.137806,0,25.7749,999.9,61.72,26.073,23.181,54.2109,46.4864,1,-0.157154,-0.788736,20.241,5.23406,11.986,4.9572,3.304,9999,9999,999.9,9999,1.86823,1.8638,1.87149,1.86218,1.86169,1.86819,1.85834,1.86487,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.96,0.2551,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7.1,7.2,0.987549,2.3584,1.44775,2.30713,1.44409,2.30713,29.8578,15.6556,18,432.322,469.182,26.5686,25.5397,30.0001,25.3619,25.3445,19.8096,32.0027,37.1459,26.5599,386.334,19.6581,95.8491,100.28
5,NA,1686922679,174,2023-06-16 08:37:59,08:37:59,5,"lubb_27_npk_prgl2_","gibson",1686922671.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.191320689935,407.326727272727,-2.25867094581959,68.8217719280108,0,19.7062384055183,20.6006643356643,-0.00020746163980864,120.301929841262,0,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922671.5,410.072444444444,405.276333333333,20.5958592592593,19.7048925925926,409.111703703704,20.3410333333333,500.242259259259,90.2334740740741,0.100010203703704,27.6624185185185,28.0117851851852,999.9,0,0,9988.33333333333,0,148.735222222222,4.79601414814815,418.695851851852,413.422888888889,0.890962037037037,405.276333333333,19.7048925925926,1.85843518518519,1.77804111111111,16.2871592592593,15.5950592592593,1999.98074074074,0.979995333333333,0.0200044666666667,0,2.54498888888889,0,3039.30111111111,16705.2148148148,41.25,42.437,42.062,40.812,40.9906666666667,1959.97037037037,40.01,0,1686922678.6,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,1.088813375,66.7096823752345,6.80989843814913,0,0.891152425,0.0121668180112558,0.00487759850176037,1,1,2,"1/2",2.87427,2.71075,0.0876322,0.0852038,0.0921634,0.0894645,25562.4,22478,25062.8,23921.5,38806,36030.1,45275.6,42642.7,1.8196,1.9024,0.136763,0,25.7749,999.9,61.745,26.062,23.1724,54.1009,46.7508,1,-0.157236,-0.649259,20.2418,5.23406,11.986,4.956,3.304,9999,9999,999.9,9999,1.86829,1.86386,1.87152,1.86218,1.86172,1.86819,1.85837,1.86487,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.955,0.2553,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7.2,7.3,0.95459,2.34619,1.44775,2.30713,1.44409,2.37183,29.8578,15.6643,18,432.558,469.056,26.5627,25.5414,30,25.3636,25.3445,19.1449,32.0027,37.5244,26.534,366.073,19.6509,95.849,100.281
6,NA,1686922684,179,2023-06-16 08:38:04,08:38:04,5,"lubb_27_npk_prgl2_","gibson",1686922676.21429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.024483253863,393.588878787879,-2.79827260648993,68.8217719280108,0,19.7116502195376,20.604262937063,-9.72642595711578e-05,120.301929841262,0,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922676.21429,402.601928571429,391.678857142857,20.6010142857143,19.7085178571429,401.644464285714,20.3459678571429,500.284607142857,90.2339964285714,0.0999640571428572,27.6634821428571,28.0089857142857,999.9,0,0,9992.32142857143,0,144.501107142857,10.9229932857143,411.070285714286,399.553571428572,0.89248925,391.678857142857,19.7085178571429,1.85891142857143,1.77837928571429,16.2911821428571,15.5980285714286,1999.99107142857,0.979995571428571,0.0200042821428571,0,2.56362857142857,0,3034.62714285714,16705.3035714286,41.25,42.437,42.062,40.812,40.9955,1959.98107142857,40.01,0,1686922684,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,6.238556875,80.4055809118199,7.84933125369003,0,0.8916161,0.0186957748592866,0.00484631148297342,1,1,2,"1/2",2.87537,2.70963,0.0853444,0.0824896,0.0921402,0.0894891,25627.7,22544.3,25064,23921,38805.9,36028.2,45274.3,42641.6,1.8202,1.902,0.135839,0,25.7749,999.9,61.763,26.073,23.1947,54.2309,46.6707,1,-0.157195,-0.811808,20.2408,5.23406,11.986,4.9564,3.304,9999,9999,999.9,9999,1.86829,1.86386,1.87149,1.86218,1.86172,1.86823,1.85828,1.8649,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.949,0.255,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7.3,7.4,0.922852,2.34009,1.44775,2.30713,1.44409,2.40845,29.8792,15.6643,18,432.903,468.823,26.5351,25.5418,30.0001,25.364,25.3466,18.5166,32.0027,37.5244,26.5506,352.478,19.6512,95.8489,100.278
7,NA,1686922689,184,2023-06-16 08:38:09,08:38:09,5,"lubb_27_npk_prgl2_","gibson",1686922681.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.665459549727,378.572436363636,-3.05790058251279,68.8217719280108,0,19.7177582409244,20.6087979020979,0.00020513158319635,120.301929841262,0,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922681.5,390.426592592592,374.986481481481,20.604,19.712437037037,389.474666666667,20.3488444444444,500.28762962963,90.2340666666666,0.0999466296296296,27.6598666666667,27.9979,999.9,0,0,10000.5555555556,0,160.227888888889,15.4400918518519,398.640037037037,382.526962962963,0.89155937037037,374.986481481481,19.712437037037,1.85918333333333,1.77873444444444,16.2934740740741,15.6011481481481,2000.00888888889,0.979995777777778,0.0200041222222222,0,2.56926666666667,0,3029.82777777778,16705.4444444444,41.25,42.437,42.062,40.812,41,1959.99888888889,40.01,0,1686922688.8,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,11.739217375,57.255055283302,5.79295179999264,0,0.89198035,-0.0180467392120118,0.00467772944680429,1,1,2,"1/2",2.87633,2.71044,0.0827753,0.0795934,0.0921695,0.0894955,25698.9,22616.4,25063.3,23922.1,38805.2,36028.3,45275.1,42642.1,1.8202,1.902,0.133812,0,25.7779,999.9,61.763,26.062,23.1809,54.3909,46.6346,1,-0.156911,-0.875294,20.2403,5.23406,11.986,4.956,3.304,9999,9999,999.9,9999,1.86826,1.86386,1.87149,1.86221,1.86172,1.86816,1.85834,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.942,0.2553,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7.4,7.5,0.887451,2.33765,1.44775,2.30713,1.44409,2.44873,29.8578,15.6643,18,432.913,468.823,26.5491,25.5418,30.0004,25.3656,25.3466,17.8227,32.0027,37.5244,26.5684,332.351,19.6467,95.8489,100.281
8,NA,1686922694,189,2023-06-16 08:38:14,08:38:14,5,"lubb_27_npk_prgl2_","gibson",1686922686.21429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.632809293159,362.827345454545,-3.18131212702665,68.8217719280108,0,19.7146638257385,20.6141090909091,6.49023882650106e-05,120.301929841262,1,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922686.21429,377.270178571429,359.655928571429,20.6073464285714,19.7148,376.324357142857,20.35205,500.340392857143,90.2342464285714,0.0999029214285714,27.655175,27.9886071428571,999.9,0,0,10007.8571428571,0,152.451857142857,17.6142321428571,385.208142857143,366.889107142857,0.89255275,359.655928571429,19.7148,1.85948928571429,1.77895107142857,16.2960535714286,15.6030464285714,2000.01428571429,0.979995857142857,0.0200040607142857,0,2.58825,0,3031.24892857143,16705.4892857143,41.25,42.437,42.062,40.812,41,1960.00428571429,40.01,0,1686922693.6,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,15.69177125,31.5139935084428,3.21566809183192,0,0.892319625,-0.00250172983114476,0.00459137764013973,1,1,2,"1/2",2.8772,2.71003,0.0799859,0.076547,0.0921752,0.0894891,25776.9,22690.9,25063.1,23921.8,38804.8,36028.1,45275,42641.6,1.82,1.9022,0.13715,0,25.7801,999.9,61.787,26.062,23.1895,53.2909,46.3101,1,-0.156585,-0.866885,20.2406,5.23406,11.986,4.9556,3.304,9999,9999,999.9,9999,1.86826,1.86386,1.87152,1.86218,1.86172,1.86813,1.85828,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.935,0.2554,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7.5,7.5,0.855713,2.33154,1.44775,2.30713,1.44409,2.44385,29.8578,15.6643,18,432.806,468.968,26.5681,25.5439,30.0005,25.366,25.3488,17.1745,32.2822,37.5244,26.5764,318.949,19.6407,95.8486,100.28
9,NA,1686922699,194,2023-06-16 08:38:19,08:38:19,5,"lubb_27_npk_prgl2_","gibson",1686922691.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.853973745523,346.37203030303,-3.27895675660915,68.8217719280108,0,19.7047799713819,20.6099258741259,0.0001458398466098,120.301929841262,2,0,0,0,0,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1686922691.5,361.325259259259,342.397888888889,20.6103888888889,19.7060407407407,360.387185185185,20.3549518518519,500.30162962963,90.2341111111111,0.0999653592592593,27.6558703703704,27.9957148148148,999.9,0,0,10005.1851851852,0,143.780111111111,18.9274333333333,368.929,349.281074074074,0.904358111111111,342.397888888889,19.7060407407407,1.85976148148148,1.77815703703704,16.2983444444444,15.5960703703704,2000.00592592593,0.979995481481482,0.0200043518518519,0,2.58956296296296,0,3053.71851851852,16705.4259259259,41.25,42.437,42.062,40.812,41,1959.99518518519,40.01,0,1686922699,0,1686922246.5,08:30:46,1686922246.5,1686922241.5,1,0.269,0.011,0.965,0.216,420,20,2.24,0.36,17.89938,17.238018011257,1.74695863849148,0,0.8972419,0.089497373358349,0.0142420490200673,1,1,2,"1/2",2.87828,2.71048,0.07712,0.0735878,0.0921821,0.0893066,25856.8,22764.4,25062.8,23922.6,38804.2,36036.3,45274.7,42642.9,1.8198,1.9026,0.137329,0,25.7814,999.9,61.812,26.052,23.1841,53.1209,46.0216,1,-0.157073,-0.759848,20.2412,5.23286,11.986,4.9556,3.304,9999,9999,999.9,9999,1.86829,1.86386,1.87149,1.86218,1.86172,1.86819,1.85831,1.8649,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.926,0.2555,0.697610968479875,0.00089977166490486,-7.69225512227415e-07,3.47747518124884e-10,-0.0987411303047268,-0.0142342790271809,0.00176067043954591,-1.0145645407741e-05,1,1906,2,25,7.5,7.6,0.820312,2.34497,1.44775,2.30713,1.44409,2.39624,29.8578,15.6556,18,432.693,469.219,26.5788,25.5439,30.0001,25.366,25.3488,16.4648,32.2822,37.5244,26.5646,298.875,19.6362,95.8478,100.283
