date,people,site,cond,machine,plot,trt,code,rep,Q10. ID matches user defined variable?,Q11. Performed auto match before curve?,Q12. Did leaf fit entire cuvette?,Q13. If Q12.) is no what was the leaf width? (cm),Q14. If answered Q13.) did you enter the width into licor? (cm),curve_start,envelope_multi,notes
6/7/2023,"MK, EG, GG",lubb,cloudy,,8,ctl,BOGR2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,5,,BOGR2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,27,npk,BOGR2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,alb/gib?,28,ctl,BOGR2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,gib,29,npk,BOGR2,2,y,y,n,0.6,Y,11:31,,
6/7/2023,"MK, EG, GG",lubb,cloudy,yadi,37,ctl,BOGR2,2,y,y,n,0.6,Y,14:12,,
6/6/2023,MK,lubb,17deg/sunny,gib,28,ctl,BOGR2,2,y,n,n,0.4,y,14:51,,
6/6/2023,"MK, EP, EG, NS",lubb,17deg/sunny,yat,5,npk,BOGR2,2,y,y,n,0.65,y,12:30,132,MK 2023/06/15
6/6/2023,"MK, EP",lubb,17deg/sunny,alb,8,ctl,BOGR2,2,y,y,n,0.5,y,10:30,,
6/6/2023,"MK, EP",lubb,17deg/sunny,alb,27,npk,BOGR2,2,y,y,n,0.6,y,15:05,,
6/6/2023,"MK, EP",lubb,17deg/sunny,alb,28,ctl,BOGR2,2,y,n,n,mia,mia,15:58,,need to measure leaf area
6/7/2023,"MK, EG, GG",lubb,cloudy,,8,ctl,CHIN2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,5,npk,CHIN2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,27,npk,CHIN2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,,28,ctl,CHIN2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,gib,29,npk,CHIN2,2,y,y,y,NA,NA,10:42,,
6/7/2023,"MK, EG, GG",lubb,cloudy,gib,37,ctl,CHIN2,2,y,y,y,NA,NA,12:25,,
6/6/2023,MK,lubb,17deg/sunny,gib,5,npk,CHIN2,2,y,y,n,NA,NA,12:23,,new file 
6/6/2023,"MK, EP, EG, NS",lubb,17deg/sunny,yat,27,npk,CHIN2,2,y,y,y,NA,NA,13:18,,
6/6/2023,"MK, EP, EG, NS",lubb,17deg/sunny,yat,28,ctl,CHIN2,2,y,y,y,NA,NA,14:04,,
6/6/2023,"MK, EP, EG, NS",lubb,17deg/sunny,yat,8,ctl,CHIN2,2,y,y,y,NA,NA,10:46,,
6/7/2023,"MK, EG, GG",lubb,cloudy,,8,ctl,PRGL2,2,y,y,n,mia,n,14:26,,SLA needed; put leaves at 0.6
6/7/2023,"MK, EG, GG",lubb,,,5,npk,PRGL2,,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,27,npk,PRGL2,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,,28,ctl,PRGL2,,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,stan,37,ctl,PRGL2,2,y,y,n,mia,n,13:34,,SLA needed
6/7/2023,"MK, EG, GG",lubb,cloudy,gib,27,npk,PRGL2,3,y,y,n,mia,n,15:20,,SLA needed
6/7/2023,"MK, EG, GG",lubb,cloudy,yadi,37,ctl,PRGL2,3,y,y,n,mia,n,15:14,,SLA needed; machine overheated temp ~ 32deg vs 28deg
6/7/2023,"MK, EG, GG",lubb,cloudy,stan,27,npk,PRGL2,4,y,y,n,mia,n,15:28,,SLA needed
6/16/2023,MK,lubb,17deg/sunny,gib,8,ctl,PRGL2,7,y,y,n,0.6,y,10:14,178,"""s"" curve photo @ 10:22; envelope # 178"
6/16/2023,MK,lubb,17deg/sunny,gib,8,ctl,PRGL2,8,y,y,n,0.6,y,10:51,181,"""s"" curve photo @ 10:58; envelope # 181"
6/16/2023,MK,lubb,17deg/sunny,gib,27,npk,PRGL2,5,n,y,n,0.6,y,8:20,173,
6/16/2023,MK,lubb,17deg/sunny,gib,27,npk,PRGL2,6,y,y,n,0.6,y,9:11,175,
6/16/2023,MK,lubb,17deg/sunny,gib,8,ctl,PRGL2,9,y,y,n,0.6,y,11:42,184,"back up for rep 7; ""H2O range match suspended"""
6/6/2023,MK,lubb,17deg/sunny,gib,8,ctl,PRGL2,2,y,y,n,NA,NA,11:15,,SLA needed
6/6/2023,MK,lubb,17deg/sunny,gib,27,npk,PRGL2,2,y,y,n,mia,mia,13:23,,SLA needed
6/7/2023,"MK, EG, GG",lubb,cloudy,,8,ctl,SAKA,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,5,npk,SAKA,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,27,npk,SAKA,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,,28,ctl,SAKA,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,stan,29,npk,SAKA,2,y,y,n,0.3,Y,10:52,,
6/7/2023,"MK, EG, GG",lubb,cloudy,gib,37,ctl,SAKA,2,y,y,n,0.3,y,13:08,,
6/6/2023,MK,lubb,17deg/sunny,gib,8,ctl,SAKA,2,y,y,n,0.3,y,10:25,,
6/6/2023,MK,lubb,17deg/sunny,gib,27,npk,SAKA,2,y,y,n,0.3,y,12:58,,
6/6/2023,MK,lubb,17deg/sunny,gib,28,ctl,SAKA,2,y,y,n,0.4,y,13:58,,
6/6/2023,"MK, EP, EG, NS",lubb,17deg/sunny,yat,5,npk,SAKA,2,y,y,n,0.45,y,11:49,,
6/7/2023,"MK, EG, GG",lubb,cloudy,,8,ctl,SOEL,2,y,y,n,mia,n,14:20,,SLA needed
6/7/2023,"MK, EG, GG",lubb,,,5,npk,SOEL,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,,,27,npk,SOEL,2,,,,,,,,
6/7/2023,"MK, EG, GG",lubb,cloudy,,28,ctl,SOEL,2,mia,mia,mia,mia,mia,mia,,
6/7/2023,"MK, EG, GG",lubb,cloudy,stan,29,npk,SOEL,2,y,y,n,mia,n,11:50,,
6/7/2023,"MK, EG, GG",lubb,cloudy,stan,37,ctl,SOEL,2,y,y,n,mia,n,12:44,,SLA needed
6/6/2023,"MK, EP, EG, NS",lubb,17deg/sunny,yat,28,ctl,SOEL,2,y,y,n,NA,NA,14:01,,SLA needed
6/6/2023,"MK, EP",lubb,17deg/sunny,alb,5,npk,SOEL,2,y,y,n,2,y,12:55,,SLA needed
6/6/2023,"MK, EP",lubb,17deg/sunny,alb,27,npk,SOEL,2,y,y,n,NA,NA,13:55,,SLA needed
