date,people,site,cond,machine,plot,trt,code,rep,Q10. ID matches user defined variable?,Q11. Performed auto match before curve?,Q12. Did leaf fit entire cuvette?,Q13. If Q12.) is n what was the leaf width? (cm),Q14. If answered Q14.) did you enter the width into licor? (cm),curve_start,envelope_multi,notes
9/10/2023,mkelley,sevi,cloudy/ rainy,albert,6,npk,boer,1,yes,yes,no,na,note,11:59,615,"need to check value in licor, value entered should be correct "
9/10/2023,mkelley,sevi,cloudy/ rainy,yadi,8,ctrl,boer,1,no,yes,no,0.1,yes,12:20,485,"iffy curve, Evan says it might be okay. ID wrong says ""sevi_12, poja-01"""
9/10/2023,mkelley,sevi,cloudy/ rainy,albert,12,ctrl,boer,1,yes,yes,,0.1,yes,10:34,500,
9/12/2023,mkelley,sevi,cloudy/ rainy,albert,15,npk,boer,1,yes,yes,,sla needed,na,11:41,,Forgot ruler for SLA number
9/10/2023,mkelley,sevi,cloudy/ rainy,albert,17,npk,boer,1,yes,yes,,0.3,yes,13:30,531,
9/12/2023,mkelley,sevi,cloudy/ rainy,yadi,22,ctrl,boer,1,yes,yes,,0.2,yes,12:11,546,
9/12/2023,mkelley,sevi,cloudy/ rainy,albert,35,ctrl,boer,1,yes,yes,,sla needed,na,14:25,,"Extra. 14:25 bad curve. the wnd curve around 14:15 was the incorrect species (an aristida sp.). Hard rain, protection over head and body of licor (bins, clear, photos) "
9/12/2023,mkelley,sevi,cloudy/ rainy,yadi,39,npk,boer,1,yes,yes,,0.4,na,15:11,,"2 leaves. Hard rain, protection over head and body of licor (bins, clear, photos) "
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",yadi,8,ctrl,poja,3,yes,yes,no,sla needed,na,10:19,482,
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",yadi,8,ctrl,poja,1,yes,yes,,sla needed,na,9:01,,
9/10/2023,mkelley,sevi,cloudy/ rainy,yadi,12,ctrl,poja,1,yes,yes,,sla needed,na,11:08,513,"may have measured abaxial side of leaftlets, extra curve done for plot 8 to helfully improve the outcome."
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",yadi,15,npk,poja,1,yes,yes,,sla needed,na,8:07,528,
9/10/2023,mkelley,sevi,cloudy/ rainy,yadi,17,npk,poja,1,yes,yes,,sla needed,na,13:13,543,
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",albert,35,ctrl,poja,1,yes,yes,,sla needed,na,10:08,558,bad curve at 09:03
9/12/2023,mkelley,sevi,cloudy/ rainy,yadi,39,npk,poja,1,yes,yes,,sla needed,na,13:48,537,
9/10/2023,mkelley,sevi,cloudy/ rainy,albert,6,npk,satr,1,no,yes,no,sla needed,na,8:59,473,"forgot to update id, says ""sevi_"" only"
9/12/2023,mkelley,sevi,cloudy/ rainy,albert,35,ctrl,satr,1,yes,yes,no,0.1,yes,12:25,,
9/12/2023,mkelley,sevi,cloudy/ rainy,yadi,35,ctrl,satr,2,yes,yes,,0.1,yes,12:56,,
9/12/2023,mkelley,sevi,cloudy/ rainy,yadi,15,npk,satr,1,yes,yes,,sla needed,na,11:16,,Forgot ruler for SLA number
9/10/2023,mkelley,sevi,cloudy/ rainy,albert,17,npk,satr,1,yes,yes,,sla needed,na,12:56,534,
9/12/2023,mkelley,sevi,cloudy/ rainy,albert,35,ctrl,satr,3,yes,yes,,0.1,yes,13:24,549,
9/12/2023,mkelley,sevi,cloudy/ rainy,yadi,39,npk,satr,1,yes,yes,,0.1,yes,16:20,507,
9/12/2023,mkelley,sevi,cloudy/ rainy,albert,35,ctrl,satr,4,yes,yes,,0.1,yes,16:48,522,Outside of plot ~ 2 meters. 
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",albert,35,ctrl,soel,1,yes,yes,no,sla needed,na,10:54,479,
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",yadi,25,npk,soel,1,yes,yes,,sla needed,na,11:09,494,
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",albert,35,ctrl,soel,2,yes,yes,,sla needed,na,11:31,510,
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",yadi,25,npk,soel,2,yes,yes,,sla needed,na,11:40,525,
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",yadi,25,npk,soel,3,yes,yes,,sla needed,na,12:46,540,
9/11/2023,mkelley,sevi,"morning/afternoon rainy, late afternoon rain",albert,40,ctrl,soel,1,yes,yes,,sla needed,na,12:16,555,
9/9/2023,mkelley,sevi,"sunny, hot",stan,6,npk,xasp,1,no,yes,,sla needed,na,10:04,476,"curve made, not sure how good? Leaves too small for this species to sample, individuals dropped."
9/9/2023,mkelley,sevi,na,na,8,ctrl,xasp,1,na,na,,na,na,na,na,"Leaves too small for this species to sample, individuals dropped."
9/9/2023,mkelley,sevi,na,na,12,ctrl,xasp,1,na,na,,na,na,na,na,"Leaves too small for this species to sample, individuals dropped."
9/9/2023,mkelley,sevi,na,na,15,npk,xasp,1,na,na,,na,na,na,na,"Leaves too small for this species to sample, individuals dropped."
9/9/2023,mkelley,sevi,na,na,17,npk,xasp,1,na,na,,na,na,na,na,"Leaves too small for this species to sample, individuals dropped."
9/9/2023,mkelley,sevi,na,na,22,ctrl,xasp,1,na,na,,na,na,na,na,"Leaves too small for this species to sample, individuals dropped."
