date ,people,site,plot,trt,code,rep,multi_time,envelope_multi,p_height_cm,ddh_90_mm,ddh_180_mm,envelope_stem,_extra,notes
9/10/2023,mk,sevi,6,npk,boer,1,9:38,470,13,0.96,1.07,471,472,"hardpotentially bad curve might discard. Individual 615 (multi. envelope) measured as potential replacement. ddh measured at 6cm, short/ irregular stem"
9/10/2023,mk,sevi,6,npk,boer,2,8:32,612,20,0.79,0.97,613,614,soft
9/10/2023,mk,sevi,6,npk,satr,1,9:37,473,33,4.94,4.23,474,475,"hardmulti says ""rep 2"" should be rep 1"
9/10/2023,mk,sevi,6,npk,satr,2,8:38,609,36,3.38,3.34,610,611,soft
9/9/2023,mk,sevi,6,npk,xasp,1,10:39,476,17,1.6,1.95,477,478,"hard""hard"" measurement taken. Mutli not measured on licor leaf due to human error."
9/10/2023,mk,sevi,6,npk,xasp,2,8:45,606,15,1.16,1.63,607,608,softlower additional ddh measurments 1.53 cm and 1.79 cm
9/9/2023,mk,sevi,6,npk,soel,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,6,npk,soel,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/10/2023,mk,sevi,6,npk,boer,1,12:42,615,29,0.97,1,616,617,hardgood curve
9/11/2023,mk,sevi,8,ctrl,poja,1,10:16,497,11,1.07,1,498,499,"hard2nd multi. taken at 10:17, different/ more open leaves (not licor leaf) "
9/11/2023,mk,sevi,8,ctrl,poja,3,10:33,482,18,0.99,1.07,483,484,hard
9/10/2023,mk,sevi,8,ctrl,boer,1,12:59,485,17,0.26,0.7,486,487,hardddh at 9.0cm short stem
9/13/2023,mk,sevi,8,ctrl,boer,2,8:28,627,21,0.86,0.86,628,629,soft
9/9/2023,mk,sevi,8,ctrl,satr,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,8,ctrl,satr,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,8,ctrl,xasp,1,na,na,na,na,na,na,na,"nanot physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
9/9/2023,mk,sevi,8,ctrl,xasp,2,na,na,na,na,na,na,na,"nanot physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
9/9/2023,mk,sevi,8,ctrl,soel,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,8,ctrl,soel,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/10/2023,mk,sevi,12,ctrl,poja,1,11:30,513,16,1.39,1.45,514,515,hardddh at 9.5cm
9/10/2023,mk,sevi,12,ctrl,boer,1,11:13,500,16,0.94,0.96,502,503,"hardmultispeq measured on different leaf, lost licor leaf. ddh measured at 5cm, short stem"
9/13/2023,mk,sevi,12,ctrl,boer,2,8:55,642,22,0.84,0.78,643,644,soft
9/13/2023,mk,sevi,12,ctrl,poja,2,8:59,645,19,1.25,1.41,646,647,soft
9/11/2023,mk,sevi,15,npk,poja,1,10:00,528,16,1.05,1.13,529,530,"hardddh at 7.5cm, small stem. "
9/9/2023,mk,sevi,12,ctrl,satr,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,12,ctrl,satr,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,12,ctrl,xasp,1,na,na,na,na,na,na,na,"nanot physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
9/9/2023,mk,sevi,12,ctrl,xasp,2,na,na,na,na,na,na,na,"nanot physically in the plot will need to find in another plot, removed from consideration for hard, leaves too small to accurately measure with licore"
9/9/2023,mk,sevi,12,ctrl,soel,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,12,ctrl,soel,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/12/2023,mk,sevi,15,npk,boer,1,12:04,516,21,0.88,0.91,517,518,hard
9/9/2023,mk,sevi,6,npk,poja,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/12/2023,mk,sevi,15,npk,boer,2,11:21,600,16,0.86,0.99,601,602,softddh at 9cm
9/12/2023,mk,sevi,15,npk,satr,1,11:39,519,26,3.23,3.4,520,521,"hardddh at 9cm, ddh at 2cm 4.82 and 4.42. Multi measured different leaf. Stem broken for licor individual. "
9/12/2023,mk,sevi,15,npk,satr,2,11:24,597,31,3.63,3.79,598,599,"softddh at 10cm, ddh at 1cm 4.84 and 4.71."
9/12/2023,mk,sevi,15,npk,poja,2,11:44,594,18,1.51,1.42,595,596,soft
9/9/2023,mk,sevi,6,npk,poja,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,8,ctrl,poja,2,na,na,na,na,na,na,na,"naThis plot has a total of 3 reps for this species, use rep #3 as the ""soft"" trait version for this plot. "
9/9/2023,mk,sevi,17,npk,poja,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,15,npk,xasp,1,na,na,na,na,na,na,na,"naremoved from consideration for hard, leaves too small to accurately measure with licore"
9/9/2023,mk,sevi,15,npk,xasp,2,na,na,na,na,na,na,na,"naremoved from consideration for hard, leaves too small to accurately measure with licore"
9/9/2023,mk,sevi,15,npk,soel,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,15,npk,soel,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/13/2023,mk,sevi,15,npk,poja,3,9:18,639,17,1.66,1.73,640,641,"softnote say ""plot 17"" not sure what that means hahha. Multispeq"
9/10/2023,mk,sevi,17,npk,boer,1,14:31,531,17,0.83,0.97,532,533,"hardmulti measured not on the licor leaf (licor leaf disconnected), used different leaf on same individual."
9/13/2023,mk,sevi,17,npk,boer,2,8:37,624,19,0.76,0.8,625,626,soft
9/10/2023,mk,sevi,17,npk,satr,1,14:27,534,23,envelope,envelope,535,536,hard
9/13/2023,mk,sevi,17,npk,satr,2,9:07,621,20,2.85,3.04,622,623,"softddh at 10cm, ddh at 2cm 3.00 and 3.82"
9/13/2023,mk,sevi,17,npk,xasp,1,8:41,636,16,1.46,1.48,637,638,"softremoved from consideration for hard, leaves too small to accurately measure with licore"
9/13/2023,mk,sevi,17,npk,xasp,2,8:48,618,17,2.28,2.75,619,620,softddh at 7cm
9/9/2023,mk,sevi,17,npk,soel,1,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
9/9/2023,mk,sevi,17,npk,soel,2,na,na,na,na,na,na,na,nanot physically in the plot will need to find in another plot
