date,site,plot,trt,code,rep,envelope_stem,stem_length_cm,stem_weight_fresh_g,starting_ml,ending_ml,weight_displaced_water_g,stem_weight_dry_g,notes
6/23/2023,arch,1,ctl,DICHA,1,188,12.8,0.0946,mia,mia,mia,0.0248,hard
6/23/2023,arch,1,ctl,SCRH,1,191,12,1.6766,mia,mia,mia,0.5415,hard
6/23/2023,arch,1,ctl,QUMI,1,194,12.6,0.594,mia,mia,mia,0.2166,hard
6/23/2023,arch,1,ctl,PANO,1,200,1.5,0.0143,mia,mia,mia,0.0036,hard
6/24/2023,arch,11,ctl,DICHA,1,204,12.2,0.057,mia,mia,mia,0.025,hard
6/23/2023,arch,11,ctl,QUMI,1,207,11.3,2.0682,mia,mia,mia,1.1422,hard
6/24/2023,arch,11,ctl,PANO,1,210,12,0.9068,mia,mia,mia,0.1648,hard
6/23/2023,arch,8,npk,PANO,1,216,9.7,0.7128,mia,mia,mia,0.1299,hard
6/23/2023,arch,8,npk,QUMI,1,225,12,2.6632,mia,mia,mia,1.4051,hard
6/23/2023,arch,8,npk,SCRH,1,228,11.6,1.4899,mia,mia,mia,0.3376,hard
6/23/2023,arch,8,npk,DICHA,1,231,11.7,0.0703,mia,mia,mia,0.0279,hard
6/24/2023,arch,11,ctl,HYED,1,235,12,4.0137,mia,mia,mia,1.9768,hard
6/24/2023,arch,11,ctl,SCRH,1,236,11.7,1.522,mia,mia,mia,0.4246,hard
6/24/2023,arch,18,npk,SCRH,1,239,12.3,0.882,mia,mia,mia,0.2716,hard; hollow diameter
6/24/2023,arch,18,npk,HYED,1,242,13.3,7.4395,mia,mia,mia,3.4064,hard
6/24/2023,arch,18,npk,QUMI,1,245,10,0.5291,mia,mia,mia,0.2831,hard
6/24/2023,arch,18,npk,PANO,1,248,6.5,0.325,mia,mia,mia,0.0688,hard; hollow diameter
6/24/2023,arch,18,npk,DICHA,1,251,12.2,0.0851,mia,mia,mia,0.0398,hard; hollowed; need microspoe?
6/26/2023,arch,21,ctl,SCRH,1,254,12.5,1.955,mia,mia,mia,0.5571,hard
6/26/2023,arch,21,ctl,QUMI,1,257,10.6,2.181,mia,mia,mia,1.04,hard
6/26/2023,arch,21,ctl,HYED,1,260,12.3,7.848,mia,mia,mia,3.801,hard
6/26/2023,arch,21,ctl,PANO,1,263,4.3,0.152,mia,mia,mia,0.0291,hard
6/26/2023,arch,21,ctl,DICHA,1,266,12,0.247,mia,mia,mia,0.0996,hard
6/26/2023,arch,28,npk,SCRH,1,269,12.4,1.033,mia,mia,mia,0.2512,hard
6/26/2023,arch,28,npk,QUMI,1,272,12,0.554,mia,mia,mia,0.1929,hard
6/26/2023,arch,28,npk,HYED,1,275,11.5,4.892,mia,mia,mia,2.2526,hard
6/26/2023,arch,28,npk,PANO,1,278,11.3,0.684,mia,mia,mia,0.1155,hard
6/26/2023,arch,28,npk,DICHA,1,281,13,0.092,mia,mia,mia,0.0436,hard
6/26/2023,arch,1,ctl,HYED,1,284,14.4,3.298,mia,mia,mia,1.569,hard
6/26/2023,arch,8,npk,HYED,1,287,13,5.098,mia,mia,mia,2.5863,hard
6/26/2023,arch,21,ctl,SCRH,3,290,11.6,1.738,mia,mia,mia,0.5154,
6/27/2023,arch,1,ctl,QUMI,2,293,12,0.51,mia,mia,mia,0.2474,
mia,arch,28,npk,HYED,3,296,12.8,7.45,mia,mia,mia,3.2813,
6/27/2023,arch,1,ctl,PANO,2,299,mia,mia,mia,mia,mia,mia,no stem
6/27/2023,arch,1,ctl,DICHA,2,302,11,0.026,mia,mia,mia,0.0143,
6/27/2023,arch,1,ctl,PTPY,2,305,11.6,0.328,mia,mia,mia,0.0981,
6/27/2023,arch,1,ctl,PTPY,1,308,12.2,0.43,mia,mia,mia,0.1575,
