date,site,plot,trt,code,rep,envelope_stem,stem_length_cm,stem_weight_fresh_g,starting_ml,ending_ml,weight_displaced_water_g,ddh_90_cm,ddh_180_cm,stem_weight_dry_g,stem_weight_dry_g_103,notes
6/6/2023,lubb,5,npk,CHIN2,2,1,13,12.32,82,95,12.3,11.02,10.28,1.8197,1.6905,hard
6/6/2023,lubb,5,npk,SAKA,2,4,11,2.6,81,85,2.42,3.89,4.14,0.574,0.5337,hard
6/6/2023,lubb,5,npk,SOEL,2,10,12,2.43,85,87,2.59,4.28,4.02,0.312,0.2876,hard
6/6/2023,lubb,5,npk,BOGR2,2,13,4.4,0.04,85,85,0.01,0.97,1.01,0.0099,0.0098,hard
6/6/2023,lubb,8,ctl,CHIN2,2,16,11.8,1.8,83,85,1.83,2.72,3.05,0.2715,0.2516,hard
6/6/2023,lubb,8,ctl,SAKA,2,19,11.5,0.47,82,83,0.4,1.69,1.25,0.0431,0.043,hard
6/6/2023,lubb,8,ctl,BOGR2,2,28,6.5,0.01,81,82,0.01,0.57,0.5,0.0097,0.0091,hard
6/6/2023,lubb,27,npk,CHIN2,2,31,11.5,2.3,85,87,2.08,2.83,2.86,0.2569,0.2378,hard
6/6/2023,lubb,27,npk,SAKA,2,34,10.7,2.45,85,87,2.36,4.37,3.92,0.4234,0.391,hard
6/6/2023,lubb,27,npk,PRGL2,2,37,9,0.24,85,86,0.2,0.54,0.57,0.075,0.0697,hard
6/6/2023,lubb,27,npk,SOEL,2,40,11,1.34,85,86,1.3,2.35,2.71,0.206,0.1897,hard
6/6/2023,lubb,27,npk,BOGR2,2,43,15.5,0.14,94,95,0.03,0.77,0.96,0.0322,0.0305,hard
6/6/2023,lubb,28,ctl,CHIN2,2,46,11.2,3.6,89,92,3.35,5.57,5.21,0.5537,0.5122,hard
6/6/2023,lubb,28,ctl,SAKA,2,49,10.5,1.29,89,90,1.2,2.47,2.42,0.1678,0.1558,hard
6/6/2023,lubb,28,ctl,PRGL2,2,52,9-Aug,8.73,76,80,3.61 / 4.18,7.28 / 7.68,8.08 / 7.04,5.5191,5.1639,hard; sample too big had to cut in half; 1st measurements go together same with 2nd. 2.4697 g + 3.0494 g dry weight. 3.88 + 4.85 fresh weight. 
6/6/2023,lubb,28,ctl,SOEL,2,55,11.7,2.38,85,88,2.61,4.64,3.78,0.4407,0.4074,hard
6/6/2023,lubb,28,ctl,BOGR2,2,58,6.7,0.08,89,90,0.01,1.06,0.98,0.0173,0.0164,hard
6/7/2023,lubb,29,npk,CHIN2,2,61,12.3,3.62,87,91,3.76,4.34,4.5,0.7093,0.6587,hard; ddh taken after drying
6/7/2023,lubb,29,npk,SAKA,2,64,15,4.33,87,92,4.28,3.76,2.65,0.7502,0.6949,hard; ddh taken after drying
6/7/2023,lubb,29,npk,BOGR2,2,67,12,0.22,83,84,0.21,1.3,1.54,0.0621,0.058,hard; ddh taken after drying
6/7/2023,lubb,29,npk,SOEL,2,70,11.8,2.25,84,86,2.2,2.87,1.88,0.3944,0.3626,hard; ddh taken after drying
6/7/2023,lubb,37,ctl,CHIN2,2,76,12,2.29,86,89,1.72,1.53,1.69,0.2971,0.2709,hard; ddh taken after drying
6/7/2023,lubb,37,ctl,SAKA,2,79,11.2,0.74,86,88,0.63,0.83,1.64,0.0837,0.0779,hard; ddh taken after drying
6/7/2023,lubb,37,ctl,BOGR2,2,82,3.8,0.01,86,87,0.01,0.37,0.63,0.0052,0.0042,hard; ddh taken after drying
6/7/2023,lubb,37,ctl,SOEL,2,85,10,1.89,87,89,1.68,2.24,1.46,0.2725,0.2512,hard; ddh taken after drying
6/5/2023,lubb,37,ctl,CHIN2,1,91,11.5,2.65,91,93,2.53,1.76,2.74,0.3886,0.3661,ddh taken after drying
6/5/2023,lubb,37,ctl,CHIN2,2,94,12.2,1.14,88,89,1.11,1.04,0.9,0.125,0.117,ddh taken after drying
6/5/2023,lubb,37,ctl,SOEL,1,97,12,2.15,91,94,2.14,1.75,1.93,0.3349,0.3146,ddh taken after drying
6/5/2023,lubb,37,ctl,SOEL,2,100,11.2,2.44,91,93,2.42,4.03,2.83,0.5435,0.509,ddh taken after drying
6/5/2023,lubb,37,ctl,HYOD,1,103,11.1,0.38,91,92,0.32,0.96,0.92,0.0812,0.0761,ddh taken after drying
6/5/2023,lubb,37,ctl,BOGR2,1,106,2.5,0.02,91,91,0.02,0.72,0.6,0.0053,0.0045,
6/5/2023,lubb,29,npk,CHIN2,1,109,11.5,6.57,91,98,6.22,5.71,5.76,1.439,1.3792,ddh taken after drying
6/5/2023,lubb,29,npk,HYOD,1,112,11,1.42,mia,mia,mia,2.9,3.03,0.2916,0.2712,density not taken cause stem was VERY curved; ddh taken after drying
6/5/2023,lubb,29,npk,SOEL,1,115,12,4.27,91,95,4.21,3.84,4.31,1.0373,0.0979,ddh taken after drying
6/5/2023,lubb,28,ctl,CHIN2,1,118,12.5,4.39,92,96,4.08,2.89,2.79,0.645,0.613,ddh taken after drying
6/5/2023,lubb,27,npk,CHIN2,1,124,11,3.29,90,94,3.23,3.04,2.06,0.422,0.3924,ddh taken after drying 
6/5/2023,lubb,27,npk,PRGL2,1,127,11.1,0.63,90,91,0.55,1.49,1.58,0.2798,0.2684,ddh taken after drying 
6/15/2023,lubb,27,npk,SOEL,1,130,11.6,2.25,91,93,2.18,2.89,4.26,0.6473,0.5941,ddh taken after drying 
6/15/2023,lubb,27,npk,SAKA,1,133,11.8,1.78,91,93,1.85,2.03,1.69,0.3549,0.329,ddh taken after drying
6/15/2023,lubb,27,npk,BOGR2,1,136,5.1,0.02,91,91,<0.01 ,0.6,0.67,0.0065,0.0062,ddh taken after drying 
6/6/2023,lubb,8,ctl,CHIN2,1,139,11.5,2.02,83,85,2.1,3.43,3.71,0.2649,0.246,
6/7/2023,lubb,8,ctl,SOEL,2,148,12.7,3.26,84,88,3.37,4.16,3.43,0.7622,0.7052,hard; ddh taken after drying
6/15/2023,lubb,5,npk,CHIN2,1,155,11.8,12.61,90,~103,12.31,9.04,9.18,3.0406,2.83,ddh taken after drying
6/15/2023,lubb,5,npk,SOEL,1,158,11.6,2.75,91,93,2.69,4.13,4.27,0.9617,0.8903,ddh taken after drying
6/15/2023,lubb,5,npk,BOGR2,1,161,10.1,0.06,91,91,0.03,0.59,0.4,0.013,0.0119,ddh taken after drying
6/15/2023,lubb,8,ctl,BOGR2,1,164,5.5,0.05,90,90,<0.01,0.55,1.12,0.0134,0.131,ddh taken after drying 
6/15/2023,lubb,8,ctl,ARHUH,1,167,12.2,2.14,90,93,2.32,3.16,3.12,0.4166,0.3862,ddh taken after drying
6/15/2023,lubb,8,ctl,ARHUH,2,170,11.7,1.11,90,92,1.1,1.88,2.1,0.2391,0.2197,ddh taken after drying 
6/16/2023,lubb,27,npk,PRGL2,5,173,11.4,0.92,80,80,0.72,1.94,1.93,0.3957,0.3692,hard; ddh taken after drying
6/16/2023,lubb,27,npk,PRGL2,6,176,11.7,6.13,81,82,5.3,5.07,7.44,3.8638,3.6371,hard; ddh taken after drying
6/16/2023,lubb,8,ctl,PRGL2,7,179,12,4.34,80,84,4.05,5.73,4.57,2.7354,2.5492,hard; ddh taken after drying
6/16/2023,lubb,8,ctl,PRGL2,8,182,14.5,17.41,190,204,16.48,9.91,10.3,11.9904,11.253,hard; ddh taken after drying
6/16/2023,lubb,8,ctl,PRGL2,9,185,11.6,0.73,79,80,0.52,1.67,1.5,0.3488,0.3252,ddh taken after drying 
6/6/2023,lubb,8,ctl,SOEL,1,220,13.2,4.64,85,88,4.73,5.75,5.64,1.0645,0.9749,
6/6/2023,lubb,8,ctl,SAKA,1,223,12,0.48,85,85,0.45,0.69,1.22,0.0603,0.0558,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,
