"","sample","total.leaf.area"
"1","lubb_29_soel01_114(3)cropped",33.372
"2","arch_01_dicha01_193cropped",4.021
"3","arch_01_dicha02_301cropped",1.286
"4","arch_01_hyed01_283cropped",1.053
"5","arch_01_hyed02_313cropped",0.653
"6","arch_01_pano01_196cropped",8.139
"7","arch_01_pano02_298cropped",5.706
"8","arch_01_ptpy01_307cropped",18.089
"9","arch_01_ptpy02_304cropped",14.025
"10","arch_01_qumi01_199cropped",12.802
"11","arch_01_qumi02_292cropped",6.674
"12","arch_01_scrh01_190(closedleaves)cropped",16.831
"13","arch_01_scrh01_190(openleaves)cropped",24.769
"14","arch_01_scrh02_310cropped",23.341
"15","arch_08_arse01_331cropped",4.22
"16","arch_08_arse02_334cropped",5.187
"17","arch_08_dicha01_232cropped",3.776
"18","arch_08_dicha02_328cropped",2.812
"19","arch_08_hyed01_286cropped",1.152
"20","arch_08_hyed02_324cropped",1.19
"21","arch_08_pano01_223cropped",26.992
"22","arch_08_pano02_325cropped",19.365
"23","arch_08_qumi01_226cropped",7.785
"24","arch_08_qumi02_321cropped",17.345
"25","arch_08_scrh01_217cropped",28.94
"26","arch_08_scrh02_318cropped",19.203
"27","arch_11_arse01_359cropped",4.08
"28","arch_11_arse02_362cropped",6.463
"29","arch_11_dicha01_205cropped",2.79
"30","arch_11_dicha02_356cropped",2.664
"31","arch_11_dicha04_468cropped",2.073
"32","arch_11_hyed01_208cropped",0.976
"33","arch_11_hyed02_350cropped",0.941
"34","arch_11_hyed04_437cropped",0.736
"35","arch_11_pano01_237cropped",12.321
"36","arch_11_pano02_353cropped",8.678
"37","arch_11_pano04_466cropped",14.786
"38","arch_11_qumi01_202cropped",14.599
"39","arch_11_qumi02_347cropped",10.033
"40","arch_11_qumi04_368cropped",13.339
"41","arch_11_scrh01_211cropped",13.666
"42","arch_11_scrh02_344cropped",12.828
"43","arch_11_scrh04_365cropped",19.531
"44","arch_18_arse01_398cropped",3.978
"45","arch_18_arse02_401cropped",3.487
"46","arch_18_dicha01_252cropped",5.845
"47","arch_18_dicha02_383cropped",1.61
"48","arch_18_dicha04_458cropped",2.596
"49","arch_18_hyed01_241cropped",1.081
"50","arch_18_hyed02_377cropped",0.834
"51","arch_18_hyed04_465cropped",1.266
"52","arch_18_lylu01_386cropped",11.633
"53","arch_18_lylu02_389cropped",6.182
"54","arch_18_pano01_247cropped",11.575
"55","arch_18_pano02_380cropped",12.276
"56","arch_18_pano04_463cropped",7.495
"57","arch_18_ptpy01_392cropped",12.97
"58","arch_18_ptpy02_395cropped",8.929
"59","arch_18_qumi01_244cropped",14.792
"60","arch_18_qumi02_374cropped",14.331
"61","arch_18_qumi03_434cropped",9.934
"62","arch_18_qumi04_460cropped",13.591
"63","arch_18_scrh01_238cropped",40.053
"64","arch_18_scrh02_371cropped",15.262
"65","arch_18_scrh04­_404cropped",17.539
"66","arch_21_carph01_419cropped",19.352
"67","arch_21_carph02_422cropped",16.735
"68","arch_21_dicha01_265cropped",4.35
"69","arch_21_dicha02_416cropped",1.577
"70","arch_21_hyed01_259cropped",1.08
"71","arch_21_hyed02_410cropped",0.772
"72","arch_21_pano01_262cropped",8.369
"73","arch_21_pano02_413cropped",14.535
"74","arch_21_qumi01_256cropped",11.64
"75","arch_21_qumi02_407cropped",11.536
"76","arch_21_scrh01_253cropped",24.208
"77","arch_21_scrh03_289cropped",16.07
"78","arch_21_scrhhairy01_425cropped",26.966
"79","arch_21_scrhhairy02_428cropped",26.436
"80","arch_28_dicha01_280cropped",4.479
"81","arch_28_dicha02_443cropped",3.389
"82","arch_28_hyed01_274cropped",0.574
"83","arch_28_hyed03_295(2)cropped",1.285
"84","arch_28_hyed03_295cropped",1.285
"85","arch_28_pano01_277cropped",22.344
"86","arch_28_pano02_440cropped",20.595
"87","arch_28_qumi01_271cropped",8.452
"88","arch_28_scrh01_268cropped",38.877
"89","arch_28_scrh02_431cropped",27.362
"90","arch_28_scrhhairy01_446cropped",29.074
"91","arch_28_scrhhairy02_449cropped",40.564
"92","arch_28_spiderpoint01_452cropped",3.413
"93","arch_28_spiderpoint02_455cropped",3.276
"94","lubb_05_bogr01_160cropped",3.34
"95","lubb_05_chin01_154cropped",8.173
"96","lubb_05_soel01_157cropped",15.733
"97","lubb_08_arhuh01_166cropped",3.889
"98","lubb_08_arhuh02_169cropped",3.142
"99","lubb_08_bogr01_163cropped",1.396
"100","lubb_08_prgl07_178cropped",8.009
"101","lubb_08_prgl08_181cropped",17.073
"102","lubb_08_prgl09_184cropped",4.938
"103","lubb_27_bogr01_135cropped",2.019
"104","lubb_27_chin01_123(3)cropped",13.603
"105","lubb_27_prgl01_126(3)cropped",5.171
"106","lubb_27_prgl05_172cropped",13.977
"107","lubb_27_prgl06_175cropped",11.524
"108","lubb_27_saka01_132cropped",0.42
"109","lubb_27_soel01_129cropped",33.289
"110","lubb_28_chin01_117cropped",20.219
"111","lubb_28_prgl01_120cropped",12.308
"112","lubb_29_chin01_108cropped",21.158
"113","lubb_29_saka01_111cropped",2.881
"114","lubb_29_soel01_114(2)cropped",20.634
"115","lubb_29_soel01_114cropped",20.565
"116","lubb_37_bogr01_105(1)cropped",1.604
"117","lubb_37_bogr01_105(2)cropped",1.603
"118","lubb_37_bogr01_105cropped",1.427
"119","lubb_37_chin01_090cropped",15.815
"120","lubb_37_chin02_093(3)cropped",8.255
"121","lubb_37_chin02_093cropped",8.251
"122","lubb_37_saka01_102(2)cropped",0.704
"123","lubb_37_saka01_102cropped",0.704
"124","lubb_37_soel01_096cropped",17.276
"125","lubb_37_soel02_099cropped",27.344
"126","lubb_37B2CH_chin01_090cropped",15.82
"127","sevi_06_boer01_470_010cropped",1.714
"128","sevi_06_boer01_615_009cropped",2.684
"129","sevi_06_boer02_612_004cropped",0.702
