ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,species,species_notes_if_,percent_cover_,photo_if_needed,cover_notes
214a5043-7444-41f6-9a1e-d783c3cb10f8,84319365-ff6f-4f89-9321-deb6557484b0,2023-05-26T13:52:18.000Z,2023-05-26T13:53:21.000Z,EUDE_(EUPHORBIA DENTATA),EUDE_(EUPHORBIA DENTATA),,1,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,9d88d9f2-bffa-4ab7-bad3-8656959d97e6,2023-05-26T13:51:52.000Z,2023-05-26T13:53:20.000Z,ELCA_(ELYMUS CANADENSIS),ELCA_(ELYMUS CANADENSIS),,0.5,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,b87712a8-686c-41ce-a053-8405a2c9f970,2023-05-26T13:50:38.000Z,2023-05-26T13:53:18.000Z,TRPE_(TRIODANIS PERFOLIATA),TRPE_(TRIODANIS PERFOLIATA),,0.5,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,c287ee7d-1104-469f-822d-0acb390610ea,2023-05-26T13:50:19.000Z,2023-05-26T13:53:17.000Z,PHMO_(PHYSALIS MOLLIS),PHMO_(PHYSALIS MOLLIS),,2,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,2efe4352-a7a8-4e15-adee-2418fdc960fb,2023-05-26T13:49:59.000Z,2023-05-26T13:53:16.000Z,PONU_(POLYTAENIA NUTTALLII),PONU_(POLYTAENIA NUTTALLII),,1,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,93769f16-1f7e-4532-aa4c-8f2e3268b12f,2023-05-26T13:49:23.000Z,2023-05-26T13:53:15.000Z,MOCI_(MONARDA CITRIODORA),MOCI_(MONARDA CITRIODORA),,1,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,50e35795-7cf4-4826-a134-6fff137afd3c,2023-05-26T13:49:08.000Z,2023-05-26T13:53:14.000Z,MIPL_(MIMOSA QUADRIVALVIS var. PLATYCARPA),MIPL_(MIMOSA QUADRIVALVIS var. PLATYCARPA),,5,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,414b2fac-c775-4025-8a66-8a1c0711cca8,2023-05-26T13:48:24.000Z,2023-05-26T13:53:13.000Z,2PLANT_(unknown),2PLANT_(unknown),,2,,PAPE
214a5043-7444-41f6-9a1e-d783c3cb10f8,0ccf9809-46a5-48b1-a7e8-620466392006,2023-05-26T13:47:52.000Z,2023-05-26T13:53:11.000Z,GATE_(GALIUM TEXENSE),GATE_(GALIUM TEXENSE),,6,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,517914de-0983-4a80-8f75-15896c63b26f,2023-05-26T13:47:37.000Z,2023-05-26T13:53:10.000Z,COER_(COMMELINA ERECTA),COER_(COMMELINA ERECTA),,2,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,40330f14-9720-4a78-9f41-2a214e8f3c49,2023-05-26T13:47:21.000Z,2023-05-26T13:53:09.000Z,GAPU_(GAILLARDIA PULCHELLA),GAPU_(GAILLARDIA PULCHELLA),,4,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,90fe7f47-4378-462a-bf4a-27f51975d286,2023-05-26T13:47:10.000Z,2023-05-26T13:53:08.000Z,SODI_(SOLANUM DIMIDIATUM),SODI_(SOLANUM DIMIDIATUM),,1,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,f8741477-26f5-45fa-9421-f1c4a4d78b33,2023-05-26T13:46:49.000Z,2023-05-26T13:53:07.000Z,COCA_(COCCULUS CAROLINUS),COCA_(COCCULUS CAROLINUS),,7,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,90bba873-0695-4b88-b06d-a2e0f0f06934,2023-05-26T13:46:32.000Z,2023-05-26T13:53:05.000Z,SCSC_(SCHIZACHYRIUM SCOPARIUM),SCSC_(SCHIZACHYRIUM SCOPARIUM),,1,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,b04a07fa-40d3-4a92-a599-31ebe3f24999,2023-05-26T13:46:19.000Z,2023-05-26T13:53:04.000Z,TOAR_(TORILIS ARVENSIS),TOAR_(TORILIS ARVENSIS),,4,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,fbb61c47-6b5b-4da6-94ae-dec51ac5e62f,2023-05-26T13:45:55.000Z,2023-05-26T13:53:03.000Z,AMTR_(AMBROSIA TRIFIDA),AMTR_(AMBROSIA TRIFIDA),,30,,
214a5043-7444-41f6-9a1e-d783c3cb10f8,984f6ff6-1b26-417c-b92f-59dba742e551,2023-05-26T13:45:35.000Z,2023-05-26T13:53:02.000Z,SOHA_(SORGHUM HALEPENSE),SOHA_(SORGHUM HALEPENSE),,70,,
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,31f8efa8-3b0d-436a-98fc-646490918106,2023-05-26T12:11:18.000Z,2023-05-26T12:16:05.000Z,SISYR_(SISYRINCHIUM SP.),SISYR_(SISYRINCHIUM SP.),,0.5,,
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,24793588-f674-4801-985c-9909b9f2e010,2023-05-26T12:10:42.000Z,2023-05-26T12:16:04.000Z,TRPE_(TRIODANIS PERFOLIATA),TRPE_(TRIODANIS PERFOLIATA),,0.5,,
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,6e8d7ca2-0c98-485a-b506-c80b4c902026,2023-05-26T12:10:16.000Z,2023-05-26T12:16:03.000Z,SYER_(SYMPHYOTRICHUM ERICOIDES),SYER_(SYMPHYOTRICHUM ERICOIDES),,1,,
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,85fa3e35-c1d8-4959-a722-58be91b72174,2023-05-26T12:09:52.000Z,2023-05-26T12:16:02.000Z,MIPL_(MIMOSA QUADRIVALVIS var. PLATYCARPA),MIPL_(MIMOSA QUADRIVALVIS var. PLATYCARPA),,8,,
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,eb44883d-d8df-4cda-a314-85f013be5682,2023-05-26T12:08:59.000Z,2023-05-26T12:16:00.000Z,2PLANT_(family),2PLANT_(family),,3,,Apacea (thin leaves)
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,98529516-58e8-4db5-b6a1-89f389735867,2023-05-26T12:08:44.000Z,2023-05-26T12:15:59.000Z,2PLANT_(family),2PLANT_(family),,1,,Brasicacea
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,32d4bf00-bd63-4e53-b553-3a2d348ebe4e,2023-05-26T12:08:29.000Z,2023-05-26T12:15:58.000Z,GATE_(GALIUM TEXENSE),GATE_(GALIUM TEXENSE),,1,,
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,7810b51b-20f4-46c1-82c3-5765291a64f0,2023-05-26T12:08:01.000Z,2023-05-26T12:15:57.000Z,SODI_(SOLANUM DIMIDIATUM),SODI_(SOLANUM DIMIDIATUM),,2,,
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,74dd4363-c77e-42e9-8c07-bd0f642f7b69,2023-05-26T12:06:50.000Z,2023-05-26T12:15:56.000Z,ELCA_(ELYMUS CANADENSIS),ELCA_(ELYMUS CANADENSIS),,2,,
