"","site.x","type","family","code_field","code.x","taxon.x","pathway","duration","duration2","con_acq","notes_con_acq","status","code_usda","notes_taxon.x","taxon_morpho","notes","ec5_branch_owner_uuid.x","ec5_uuid","created_at.x","uploaded_at.x","ec5_branch_owner_uuid.y","ec5_branch_uuid","created_at","uploaded_at","title","date_measured","time_started","site.y","site_trt_plot","site.1","trt","plot","subplot","nested_subplot","photo_1x1","notes_plot","species_list_site","species_in_plot","epicollect_title","epicollect_species","category","code.y","taxon.y","notes_taxon.y","species_notes_if_","percent_cover","photo_if_needed","notes_cover"
"1","lubb","forb","chenopodiaceae","chin2","chin2","chenopodium incanum","c3","annual","","acquisitive","","native","chin2","","","","265eccff-9aa3-42ab-bf20-b3cf84d58387","265eccff-9aa3-42ab-bf20-b3cf84d58387","2023-06-05T13:45:55.000Z","2023-06-05T13:59:55.000Z","265eccff-9aa3-42ab-bf20-b3cf84d58387","f0f87bb3-ff8b-434c-a886-05e360c2bd87","2023-06-05T13:47:19.000Z","2023-06-05T14:00:01.000Z","lubb_npk_05","6/5/2023","8:42 AM","lubb","lubb_npk_05","lubb","npk",5,"b","2","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=64ce1308-30ac-44e9-bba6-7fcc8851ae00_1685972611.jpg","","lubb",8,"chin2_(chenopodium incanum) 92","chin2_(chenopodium incanum)","plant","chin2","chenopodium incanum","","",92,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f0f87bb3-ff8b-434c-a886-05e360c2bd87_1685972832.jpg",""
"2","lubb","forb","chenopodiaceae","chin2","chin2","chenopodium incanum","c3","annual","","acquisitive","","native","chin2","","","","597548d9-ae76-40e6-9d11-3e378c908a8f","597548d9-ae76-40e6-9d11-3e378c908a8f","2023-06-05T14:13:52.000Z","2023-06-05T14:14:01.000Z","597548d9-ae76-40e6-9d11-3e378c908a8f","8e87dce5-93e9-4189-85da-3892cef642ba","2023-06-05T14:11:34.000Z","2023-06-05T14:14:08.000Z","lubb_control_28","6/5/2023","9:06 AM","lubb","lubb_control_28","lubb","control",28,"b","2","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=0967e0ae-0e7d-494e-b93b-0877ecc999bd_1685974253.jpg","mesquite (established) in centerof subplot","lubb",7,"chin2_(chenopodium incanum) 95","chin2_(chenopodium incanum)","plant","chin2","chenopodium incanum","","",95,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=8e87dce5-93e9-4189-85da-3892cef642ba_1685974289.jpg",""
"3","lubb","forb","chenopodiaceae","chin2","chin2","chenopodium incanum","c3","annual","","acquisitive","","native","chin2","","","","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","2023-06-05T13:34:15.000Z","2023-06-05T13:34:22.000Z","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","0960b1f8-bf1a-456c-aa73-9a1195a8277a","2023-06-05T13:12:30.000Z","2023-06-05T13:34:29.000Z","lubb_control_08","6/5/2023","8:07 AM","lubb","lubb_control_08","lubb","control",8,"c","3","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=99c11a85-eaf8-4c51-8b84-e6976429d48b_1685970624.jpg","","lubb",11,"chin2_(chenopodium incanum) 75","chin2_(chenopodium incanum)","plant","chin2","chenopodium incanum","","",75,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=0960b1f8-bf1a-456c-aa73-9a1195a8277a_1685970736.jpg",""
"4","lubb","forb","chenopodiaceae","chin2","chin2","chenopodium incanum","c3","annual","","acquisitive","","native","chin2","","","","8ed45400-c325-495a-ab9f-ea1e904eb95a","8ed45400-c325-495a-ab9f-ea1e904eb95a","2023-06-05T14:53:46.000Z","2023-06-05T15:03:33.000Z","8ed45400-c325-495a-ab9f-ea1e904eb95a","bf3b9d8a-7ed4-4a74-bfb6-e5408a1ee586","2023-06-05T14:55:17.000Z","2023-06-05T15:03:40.000Z","lubb_control_37","6/5/2023","9:49 AM","lubb","lubb_control_37","lubb","control",37,"b","2","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=83d82257-1d8a-4ee8-bb1a-6692eab136bf_1685976780.jpg","","lubb",12,"chin2_(chenopodium incanum) 85","chin2_(chenopodium incanum)","plant","chin2","chenopodium incanum","","",85,"",""
"5","lubb","forb","chenopodiaceae","chin2","chin2","chenopodium incanum","c3","annual","","acquisitive","","native","chin2","","","","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","2023-06-05T14:29:01.000Z","2023-06-05T14:29:15.000Z","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","cf53b0fc-70a3-4e45-8d6d-73d09eba67a4","2023-06-05T14:20:18.000Z","2023-06-05T14:29:22.000Z","lubb_npk_27","6/5/2023","9:16 AM","lubb","lubb_npk_27","lubb","npk",27,"b","2","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=27390009-65da-49ab-8741-83ef3da6e3ba_1685974778.jpg","","lubb",11,"chin2_(chenopodium incanum) 42","chin2_(chenopodium incanum)","plant","chin2","chenopodium incanum","","",42,"",""
"6","lubb","forb","chenopodiaceae","chin2","chin2","chenopodium incanum","c3","annual","","acquisitive","","native","chin2","","","","c324e2f7-7efc-4fd4-adc0-7737a2d9da23","c324e2f7-7efc-4fd4-adc0-7737a2d9da23","2023-06-05T14:46:03.000Z","2023-06-21T01:46:21.000Z","c324e2f7-7efc-4fd4-adc0-7737a2d9da23","2defc147-aa12-4516-b183-5089f897edc9","2023-06-05T14:41:43.000Z","2023-06-05T14:46:28.000Z","lubb_npk_29","6/5/2023","9:37 AM","lubb","lubb_npk_29","lubb","npk",29,"d","4","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=fd079b7b-aaf3-41c3-9c01-9da9a48169e1_1685976053.jpg","","lubb",8,"chin2_(chenopodium incanum) 50","chin2_(chenopodium incanum)","plant","chin2","chenopodium incanum","","",50,"",""
"7","lubb","forb","amaranthaceae","hyod","satr","salsola tragus","c4","annual","","acquisitive","","introduced","satr12","misid initially, hyod, hymenoxys odorata","","initially misid, some samples labeled hyod.","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","2023-06-05T14:29:01.000Z","2023-06-05T14:29:15.000Z","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","ebae7a35-8b8f-4638-861e-eb9c96cbb5e0","2023-06-05T14:25:08.000Z","2023-06-05T14:29:26.000Z","lubb_npk_27","6/5/2023","9:16 AM","lubb","lubb_npk_27","lubb","npk",27,"b","2","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=27390009-65da-49ab-8741-83ef3da6e3ba_1685974778.jpg","","lubb",11,"2plant_(notes required) 3","2plant_(notes required)","plant","satr","salsola tragus","","",3,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=ebae7a35-8b8f-4638-861e-eb9c96cbb5e0_1685975098.jpg",""
"8","lubb","forb","amaranthaceae","hyod","satr","salsola tragus","c4","annual","","acquisitive","","introduced","satr12","misid initially, hyod, hymenoxys odorata","","initially misid, some samples labeled hyod.","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","2023-06-05T13:34:15.000Z","2023-06-05T13:34:22.000Z","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","6f5ba534-d130-4f8b-b776-84b4e0256d8e","2023-06-05T13:26:20.000Z","2023-06-05T13:34:33.000Z","lubb_control_08","6/5/2023","8:07 AM","lubb","lubb_control_08","lubb","control",8,"c","3","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=99c11a85-eaf8-4c51-8b84-e6976429d48b_1685970624.jpg","","lubb",11,"2plant_(notes required) 5","2plant_(notes required)","plant","satr","salsola tragus","","",5,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=6f5ba534-d130-4f8b-b776-84b4e0256d8e_1685971574.jpg",""
"9","lubb","forb","amaranthaceae","saka","satr","salsola tragus","c4","annual","","acquisitive","","introduced","satr12","misid initially, saka, salsola kali","","confusion about species initially, some samples labeled saka ","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","2023-06-05T14:29:01.000Z","2023-06-05T14:29:15.000Z","ebd116e4-e8ac-4c4d-9b05-fbcedb49d110","ebae7a35-8b8f-4638-861e-eb9c96cbb5e0","2023-06-05T14:25:08.000Z","2023-06-05T14:29:26.000Z","lubb_npk_27","6/5/2023","9:16 AM","lubb","lubb_npk_27","lubb","npk",27,"b","2","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=27390009-65da-49ab-8741-83ef3da6e3ba_1685974778.jpg","","lubb",11,"2plant_(notes required) 3","2plant_(notes required)","plant","satr","salsola tragus","","",3,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=ebae7a35-8b8f-4638-861e-eb9c96cbb5e0_1685975098.jpg",""
"10","lubb","forb","amaranthaceae","saka","satr","salsola tragus","c4","annual","","acquisitive","","introduced","satr12","misid initially, saka, salsola kali","","confusion about species initially, some samples labeled saka ","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","2023-06-05T13:34:15.000Z","2023-06-05T13:34:22.000Z","aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e","6f5ba534-d130-4f8b-b776-84b4e0256d8e","2023-06-05T13:26:20.000Z","2023-06-05T13:34:33.000Z","lubb_control_08","6/5/2023","8:07 AM","lubb","lubb_control_08","lubb","control",8,"c","3","https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=99c11a85-eaf8-4c51-8b84-e6976429d48b_1685970624.jpg","","lubb",11,"2plant_(notes required) 5","2plant_(notes required)","plant","satr","salsola tragus","","",5,"https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=6f5ba534-d130-4f8b-b776-84b4e0256d8e_1685971574.jpg",""
