site,type,family,code_field,code_field_updated,taxon,pathway,duration,duration2,con_acq,notes_con_acq,status,code_usda,notes_taxon,taxon_morpho,notes
lubb,forb,chenopodiaceae,chin2,chin2,chenopodium incanum,c3,annual,,acquisitive,,native,chin2,,,
lubb,forb,amaranthaceae,hyod,satr,salsola tragus,c4,annual,,acquisitive,,introduced,satr12,"misid initially, hyod, hymenoxys odorata",,"initially misid, some samples labeled hyod."
lubb,forb,amaranthaceae,saka,satr,salsola tragus,c4,annual,,acquisitive,,introduced,satr12,"misid initially, saka, salsola kali",,"confusion about species initially, some samples labeled saka "
sevi,forb,amaranthaceae,satr,satr,salsola tragus,c4,annual,,acquisitive,,introduced,satr12,,,
temple,forb,asteraceae,amtr,amtr,ambrosia trifida,,annual,,acquisitive,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1979.tb02313.x,native,amtr,,,
temple,graminoid,poaceae,brar,brar,bromus arvensis,c3,annual,,,,introduced,brar5,,,
temple,forb,euphorbiaceae,eude,eude,euphorbia dentata,,annual,,,,native,eude4,,,"native is orange and says ""L"
temple,forb,euphorbiaceae,eubpa,eubpa,euphorbia spathulata,,annual,annual/ perennial,,,native,eusp,,,
temple,forb,asteraceae,gapu,gapu,gaillardia pulchella,,annual,annual/ perennial,,,native,gapu,,,
temple,forb,rubiaceae,2pgate,2pgate,galium texense,,annual,,,,native,gate3,,,
temple,forb,rubiaceae,gate,gate,galium texense,,annual,,,,native,gate3,,,
temple,forb,lamiaceae,moci,moci,monarda citriodora,,annual,annual/ perennial,,,native,moci,,,
temple,forb,urticaceae,pape,pape,parietaria pensylvanica,,annual,,,,native,pape5,,sticky plant,
temple,forb,apiaceae,toar,toar,torilis arvensis,,annual,,,,introduced,toar,,,
temple,forb,apiaceae,apiace,apiace,apiaceae sp.,,unknown,,unknown,,unknown,apiace,,,
temple,graminoid,poaceae,poacea,poacea,poaceae sp.,,unknown,,unknown,,unknown,poacea,,,
arch,forb,annonaceae,arse,arse,asimina reticulata,,perennial,,conservative,https://www.regionalconservation.org/beta/nfyn/plantdetail.asp?tx=Asimreti,native,asre7,,glaumid / orange,
arch,graminoid,poaceae,axfu,axfu,axonopus furcatus,,perennial,,,,native,axfu,axfu_pase5,,"vegetative state very similar between pase and axfu. might have mixed species in the field. ""The best difference between paspalum setaceum and axonopus furcatus in vegetative form would be to look at the shape of the leaves. Paspalum setaceum has more pointy leaves than axonopus furcatus (more rounded, blunt at the end of the lamina)"" - Sonnier"
arch,forb,asteraceae,carph,carph,carphephorus odoratissimus,,perennial,,,,native,caod3,,turkey vein spoon,
arch,graminoid,poaceae,dicha,dicha,dichanthelium sp.,c3,perennial,,acquisitive,,native,dicha2,,,
arch,forb,asteraceae,eumo,eumo,eupatorium mohrii,,perennial,,,,native,eumo4,,redline,
arch,forb,clusiaceae,hyed,hyed,hypericum edisonianum,,perennial,,,,native,hyed,,,
arch,forb,onagraceae,lusu,lusu,ludwigia suffruticosa,,perennial,,,,native,lusu11,,"alt. prom midvein, prom mid vein",
arch,forb,ericaceae,lylu,lylu,lyonia lucida,,perennial,,,,native,lylu3,,alt. egg,
arch,graminoid,poaceae,scrh_hairy,scrh_hairy,panicum longifolium,c3_c4,perennial,,,,native,parip,,,"not 100% sure on species, panicle not fully developed. Switted the species code for UC daivs to fit, lenqth requrimetns, scrhhairy -> PANIC "" likely Panicum longifolium (moved recently to Coleataenia longifolia, but we still used the old name in our dataset). I see characters that suggest Panicum longifolium, but the inflorescence is not fully developed and midvein is protruding but only slightly."""
